Description;accueil;Description_2;Description_3;clusters
wow c est la premiere fois de ma vie que je suis a pole emploi et ces gens sont incroyables   je ne comprends pas tellement pourquoi il y a autant de critiques vis a vis de cette institution    les conseillers que j ai eu sont adorables  il y a beaucoup de formations et d opportunites   j ai rien a redire a part que ces gens sont formidables     l accompagnement qu ils proposent est loin d etre poussiereux   pour la creation d entreprise ils proposent des ateliers en design thinking  et c est vraiment efficace et motivant  franchement un grand merci    les seuls problemes que je rencontre sont lies au site web qui bug de temps en temps  mais humainement et du cote de l accompagnement fourni c est un sans faute pour l instant   ;1;['wow', 'critiqu', 'institu', 'ador', 'format', 'opportun', 'red', 'formid', 'proposent', 'poussi', 'proposent', 'design', 'thinking', 'motiv', 'li', 'web', 'bug', 'instant'];wow critiqu institu ador format opportun red formid proposent poussi proposent design thinking motiv li web bug instant;0
equipe performante  humaine  courtoise et a l ecoute;1;['equip', 'perform', 'courtois'];equip perform courtois;1
je me suis rendue lundi matin  dans cette agence tres bon accueil  et bien dirigee vers mes demarches  je vous souhaite de bonnes fetes de fin d annee ;1;['lund', 'agenc', 'dirig', 'demarch', 'fet'];lund agenc dirig demarch fet;0
biensur on y va pas toujours par plaisir mais l accueil est agreable  souriant  tres respectueux  les conseilleres  conseillers sont a l ecoute et de bons conseils  je remercie mme dussol pour son soutien et sa comprehension    ;1;['biensur', 'plais', 'sour', 'respectu', 'mme', 'dussol', 'soutien'];biensur plais sour respectu mme dussol soutien;-1
comme dab  service de m      ils sont perdu  ne savent pas se servir d un pc  ne connaissent pas leur metier enfaite mdr;1;['dab', 'servic', 'savent', 'serv', 'pc', 'connaissent', 'enfait', 'mdr'];dab servic savent serv pc connaissent enfait mdr;-1
bonjour  j ai ete pour un renseignement et une aide pour savoir comment je peux proceder a mon petit souci a l accueil de pole emploi je suis tombe sur une dame cheveux courts  blonde a lunettes  soixantaine environ  c est bien la premiere fois qu on me parle comme du poisson pourri  j ai essaye de lui expliquer calmement mon probleme  cette dame a fait semblant de ne rien comprendre a mon probleme et m a parle comme si j etais bete  elle m a fait repeter plusieurs fois   plus elle me faisait repeter plus elle parlait tres fort   a l accueil il y a bien marque pour le public de rester calmeavec le personnel de pole emploi chose que je comprends tout a fait  je suis reste calme par contre elle c est tout le contraire j ai demande a voir la responsable de pole emploi  dommage elle devait etre en pause dejeuner mais j aurais voulu qu elle soit la afin de regler le probleme avec cette dame desagreable a l accueil ;1;['proced', 'souc', 'cheveux', 'court', 'blond', 'lunet', 'soixantain', 'poisson', 'calm', 'sembl', 'bet', 'repet', 'repet', 'parl', 'marqu', 'calmeavec', 'personnel', 'calm', 'respon', 'paus', 'dejeun'];proced souc cheveux court blond lunet soixantain poisson calm sembl bet repet repet parl marqu calmeavec personnel calm respon paus dejeun;-1
equipe tres motivee   des services civiques qui vous accueillent et vous aident  des conseillers tres professionnels et a l ecoute  ;1;['equip', 'motiv', 'servic', 'civiqu', 'accueillent', 'aident'];equip motiv servic civiqu accueillent aident;1
en un mot  severine courtel  j ai rarement rencontre de personne aussi humaine et bienveillante  tres a l ecoute  comprehensive et de bon conseil  un enorme merci  je vous souhaite de tomber sur elle ;1;['severin', 'courtel', 'rar', 'person', 'comprehen', 'tomb'];severin courtel rar person comprehen tomb;-1
je ne comprends pas comment des gens aussi incompetents peuvent avoir un poste si important j ai eu un entretien telephonique pour trouver une formation et la conseillere elle me dit quoi     il faut avoir de l experience pour faire une formation     ;1;['incompetent', 'format', 'format'];incompetent format format;-1
je ne suis pas demandeur d emploi je suis passe pour me renseigner pour la creation de l entreprise premierement la salle etait vide les deux dames j ai croise m ont demandees mon rendez vous j ai repondu que je n ai pas c etait pour me renseigner elle m ont parle tres mechamment les deux aux memes temps me disant y a l interphone il falait pas rentre on dirait je fais la manche tout ca car elle veulent aller fumer en bas et j ai toujour garder mon sang froid et la je vais me renseigner sur le net et me debrouiller tout esperant que je vais trouver une solution tout seul ce que je veux dir par ce message a ces dames que la roue tourne ca arrivera votre tour un jour au l autre et vous verrez comment on peut vous traite c etait mardi 20 decembre 2022 a 14 h 45;1;['sall', 'vid', 'crois', 'mech', 'interphon', 'fal', 'dir', 'manch', 'veulent', 'fum', 'toujour', 'gard', 'sang', 'froid', 'net', 'debrouill', 'dir', 'rou', 'arriv', 'tour', 'verr', 'mard', '14', 'h', '45'];sall vid crois mech interphon fal dir manch veulent fum toujour gard sang froid net debrouill dir rou arriv tour verr mard 14 h 45;0
personne repond meme sous 24 48 72h ne pas compter sur eux pour retrouver un travail;1;['person', '24', '48', '72h', 'compt'];person 24 48 72h compt;-1
si vous n avez besoin de rien allez y   par contre pour l accompagnement dans les solutions d un projet deja avance mais semble t il meme trop pour eux   vous restez le bec dans l eau     sans parler de la facon dont l interlocuteur vous parle et se prend pour l autorite meme du systeme la ou sa limite est mise en evidence    bravo pour cette experience psychorigide et limitative d un soi disant systeme d accompagnement  pour finir le jugement personnel porte par cette femme aux cheveux rose violet  sera formalise aupres de la hierarchie par ecrit  pas de tickets de passage   pas de sieges d attente pour les personnes a mobilite reduite ou agees    etc    ;1;['solut', 'rest', 'bec', 'eau', 'interlocuteur', 'autor', 'system', 'psychorigid', 'soi', 'system', 'jug', 'personnel', 'femm', 'cheveux', 'ros', 'violet', 'formal', 'hierarch', 'ticket', 'passag', 'sieg', 'person', 'reduit'];solut rest bec eau interlocuteur autor system psychorigid soi system jug personnel femm cheveux ros violet formal hierarch ticket passag sieg person reduit;0
je trouve qu ils sont incompetents et en plus ils se moque des gens   et ils aident pas du tout les personnes   ils vous envoient des recherches qui n ont rien a voir avec vos demandes   et en plus de ca vous font attendre presque 4 mois pour vous annoncer un refus d allocation  mieux faut se debrouiller seul comme on dit;1;['incompetent', 'moqu', 'aident', 'person', 'envoient', 'alloc', 'debrouill'];incompetent moqu aident person envoient alloc debrouill;-1
on te fais venir encore et encore pour des papiers et on te recois avec mepris  changez de boulot ca evitera un debordement un jours ;1;['mepr', 'chang', 'boulot', 'debord'];mepr chang boulot debord;-1
mon premier rendez vous le 15 septembre  difficile a trouver le lieux  mais on s adapte  l accueil est comprehensif  malgre un peu d attente j ai ete recue par une dame gentille  qui nous met a l aise et qui sait donner des solutions et des explications   merci;1;['lieux', 'comprehen', 'gentill', 'ais', 'solut'];lieux comprehen gentill ais solut;0
bien et accueil sympathique  je vais pas faire toute une explication sur ce que c est pole emploi car je pense que tout le monde connais et sait a quoi sa sert  par contre bon juste etre un peu plus polis au telephone ne serais pas trop demande ;1;['sympath'];sympath;-1
mon premier rendez vous le 15 septembre  difficile a trouver le lieux  mais on s adapte  l accueil est comprehensif  malgre un peu d attente j ai ete recue par une dame gentille  qui nous met a l aise et qui sait donner des solutions et des explications   merci;1;['lieux', 'comprehen', 'gentill', 'ais', 'solut'];lieux comprehen gentill ais solut;0
bien et accueil sympathique  je vais pas faire toute une explication sur ce que c est pole emploi car je pense que tout le monde connais et sait a quoi sa sert  par contre bon juste etre un peu plus polis au telephone ne serais pas trop demande ;1;['sympath'];sympath;-1
conseiller pas du tout present  on vous envoie bouler en vous demandant de prendre rendez vous  si vous voulez trouver un travail ne compter pas sur eux  on se demande bien a quoi il servent ;1;['boul', 'compt'];boul compt;0
tres bon accueil de la part de me cevaet mr khalid des personnes humaines a l ecoute qui connaissent tres bien leur sujet merci pour votre accueil au csp;1;['cevaet', 'mr', 'khalid', 'person', 'connaissent', 'csp'];cevaet mr khalid person connaissent csp;-1
horrible  pas d autres mots  accueil sympathique mais conseillere desagreable  qui ne vous ecoute pas  vous regarde de la tete aux pieds et ne prend absolument pas vos demandes en compte      en travaillant dans ce genre de milieu il faudrait un peu etre humain  ou changer de metier ;1;['horribl', 'sympath', 'regard', 'tet', 'pied', 'compt', 'milieu'];horribl sympath regard tet pied compt milieu;-1
j ai ete tres bien renseigne avec un personnel sympathique    ;1;['personnel', 'sympath'];personnel sympath;-1
personnel incompetent;1;['personnel', 'incompetent'];personnel incompetent;-1
trop peu de personnel trop d attente;1;['personnel'];personnel;-1
personnels tres arrogant;1;['personnel', 'arrog'];personnel arrog;-1
meilleur conseillere madame moreno;1;['meilleur', 'moreno'];meilleur moreno;0
merci pour votre implication et votre accueil;1;['impliqu'];impliqu;-1
pitoyable d une personne a l autre pas du tout le meme discours    ;1;['pitoi', 'person', 'discour'];pitoi person discour;0
j ai eu un rv telephonique et la personne au telephone etait sympathique et serviable  elle a su repondre a toutes mes questions et bien me conseiller  j espere que ca continuera ainsi     ;1;['rv', 'person', 'sympath', 'serviabl'];rv person sympath serviabl;-1
je suis alle a l accueil et une femme tres desagreable de mauvaise humeur parle mal au gens et surtout ce qui m a frappe c est sont racisme elle se moque de l accent des maghrebines et des qu une femme entre avec le foulard sur la tete elle souffle de degout;1;['femm', 'humeur', 'frapp', 'racism', 'moqu', 'accent', 'maghrebin', 'femm', 'foulard', 'tet', 'souffl', 'degout'];femm humeur frapp racism moqu accent maghrebin femm foulard tet souffl degout;0
la personne avec qui j avais eu echange est sympathique et a disposition;1;['person', 'sympath'];person sympath;-1
les personnes avec qui j ai eu a echanger etait sympathique et disponible ;1;['person', 'sympath'];person sympath;-1
equipe incompetente completement incapable de fournir un renseignement correctement resultats   je galere a obtenir un droit d option depuis maintenant 3 semaine et demi je ne toujours pas le dossier;1;['equip', 'incompetent', 'gal', 'option', 'dem', 'doss'];equip incompetent gal option dem doss;-1
pole emploi incompetent  service mediocre  si vous avez des projets et bien ne comptez pas sur eux pour vous aider  a part me faire gaspiller du temps et de l argent pour aller a des reunions qui ne concernent meme pas mon projet professionnel  ils ne servent a rien d autre  ne merite meme pas une etoile ;1;['incompetent', 'servic', 'mediocr', 'compt', 'gaspill', 'argent', 'concernent', 'mer'];incompetent servic mediocr compt gaspill argent concernent mer;-1
je suis passe chercher des formulaires administratifs  accueil sympathique et personnel serviable ;1;['formulair', 'administr', 'sympath', 'personnel', 'serviabl'];formulair administr sympath personnel serviabl;-1
j ai du change 1 fois de conseiller car haussement de ton et insulte de sa part  une fois un nouveau conseiller  j avais besoin d aide pour une reconversion et on m a limite dit au vu de mes etudes que le conseiller ne comprenait pas pourquoi je cherchais dans un autre branche  ils ne sont pas senses nous aider a trouver du travail  inutile  je me suis debrouille seul et sans avoir besoin d eux ;1;['hauss', 'insult', 'reconver', 'etud', 'compren', 'cherch', 'branch', 'debrouill'];hauss insult reconver etud compren cherch branch debrouill;0
inscrite comme demandeuse a l agence de poitiers futuroscope  conseillere reactive et a l ecoute  elle m a propose des services qui m ont bien accompagnes dans mon projet de reconversion professionnelle  ;1;['inscrit', 'agenc', 'poit', 'futuroscop', 'reactiv', 'servic', 'reconver'];inscrit agenc poit futuroscop reactiv servic reconver;-1
a l ecoute rien a dire le top  ils conseille tres bien bonne experience;1;['top'];top;0
aujourd hui   rdv sur le pole emploi de gardanne  13   pour atelier detection de potentiel secteur hotellerie restauration tourisme  ce matin de 9 h a 11h30   le directeur d agence a refuse que l on se serve des sanitaires   motif   plan vigipirate alors que dans tout autre etablissement public ils sont libres  resultat   n ayant pas pu tenir toute la matinee  j ai ete contrainte d abandonner mon atelier  l animatrice de cette atelier a fait un rapport ;1;['rdv', 'gardann', '13', 'atel', 'detect', 'potentiel', 'hotel', 'restaur', 'tourism', '9', 'h', '11h30', 'directeur', 'agenc', 'serv', 'sanitair', 'plan', 'vigipirat', 'etabl', 'libr', 'ten', 'matin', 'contraint', 'abandon', 'atel', 'anim', 'atel'];rdv gardann 13 atel detect potentiel hotel restaur tourism 9 h 11h30 directeur agenc serv sanitair plan vigipirat etabl libr ten matin contraint abandon atel anim atel;-1
depuis que je ne suis plus indemniser  aout 2022   etrangement mes conseillers  oui parce qu ils changent tous le temps  me contactent plus pour m aider dans ma recherche d emploi ;1;['indemn', 'etrang', 'changent', 'contactent'];indemn etrang changent contactent;-1
de plus en plus  impoli  meprisant et hautain   service pire que deplorable a ce stade  heureusement que les entretiens ce font par telephone  n appelez pas  surtout en fin de journee au risque de tomber sur une harpie aigris qui ne vous ecoutera pas et vous enverra chiee  entretiens telephoniques  les responsables je vois invite a ecouter l audio du jeudi 10 octobre 2022 sur mes allocations que je cotise;1;['impol', 'mepr', 'hautain', 'servic', 'deplor', 'stad', 'tomb', 'harp', 'aigr', 'enverr', 'chi', 'respon', 'vois', 'invit', 'audio', 'jeud', 'alloc'];impol mepr hautain servic deplor stad tomb harp aigr enverr chi respon vois invit audio jeud alloc;0
aucun accompagnement  mme yeti pas d experience  trop jeune  repond pas aux mail pas de telephone  idem pour service indemnite zero pointe  c est plutot pole pas emploi;1;['mme', 'yeti', 'jeun', 'idem', 'servic', 'indemn'];mme yeti jeun idem servic indemn;0
ce vraiment horrible on se deplace pour un atestation et leur machine il ne fonctionne pas  se vraiment des bras casse  ils doivent les les licencies et mettre les gens competent avec des diplomes  bras casse vous servais a rien;1;['horribl', 'atest', 'machin', 'bras', 'cass', 'licenc', 'competent', 'bras', 'cass', 'serv'];horribl atest machin bras cass licenc competent bras cass serv;1
i m an english speaker and i was little worried about how  i m going to convey to people in french but luckily i met  amara  such a beautiful and wonderful girl who guide me step by step without any hesitation always with warm smile   amara the best ;1;['i', 'english', 'speak', 'and', 'i', 'was', 'littl', 'worried', 'about', 'how', 'i', 'going', 'to', 'convey', 'to', 'peopl', 'in', 'french', 'but', 'luckily', 'i', 'amar', 'such', 'beautiful', 'and', 'wonderful', 'girl', 'who', 'guid', 'step', 'by', 'step', 'without', 'any', 'hes', 'alway', 'with', 'warm', 'smil', 'amar', 'the', 'best'];i english speak and i was littl worried about how i going to convey to peopl in french but luckily i amar such beautiful and wonderful girl who guid step by step without any hes alway with warm smil amar the best;0
je suis arrive tres enerve  je suis reparti avec le sourire grace a cette conseillere   une dame antillaise indienne de la martinique   elle m a aidee a mettre en place un echeancier sur mon espace  tres gentille cette dame ;1;['enerv', 'repart', 'sour', 'antill', 'indien', 'martin', 'echeanc', 'gentill'];enerv repart sour antill indien martin echeanc gentill;0
une belle diversite a l accueil    les conseillers aussi        tous les services sont incompetents   ;1;['divers', 'servic', 'incompetent'];divers servic incompetent;-1
accueil et attente assez rapide et des conseilleres qui ont pu regler un probleme en quelques minutes et en plus de ca ces dernieres sont tres gentilles et tres precises sur les explications;1;['gentill'];gentill;0
je suis agreablement surprise par le serieux des conseilleres de ce pole emploi  un grand merci a mme silva pour son professionnalisme  elle m a conseillee et a traite mon dossier tres rapidement    merci  ;1;['mme', 'silv', 'professionnal', 'doss'];mme silv professionnal doss;1
sur rdv pas de problemes  a l  heure conseillere tres bien a l ecoute;1;['rdv'];rdv;0
j ai toujours ete tres bien recu;1;[];;-1
une etoile c est deja trop      je suis habitue des incompetence et absurdite au niveau de administration   mais ici ca depasse toutes mes esperance    ;1;['habitu', 'incompetent', 'absurd', 'administr', 'dep'];habitu incompetent absurd administr dep;-1
tres bien recu  accueil tres agreable tres bonne ecoute et bons  conseils merci;1;[];;-1
tres mauvaise agence et je ne decolere pas depuis plusieurs annees  j ai realise un dossier de demande de formation qui a ete egare par cette agence  j ai  aujourd hui  encore mal aux oreilles  lorsque par telephone  qu une personne responsable de l agence d evreux m annonce que le pole emploi de gisors a egare mon dossier  un deploiement d energie  de moyens pour s en sortir qui finalement n abouti pas du tout  aujourd hui  on continu de me repondre avec denie  voire des phrases formatees  je suis dans l impasse depuis   de 2 ans en raison d un total manque de respect via le demandeur d emploi  je vous invite pas non plus  a suivre l une de leur formation  des formations particulierement ennuyeuses avec pour certains formateur un manque de pedagogie evidente et a souligner   a noter   que les avis favorables de cette page sont essentiellement ecrites par des  local guide  a se demander si  certains ne sont pas  mandates  pour ecrire ce type de texte     une agence pour l emploi d une tres negligence et d une grande incompetence  une enquete mediapart me semble a l avenir indispensable    ;1;['agenc', 'decol', 'doss', 'format', 'egar', 'agenc', 'oreil', 'person', 'respon', 'agenc', 'evreux', 'gisor', 'egar', 'doss', 'deploi', 'energ', 'about', 'den', 'phras', 'format', 'impass', 'respect', 'invit', 'format', 'format', 'ennui', 'pedagog', 'soulign', 'favor', 'essentiel', 'guid', 'mandat', 'ecrir', 'agenc', 'negligent', 'incompetent', 'enquet', 'mediapart', 'aven', 'indispen'];agenc decol doss format egar agenc oreil person respon agenc evreux gisor egar doss deploi energ about den phras format impass respect invit format format ennui pedagog soulign favor essentiel guid mandat ecrir agenc negligent incompetent enquet mediapart aven indispen;-1
le personnel est competent et professionnel;1;['personnel', 'competent'];personnel competent;1
on vous attribue un conseiller qui n est jamais la pour vous j ai besoin de faire un changement de situation auto entrepreneur sauf que sur le site et appli c est soit cdd ou cdd je demande donc avoir m a conseillere au telephone mais non je doit attendre mon rdv de recherche d emploi en avril qui du coup ne me servira pas donc me fera perdre du temps et de l agent comme a eux mais non personne repond du coup a quoi servent les conseillers       expliquer moi s ils nous conseillent pas et nous aident pas dans nos demarche   ;1;['attribu', 'auto', 'entrepreneur', 'appli', 'cdd', 'cdd', 'rdv', 'serv', 'agent', 'person', 'conseillent', 'aident', 'demarch'];attribu auto entrepreneur appli cdd cdd rdv serv agent person conseillent aident demarch;-1
la pire antenne pole emploi a laquelle j ai eu affaire  certains   conseilles   incompetents abusent de leur position et outrepassent leurs droits et tentent de vous intimider  un grand menage a faire  ;1;['anten', 'affair', 'incompetent', 'abusent', 'outrep', 'tentent', 'intimid', 'menag'];anten affair incompetent abusent outrep tentent intimid menag;-1
les pires   ils se moquent des gens  sont irrespectueux et arrogant  aucune empathie et ne souhaitent pas comprendre que nous ne rentrons pas tous dans leurs petits questionnaires  ce pole emploi n est clairement pas la pour aider les gens a retrouver un emploi ni pour les soutenir pendant cette recherche d emploi  une honte  ;1;['pir', 'moquent', 'irrespectu', 'arrog', 'empath', 'souhaitent', 'rentron', 'questionnair', 'souten'];pir moquent irrespectu arrog empath souhaitent rentron questionnair souten;0
personnel qui a l air d etre completement a l ouest  envoi des candidatures a des offres ne correspondant pas au profil  ecrit des syntheses d entretient n ayant jamais eu lieu  ils ne savent plus quoi faire pour faire reduire le nombre de chomeur;1;['personnel', 'air', 'ouest', 'offre', 'profil', 'synth', 'entretient', 'savent', 'reduir'];personnel air ouest offre profil synth entretient savent reduir;0
l incompetence   je me suis deplacer pour un rdv   ils m ont fait attendre 45 minutes pour pouvoir declarer au personnel ma presence afin d aller au rdv   une foie recu on me refuse le rdv en me disant que je suis en retard   je suis outree   en plus de ca   j ai attendu 45 minutes pour que les personne derriere moi sois prise en charge avant   n importe quoi   et en plus de ca les conseillaires bien au chaud dans leur bureau sons de veritable mur   d un desagreable a haut niveaux ce croient au dessus de tout le monde  ;1;['incompetent', 'rdv', '45', 'declar', 'personnel', 'presenc', 'rdv', 'foi', 'rdv', 'retard', 'outr', 'attendu', '45', 'person', 'derri', 'conseillair', 'chaud', 'bureau', 'mur', 'haut', 'croient', 'dessus'];incompetent rdv 45 declar personnel presenc rdv foi rdv retard outr attendu 45 person derri conseillair chaud bureau mur haut croient dessus;-1
entre le fait de faire venir des gens pour une reunion rsa avec que des gens qui ne le touche pas et le fait d envoyer des convocations pour un rdv qui en fait n en sont pas et qu il faut seulement signer un papier  on a le gros lot de l incompetence  personne ne sait jamais rien la dedans  meprisants envers des gens qui sans eux seraient tout simplement a leur place de chomeur  y a de quoi etre fier en rentrant chez soi ptdr ;1;['rsa', 'convoc', 'rdv', 'lot', 'incompetent', 'person', 'dedan', 'mepr', 'enver', 'fi', 'soi', 'ptdr'];rsa convoc rdv lot incompetent person dedan mepr enver fi soi ptdr;-1
vrai incompetence de la part toutes les personnelles je ne jamis vu ca    ;1;['incompetent', 'personnel', 'jam'];incompetent personnel jam;-1
tres bon accueil grande disponibilite des agents rien n a reprocher un grand merci;1;['disponibil', 'agent', 'reproch'];disponibil agent reproch;1
tres bon accueil conseillere tres competente et agreable rien a redire;1;['competent', 'red'];competent red;1
franchement  top   j y suis allez car il me manquer un papier malgre  leur souci internet le monsieur  a  l accueil  a tout fait pour que je reparte avec mon papier  pour moi ca  s appelle  bien faire son travail  merci vraiment a vous    ;1;['top', 'souc', 'internet', 'repart'];top souc internet repart;-1
la personne a l accueil m a accompagne dans mes demarches et a ete de bon conseil souriante  agreable  merci de faire en sorte que votre bonne humeur soit contagieuse ;1;['person', 'demarch', 'sour', 'humeur', 'contag'];person demarch sour humeur contag;-1
bonjour a tous  alors voila je suis incriste a la mission locale et pole emploi depuis 2017 2018  je n es jamais rencontree un aussi bon conseiller que monsieur michel  toujours a l ecoute  toujours disponible pour discute de projet ou autres  de la bienveillance  bravo et merci a lui pour l aide qu il m a apporte  ;1;['incrist', '2017', '2018', 'michel', 'discut', 'apport'];incrist 2017 2018 michel discut apport;0
je recommande le pole emploi de guingamp   en effet j ai demande plusieurs fois a avoir un rdv avec mes conseillers et ceux ci ont accepte que ce soit par mail   telephone   un rdv physique a l agence   ma conseillere s est meme deplacee jusqu a l agence de paimpol pour avoir un entretien sur mes demarches   j attends un financement pour une formation et j ai ete bien conseille pour savoir quels organismes contacter   felicitation pour votre patience et votre serieux a bientot   kenavo;1;['recommand', 'guingamp', 'rdv', 'rdv', 'agenc', 'agenc', 'paimpol', 'demarch', 'attend', 'financ', 'format', 'contact', 'felic', 'patienc', 'bientot', 'kenavo'];recommand guingamp rdv rdv agenc agenc paimpol demarch attend financ format contact felic patienc bientot kenavo;0
bon generalement tout va bien en ce qui me concerne mais ce matin la dame qui m a accueilli etait vraie semblablement une employe  elle a mis en doute ma demande de visibilite des curriculums recruteurs pendant pres de 5 minutes et ma oriente sur le site apres avoir insiste elle decide enfin d aller chercher l information une collegue me confirme et me montre les cv et me precise ils ne sont pas en ligne ca arrivent de faire des erreurs mais surtout pas faire passe le demandeur pour un    ;1;['semblabl', 'visibil', 'curriculum', 'recruteur', 'orient', 'insist', 'collegu', 'confirm', 'montr', 'arrivent'];semblabl visibil curriculum recruteur orient insist collegu confirm montr arrivent;1
ne comprends pas quand on leur expliquer des choses  et nous prenne de haut tous juste si il nous envoie pas sur les rose  je leur expliquer que je quitte le departement dans moin de 3 mois mes il me force q trouver un emploi ou formation ;1;['pren', 'haut', 'ros', 'quitt', 'moin', 'q', 'format'];pren haut ros quitt moin q format;0
un accueil professionnel  la conseillere a compris ma situation et a reussie a me proposer le service qui m aidera a avancer sur mon projet  se sont des professionnels qui s adaptent aux gens  aux projets mais aussi aux conditions du marche de l emploi  rien n est evident dans la vie  c est un combat au quotidien  il vaut se bouger et trouver des solutions  merci ;1;['compr', 'reuss', 'servic', 'adaptent', 'cond', 'combat', 'quotidien', 'vaut', 'boug', 'solut'];compr reuss servic adaptent cond combat quotidien vaut boug solut;0
un grand merci a madame lea pour son aide   meme si je ne parle pas francais  il a patiemment tout explique tres bien et a ete tres utile   c est tres agreable d avoir des employes aussi jeunes  souriants et attentionnes ;1;['patient', 'util', 'jeun', 'sour'];patient util jeun sour;-1
les conseillers sont la pour nous aider ou nous rabaisser  pire rendez vous que j ai eu avec une conseillere qui se permet de me dire qu elle ne croit pas en mon projet car pas de debouches et me parle d une formation de chauffeur poids lourd ou de bus car actuellement ca recrute tout en me faisant comprendre que je n avais pas le choix de faire un metier qui ne me plait pas car je suis au chomage   donc quand on a un projet qui nous tient a cur  on nous le casse  je crois que je suis tombee sur la pire conseillere ;1;['rabaiss', 'croit', 'debouch', 'format', 'chauffeur', 'poid', 'lourd', 'bus', 'plait', 'chomag', 'tient', 'cur', 'cass', 'crois'];rabaiss croit debouch format chauffeur poid lourd bus plait chomag tient cur cass crois;0
j aurais mis 0 etoile  j appelle ce matin des l ouverture pour savoir quel justificatif il demande exactement pour une reinscription apres un conge maternite  on me transfere le service indemnisation qui n a rien compris a ce que je demandais   alors que c est tres simple  surtout en ce qui concerne le cmg  je precise que je n ai jamais pris de conge parentale car la conseillere a cru a cela car elle ne sait pas ce qu est le cmg  alors soit elle doit changer de metier soit se former  j ai appele pour une simple question j attendais une simple reponse courtoise mais  cela aussi doit s apprendre en tant qu individu  ya du travail  au moins a versailles ils etaient polis et intelligents;1;['ouvertur', 'justif', 'exact', 'reinscript', 'cong', 'matern', 'transf', 'servic', 'indemn', 'compr', 'cmg', 'cong', 'parental', 'cru', 'cmg', 'attend', 'repon', 'courtois', 'apprendr', 'individu', 'ya', 'versaill', 'intelligent'];ouvertur justif exact reinscript cong matern transf servic indemn compr cmg cong parental cru cmg attend repon courtois apprendr individu ya versaill intelligent;0
enieme echange avec une personne qu il a fallut plusieurs fois expliquer de ne pas etre meprisant  je pense qu elle est a bout et qu elle devrait changer de metier;1;['eniem', 'person', 'fallut', 'mepr'];eniem person fallut mepr;-1
j y suis allee hier et j etais tres stressee car j avais lu les commentaires ici  je pensais  oh lala ca va trainer cette affaire    ils ne vont pas m aider et je vais m enerver   et puis finalement  contrairement a ce qui se dit ici  j ai ete agreablement surprise par la gentillesse  la politesse et la patience des personnes  je n ai pas eu de contact avec des conseillers  je n ai parle qu a la personne de l accueil et aux personnes qui aident aux guichets  je les ai vu tres patientes et aidantes  je les remercie ;1;['hi', 'stress', 'lu', 'commentair', 'oh', 'lal', 'train', 'affair', 'enerv', 'gentilless', 'politess', 'patienc', 'person', 'contact', 'person', 'person', 'aident', 'guichet', 'patient'];hi stress lu commentair oh lal train affair enerv gentilless politess patienc person contact person person aident guichet patient;-1
inadmissible     jamais on ne m a parle comme ca   la conseillere tres agressive  aucune empathie  je n ai jamais vu ca   ;1;['inadmissibl', 'agress', 'empath'];inadmissibl agress empath;-1
c est quoi c est horaire de chomeur    c est quand meme un comble de travailler chez pole emplois et de travailler moins qu un chomeur  9h 13h ahahah qu elle bande de branlos c est gens la   ;1;['horair', 'combl', '9h', '13h', 'ahahah', 'band', 'branlos'];horair combl 9h 13h ahahah band branlos;0
ils ce permettent d arriver 30 minutes en retard pour des reunion d information est font esperer les gens a fuir comme de la peste de beau parleurs ils ne respectent aucun engagement;1;['permettent', 'retard', 'fuir', 'pest', 'parleur', 'respectent', 'engag'];permettent retard fuir pest parleur respectent engag;-1
l accueil est inadmissible  jammais j ai vue cela    jsuis un jeune de 21 ans je suis venu pour une pmsmp pour une entreprise qui souhaitent me prendre en formation pour un bac pro   alors  pour commencer peine arrive la conseillere mme lionnet dany denigre mon physique  me dit  que je sais pas faire mon metier en vendeur alimentaire  j ai quand meme travailler dans 3 entreprise differents  j ai l impression qu elle as pas vu mon cv  qu elle as juste lu le titre du cv   c est vraiment irrespectueux et demotivant pour sa recherche d emploi   je prefere faire une pmsmp par la mission local qui sont vraiment la pour aider les jeunes et les ecouter pour apporter leur aide   si tout les conseillers pole emploi sont tous comme mme lionnet dany bonne chance pour essayer de retourver une situation professionnelle    si  pole emploi vanduvre peux eviter d employe des personnes dehagreable pour les demandeurs d emploi ca serait vraiment cool pour tout le monde;1;['inadmissibl', 'jamm', 'jsuis', 'jeun', '21', 'venu', 'pmsmp', 'souhaitent', 'format', 'bac', 'pro', 'mme', 'lionnet', 'dany', 'denigr', 'vendeur', 'alimentair', 'impress', 'lu', 'irrespectu', 'demotiv', 'pref', 'pmsmp', 'jeun', 'apport', 'mme', 'lionnet', 'dany', 'retourv', 'vanduvr', 'person', 'dehagr', 'cool'];inadmissibl jamm jsuis jeun 21 venu pmsmp souhaitent format bac pro mme lionnet dany denigr vendeur alimentair impress lu irrespectu demotiv pref pmsmp jeun apport mme lionnet dany retourv vanduvr person dehagr cool;0
personnel et la direction incompetent et desagreable   1 etoile parce que il n y a pas zero;1;['personnel', 'incompetent'];personnel incompetent;-1
j ai ete super bien accueilli   la conseillere a ete a mon ecoute  merci  des locaux modernes et superbe experience ;1;['modern', 'superb'];modern superb;-1
j ai ete super bien accueilli  la conseillere a ete a mon ecoute  superbe experience dans des locaux modernes ;1;['superb', 'modern'];superb modern;-1
