Description;accueil;Description_2;Description_3;clusters
j ai pris rdv sur internet directement avec mon conseiller  c est top   rdv dans leur agence  par telephone ou meme en webcam  facile a choisir soi meme  toujours un accueil professionnel  bravo merci de votre accompagnement et de la prise en compte de ma situation particuliere  au telephone  j avais deja eu un gestionnaire de l indemnisation qui avait ete hyper efficace et clair  en plus  confirmation de note discussion recue par mail  c est pro et serieux  merci a vous ;1;['rdv', 'internet', 'top', 'rdv', 'agenc', 'webcam', 'soi', 'compt', 'gestionnair', 'indemnis', 'hyp', 'discuss', 'pro'];rdv internet top rdv agenc webcam soi compt gestionnair indemnis hyp discuss pro;-1
une equipe a l ecoute de ses interlocuteurs fragilises  merci pour vos bons conseils qui orientent bien en ce contexte difficile pour beaucoup  une tres bonne experience  clients ;1;['equip', 'interlocuteur', 'fragilis', 'orientent', 'context'];equip interlocuteur fragilis orientent context;-1
honteux  quand on appelle on attend 20 min pour avoir quelqu un pour qu au final on nous dise de rappeler ulterieurement car tous les conseiller sont en ligne  quand on arrive a avoir qlq au bout du fil la personne aide en rien a part dire   envoyez un mail a un tel   quand on se deplace en agence parceque on a pas eu de l aide au telephone  les personnes de l agence nous prennent de haut  ecoute pas nos explications  et nous envoie balader en disant d envoyer des mails a pierre paul jack au final on a toujours pas eu de reponse a nos questions  merci pole emploi  ;1;['attend', 'min', 'ulterieur', 'qlq', 'fil', 'person', 'tel', 'agenc', 'parcequ', 'person', 'agenc', 'prennent', 'haut', 'balad', 'pierr', 'paul', 'jack', 'repons'];attend min ulterieur qlq fil person tel agenc parcequ person agenc prennent haut balad pierr paul jack repons;1
ouvert jeudi matin soit disant jusqu a midi 30 puis ferme quand tu fait 1h30 de route a midi envoi de la part du directeur de l agence des menaces penales sans aucune raison  bref j ai  fait 3 jours a pole emploi orange avant de muter  puis la plupart ne comprennent rien  les adresses mails ne marchent pas  ils t appel 5 fois de suite mais rien n avance   j ai 3 ans en pologne mais impossible de faire le necessaire pour mon alloc;1;['ouvert', 'jeud', 'ferm', '1h30', 'rout', 'directeur', 'agenc', 'penal', 'orang', 'mut', 'plupart', 'comprennent', 'marchent', 'pologn', 'alloc'];ouvert jeud ferm 1h30 rout directeur agenc penal orang mut plupart comprennent marchent pologn alloc;-1
jamais eu de soucis  ils font leur taff  juste ma conseillere  n est  pas terrible  mais sinon a l accueil pas de probleme  a signaler;1;['souc', 'taff', 'terribl'];souc taff terribl;1
reunion sur la creation d entreprise  bon accueil  4 personnes en presentiel donc parfait pour poser des questions ;1;['person', 'presentiel', 'parf', 'pos'];person presentiel parf pos;-1
reunion collective forte interessante animees par 2 conseilleres dynamiques et professionnelles  le lendemain  appel de ma conseillere  excellent debut de suivi  reactivite et rv defini pour rebondir dans le monde du travail  reactivite et disponibilite;1;['collect', 'anime', 'dynam', 'lendemain', 'excellent', 'reactivit', 'rv', 'defin', 'rebond', 'reactivit', 'disponibilit'];collect anime dynam lendemain excellent reactivit rv defin rebond reactivit disponibilit;0
awesome staff very quick help  ;1;['awesom', 'staff', 'very', 'quick', 'help'];awesom staff very quick help;-1
je me fait radie tres rapidement   mes pour faire le point sur votre situation   y a personne   tres gros escroc   l es personne a l accueil son pomme   personne ne peut vous renseigner   merci pole emploi de m avoir radie    ;1;['person', 'escroc', 'person', 'pomm', 'person'];person escroc person pomm person;-1
apres mettre rendu sur place et avoir envoye un nombre de mails consequents  se n est qu une fois que que je partage mon agacement avec eux qu ils daignent enfin vouloir me repondre  pour me dire que ma conseillere est en vacances et me renvoyer vers un organisme avec qui j ai du prendre rdv  rdv qui a durer moins de 2min car il ne pouvais pas m aider  le mieux qu ils aient pu faire s est me renvoyer vers pole emploi en me conseillant de les harceler  de nouveau avec pole emploi et encore apres un nombre de mails consequents ma conseillere est bien rentrer et me renvoie cette fois ci vers la mission locale  je prends alors rdv avec la mission locale pour qu ils me disent que j aurais pu regler tout ca directement avec pole emploi eux meme ne comprenant pas pourquoi ils m ont renvoye vers eux   bref une belle bande d incompetent juste bon a se br  ler les  ;1;['partag', 'agac', 'daignent', 'vouloir', 'vacanc', 'renvoi', 'rdv', 'rdv', '2min', 'renvoi', 'harcel', 'renvoi', 'prend', 'rdv', 'disent', 'compren', 'renvoy', 'band', 'incompetent', 'br', 'ler'];partag agac daignent vouloir vacanc renvoi rdv rdv 2min renvoi harcel renvoi prend rdv disent compren renvoy band incompetent br ler;0
j ai ete conseille et aide par gabin dans mes demarches merci a lui pour sa disponibilite et sa gentillesse  ca fait tellement plaisir    ;1;['gabin', 'demarch', 'disponibilit', 'gentilless', 'plais'];gabin demarch disponibilit gentilless plais;1
toujours tres bien accueillie et conseillee;1;['conseille'];conseille;1
tres contente d etre suivie la bas  tres bon accueil  ;1;['content'];content;1
une certaine sylvie ma conseillere qui me dit suite a ma demande d obtenir un entretien   je ne vais pas vous faire venir chez moi   dans le plus grand des calme au lieu d expliquer simplement que ce n est pas possible a cause de la situation actuelle    le rdv sera maintenant par telephone et pas autrement    discours de toute puissance qui finira par un    vous allez voir   en fin de conversation   digne d une salarie d un service publique cense prendre en charge l accompagnement des personnes   je ne pense pas ;1;['sylv', 'calm', 'actuel', 'rdv', 'autr', 'discour', 'puissanc', 'dign', 'servic', 'person'];sylv calm actuel rdv autr discour puissanc dign servic person;0
je suis alle voir ma conseillere mais je n ai pas pu car j avais besoin de prendre un rdv mais la receptionniste tres sympathique a repondu a mes questions et m a donne des informations tres utiles ;1;['rdv', 'reception', 'sympath', 'util'];rdv reception sympath util;1
dommage qu on ne puisse pas mettre 0 car 1 5 est deja trop  un accueil desagreable voir execrable  changez de metier mesdames  la situation est deja pas evidente pour les demandeurs d emploi et pour entendre    nous n avons pas le temps   alors que nous avions rendez vous honteux ;1;['execr', 'chang', 'mesdam', 'entendr'];execr chang mesdam entendr;0
juste une honte   j ai eu affaire a marie helene kone  par rdv telephonique qui a dure 30 minutes et cela un an apres mon inscription chez pole emploi  une blague   durant cette annee  je n ai eu aucun appel  aucun rdv  aucune nouvelle  rien  j ai ete oubliee ;1;['affair', 'helen', 'kon', 'rdv', 'blagu', 'rdv', 'oublie'];affair helen kon rdv blagu rdv oublie;0
je suis allee trois fois au pole emploi d oullins et j ai toujours ete tres bien accueillie  les personnes presentes sont gentilles et competentes  en tout cas je n ai rien a redire de ce cote la  elles ont toujours resolu les petits soucis que j avais avec mon dossier  je ne comprends pas les avis negatifs ;1;['oullin', 'person', 'gentill', 'competent', 'redir', 'resolu', 'souc', 'dossi'];oullin person gentill competent redir resolu souc dossi;-1
une tres mauvaise gestion  les gens sont incompetents  les salles sales  les gens ne savent pas repondre aux questions  encore une fois  un tres mauvais service de l etat  merci;1;['gestion', 'incompetent', 'sall', 'sal', 'savent', 'mauv', 'servic'];gestion incompetent sall sal savent mauv servic;-1
bon accueil a chaque fois que je me suis presente et serviable  une etoile en moins pour des avis differents selon la personne a qui on s adresse  et le manque de discretion ;1;['serviabl', 'selon', 'person', 'discret'];serviabl selon person discret;1
bon accueil;1;[];;-1
tres bien recu par mon conseiller  il a fait des pieds et des mains pour m expliquer  comprendre  synthetiser    je vois mal ce qu il aurait pu faire de plus  vraiment agreablement surpris  merci  ;1;['pied', 'main', 'synthetis', 'vois', 'surpr'];pied main synthetis vois surpr;1
au telephone avec la conseillere sophie d une ecoute et d un professionnalisme incroyable il en faudrait plus des personnes comme elle  ;1;['soph', 'professionnal', 'person'];soph professionnal person;1
je souhaite du courage aux personnes s inscrivant aupres de cette agence  autant vous pourrez tomber sur des perles avec un suivi exemplaire qui vous aident et vous conseillent jusqu au bout  autant  vous pourrez tomber sur des personnes peu aidant  pas a l ecoute avec qui il faudra vous armer de patience et bien suivre vos demandes et demarches par vous meme ;1;['courag', 'person', 'inscriv', 'agenc', 'tomb', 'perl', 'exemplair', 'aident', 'conseillent', 'tomb', 'person', 'armer', 'patienc', 'demarch'];courag person inscriv agenc tomb perl exemplair aident conseillent tomb person armer patienc demarch;-1
wow c est la premiere fois de ma vie que je suis a pole emploi et ces gens sont incroyables   je ne comprends pas tellement pourquoi il y a autant de critiques vis a vis de cette institution    les conseillers que j ai eu sont adorables  il y a beaucoup de formations et d opportunites   j ai rien a redire a part que ces gens sont formidables     l accompagnement qu ils proposent est loin d etre poussiereux   pour la creation d entreprise ils proposent des ateliers en design thinking  et c est vraiment efficace et motivant  franchement un grand merci    les seuls problemes que je rencontre sont lies au site web qui bug de temps en temps  mais humainement et du cote de l accompagnement fourni c est un sans faute pour l instant   ;1;['wow', 'critiqu', 'institu', 'ador', 'format', 'opportunit', 'redir', 'formid', 'proposent', 'poussier', 'proposent', 'design', 'thinking', 'motiv', 'seul', 'li', 'web', 'bug', 'instant'];wow critiqu institu ador format opportunit redir formid proposent poussier proposent design thinking motiv seul li web bug instant;-1
equipe performante  humaine  courtoise et a l ecoute;1;['equip', 'perform', 'courtois'];equip perform courtois;1
je me suis rendue lundi matin  dans cette agence tres bon accueil  et bien dirigee vers mes demarches  je vous souhaite de bonnes fetes de fin d annee ;1;['lund', 'agenc', 'dirige', 'demarch', 'fet'];lund agenc dirige demarch fet;1
biensur on y va pas toujours par plaisir mais l accueil est agreable  souriant  tres respectueux  les conseilleres  conseillers sont a l ecoute et de bons conseils  je remercie mme dussol pour son soutien et sa comprehension    ;1;['biensur', 'plais', 'souri', 'respectu', 'mme', 'dussol', 'soutien'];biensur plais souri respectu mme dussol soutien;1
comme dab  service de m      ils sont perdu  ne savent pas se servir d un pc  ne connaissent pas leur metier enfaite mdr;1;['dab', 'servic', 'savent', 'serv', 'pc', 'connaissent', 'enfait', 'mdr'];dab servic savent serv pc connaissent enfait mdr;0
bonjour  j ai ete pour un renseignement et une aide pour savoir comment je peux proceder a mon petit souci a l accueil de pole emploi je suis tombe sur une dame cheveux courts  blonde a lunettes  soixantaine environ  c est bien la premiere fois qu on me parle comme du poisson pourri  j ai essaye de lui expliquer calmement mon probleme  cette dame a fait semblant de ne rien comprendre a mon probleme et m a parle comme si j etais bete  elle m a fait repeter plusieurs fois   plus elle me faisait repeter plus elle parlait tres fort   a l accueil il y a bien marque pour le public de rester calmeavec le personnel de pole emploi chose que je comprends tout a fait  je suis reste calme par contre elle c est tout le contraire j ai demande a voir la responsable de pole emploi  dommage elle devait etre en pause dejeuner mais j aurais voulu qu elle soit la afin de regler le probleme avec cette dame desagreable a l accueil ;1;['proced', 'souc', 'cheveux', 'court', 'blond', 'lunet', 'soixantain', 'poisson', 'calm', 'sembl', 'bet', 'repet', 'repet', 'parl', 'marqu', 'calmeavec', 'personnel', 'calm', 'respons', 'paus', 'dejeun'];proced souc cheveux court blond lunet soixantain poisson calm sembl bet repet repet parl marqu calmeavec personnel calm respons paus dejeun;1
equipe tres motivee   des services civiques qui vous accueillent et vous aident  des conseillers tres professionnels et a l ecoute  ;1;['equip', 'motive', 'servic', 'civiqu', 'accueillent', 'aident'];equip motive servic civiqu accueillent aident;1
en un mot  severine courtel  j ai rarement rencontre de personne aussi humaine et bienveillante  tres a l ecoute  comprehensive et de bon conseil  un enorme merci  je vous souhaite de tomber sur elle ;1;['severin', 'courtel', 'rar', 'person', 'comprehens', 'tomb'];severin courtel rar person comprehens tomb;-1
je ne comprends pas comment des gens aussi incompetents peuvent avoir un poste si important j ai eu un entretien telephonique pour trouver une formation et la conseillere elle me dit quoi     il faut avoir de l experience pour faire une formation     ;1;['incompetent', 'format', 'format'];incompetent format format;-1
je ne suis pas demandeur d emploi je suis passe pour me renseigner pour la creation de l entreprise premierement la salle etait vide les deux dames j ai croise m ont demandees mon rendez vous j ai repondu que je n ai pas c etait pour me renseigner elle m ont parle tres mechamment les deux aux memes temps me disant y a l interphone il falait pas rentre on dirait je fais la manche tout ca car elle veulent aller fumer en bas et j ai toujour garder mon sang froid et la je vais me renseigner sur le net et me debrouiller tout esperant que je vais trouver une solution tout seul ce que je veux dir par ce message a ces dames que la roue tourne ca arrivera votre tour un jour au l autre et vous verrez comment on peut vous traite c etait mardi 20 decembre 2022 a 14 h 45;1;['premier', 'sall', 'vid', 'crois', 'demande', 'mech', 'interphon', 'fal', 'dir', 'manch', 'veulent', 'fum', 'toujour', 'gard', 'sang', 'froid', 'net', 'debrouill', 'dir', 'rou', 'arriv', 'tour', 'verr', 'mard', '14', 'h', '45'];premier sall vid crois demande mech interphon fal dir manch veulent fum toujour gard sang froid net debrouill dir rou arriv tour verr mard 14 h 45;0
personne repond meme sous 24 48 72h ne pas compter sur eux pour retrouver un travail;1;['person', '24', '48', '72h', 'compt'];person 24 48 72h compt;1
si vous n avez besoin de rien allez y   par contre pour l accompagnement dans les solutions d un projet deja avance mais semble t il meme trop pour eux   vous restez le bec dans l eau     sans parler de la facon dont l interlocuteur vous parle et se prend pour l autorite meme du systeme la ou sa limite est mise en evidence    bravo pour cette experience psychorigide et limitative d un soi disant systeme d accompagnement  pour finir le jugement personnel porte par cette femme aux cheveux rose violet  sera formalise aupres de la hierarchie par ecrit  pas de tickets de passage   pas de sieges d attente pour les personnes a mobilite reduite ou agees    etc    ;1;['solut', 'rest', 'bec', 'eau', 'interlocuteur', 'autorit', 'system', 'psychorigid', 'soi', 'system', 'jug', 'personnel', 'femm', 'cheveux', 'ros', 'violet', 'formalis', 'hierarch', 'ticket', 'passag', 'sieg', 'person', 'reduit'];solut rest bec eau interlocuteur autorit system psychorigid soi system jug personnel femm cheveux ros violet formalis hierarch ticket passag sieg person reduit;0
je trouve qu ils sont incompetents et en plus ils se moque des gens   et ils aident pas du tout les personnes   ils vous envoient des recherches qui n ont rien a voir avec vos demandes   et en plus de ca vous font attendre presque 4 mois pour vous annoncer un refus d allocation  mieux faut se debrouiller seul comme on dit;1;['incompetent', 'moqu', 'aident', 'person', 'envoient', 'alloc', 'debrouill'];incompetent moqu aident person envoient alloc debrouill;-1
on te fais venir encore et encore pour des papiers et on te recois avec mepris  changez de boulot ca evitera un debordement un jours ;1;['mepr', 'chang', 'boulot', 'debord'];mepr chang boulot debord;-1
mon premier rendez vous le 15 septembre  difficile a trouver le lieux  mais on s adapte  l accueil est comprehensif  malgre un peu d attente j ai ete recue par une dame gentille  qui nous met a l aise et qui sait donner des solutions et des explications   merci;1;['lieux', 'comprehens', 'gentill', 'ais', 'solut'];lieux comprehens gentill ais solut;1
bien et accueil sympathique  je vais pas faire toute une explication sur ce que c est pole emploi car je pense que tout le monde connais et sait a quoi sa sert  par contre bon juste etre un peu plus polis au telephone ne serais pas trop demande ;1;['sympath'];sympath;-1
mon premier rendez vous le 15 septembre  difficile a trouver le lieux  mais on s adapte  l accueil est comprehensif  malgre un peu d attente j ai ete recue par une dame gentille  qui nous met a l aise et qui sait donner des solutions et des explications   merci;1;['lieux', 'comprehens', 'gentill', 'ais', 'solut'];lieux comprehens gentill ais solut;1
bien et accueil sympathique  je vais pas faire toute une explication sur ce que c est pole emploi car je pense que tout le monde connais et sait a quoi sa sert  par contre bon juste etre un peu plus polis au telephone ne serais pas trop demande ;1;['sympath'];sympath;-1
conseiller pas du tout present  on vous envoie bouler en vous demandant de prendre rendez vous  si vous voulez trouver un travail ne compter pas sur eux  on se demande bien a quoi il servent ;1;['boul', 'compt'];boul compt;1
tres bon accueil de la part de me cevaet mr khalid des personnes humaines a l ecoute qui connaissent tres bien leur sujet merci pour votre accueil au csp;1;['cevaet', 'mr', 'khalid', 'person', 'connaissent', 'csp'];cevaet mr khalid person connaissent csp;-1
horrible  pas d autres mots  accueil sympathique mais conseillere desagreable  qui ne vous ecoute pas  vous regarde de la tete aux pieds et ne prend absolument pas vos demandes en compte      en travaillant dans ce genre de milieu il faudrait un peu etre humain  ou changer de metier ;1;['horribl', 'sympath', 'regard', 'tet', 'pied', 'compt', 'milieu'];horribl sympath regard tet pied compt milieu;-1
j ai ete tres bien renseigne avec un personnel sympathique    ;1;['personnel', 'sympath'];personnel sympath;-1
personnel incompetent;1;['personnel', 'incompetent'];personnel incompetent;-1
trop peu de personnel trop d attente;1;['personnel'];personnel;-1
personnels tres arrogant;1;['personnel', 'arrog'];personnel arrog;-1
meilleur conseillere madame moreno;1;['meilleur', 'moreno'];meilleur moreno;1
merci pour votre implication et votre accueil;1;['impliqu'];impliqu;-1
pitoyable d une personne a l autre pas du tout le meme discours    ;1;['pitoi', 'person', 'discour'];pitoi person discour;1
j ai eu un rv telephonique et la personne au telephone etait sympathique et serviable  elle a su repondre a toutes mes questions et bien me conseiller  j espere que ca continuera ainsi     ;1;['rv', 'person', 'sympath', 'serviabl'];rv person sympath serviabl;1
je suis alle a l accueil et une femme tres desagreable de mauvaise humeur parle mal au gens et surtout ce qui m a frappe c est sont racisme elle se moque de l accent des maghrebines et des qu une femme entre avec le foulard sur la tete elle souffle de degout;1;['femm', 'humeur', 'frapp', 'racism', 'moqu', 'accent', 'maghrebin', 'femm', 'foulard', 'tet', 'souffl', 'degout'];femm humeur frapp racism moqu accent maghrebin femm foulard tet souffl degout;0
la personne avec qui j avais eu echange est sympathique et a disposition;1;['person', 'sympath'];person sympath;-1
les personnes avec qui j ai eu a echanger etait sympathique et disponible ;1;['person', 'sympath'];person sympath;-1
equipe incompetente completement incapable de fournir un renseignement correctement resultats   je galere a obtenir un droit d option depuis maintenant 3 semaine et demi je ne toujours pas le dossier;1;['equip', 'incompetent', 'galer', 'option', 'dem', 'dossi'];equip incompetent galer option dem dossi;-1
pole emploi incompetent  service mediocre  si vous avez des projets et bien ne comptez pas sur eux pour vous aider  a part me faire gaspiller du temps et de l argent pour aller a des reunions qui ne concernent meme pas mon projet professionnel  ils ne servent a rien d autre  ne merite meme pas une etoile ;1;['incompetent', 'servic', 'mediocr', 'compt', 'gaspill', 'argent', 'concernent', 'merit'];incompetent servic mediocr compt gaspill argent concernent merit;-1
je suis passe chercher des formulaires administratifs  accueil sympathique et personnel serviable ;1;['formulair', 'administr', 'sympath', 'personnel', 'serviabl'];formulair administr sympath personnel serviabl;1
j ai du change 1 fois de conseiller car haussement de ton et insulte de sa part  une fois un nouveau conseiller  j avais besoin d aide pour une reconversion et on m a limite dit au vu de mes etudes que le conseiller ne comprenait pas pourquoi je cherchais dans un autre branche  ils ne sont pas senses nous aider a trouver du travail  inutile  je me suis debrouille seul et sans avoir besoin d eux ;1;['hauss', 'insult', 'reconvers', 'etud', 'compren', 'cherch', 'branch', 'sens', 'debrouill'];hauss insult reconvers etud compren cherch branch sens debrouill;-1
inscrite comme demandeuse a l agence de poitiers futuroscope  conseillere reactive et a l ecoute  elle m a propose des services qui m ont bien accompagnes dans mon projet de reconversion professionnelle  ;1;['inscrit', 'agenc', 'poiti', 'futuroscop', 'reactiv', 'servic', 'reconvers'];inscrit agenc poiti futuroscop reactiv servic reconvers;-1
a l ecoute rien a dire le top  ils conseille tres bien bonne experience;1;['top'];top;1
aujourd hui   rdv sur le pole emploi de gardanne  13   pour atelier detection de potentiel secteur hotellerie restauration tourisme  ce matin de 9 h a 11h30   le directeur d agence a refuse que l on se serve des sanitaires   motif   plan vigipirate alors que dans tout autre etablissement public ils sont libres  resultat   n ayant pas pu tenir toute la matinee  j ai ete contrainte d abandonner mon atelier  l animatrice de cette atelier a fait un rapport ;1;['rdv', 'gardann', '13', 'ateli', 'detect', 'potentiel', 'hoteller', 'restaur', 'tourism', '9', 'h', '11h30', 'directeur', 'agenc', 'serv', 'sanitair', 'plan', 'vigipirat', 'etabl', 'libr', 'ten', 'matine', 'contraint', 'abandon', 'ateli', 'anim', 'ateli'];rdv gardann 13 ateli detect potentiel hoteller restaur tourism 9 h 11h30 directeur agenc serv sanitair plan vigipirat etabl libr ten matine contraint abandon ateli anim ateli;-1
depuis que je ne suis plus indemniser  aout 2022   etrangement mes conseillers  oui parce qu ils changent tous le temps  me contactent plus pour m aider dans ma recherche d emploi ;1;['indemnis', 'etrang', 'changent', 'contactent'];indemnis etrang changent contactent;1
de plus en plus  impoli  meprisant et hautain   service pire que deplorable a ce stade  heureusement que les entretiens ce font par telephone  n appelez pas  surtout en fin de journee au risque de tomber sur une harpie aigris qui ne vous ecoutera pas et vous enverra chiee  entretiens telephoniques  les responsables je vois invite a ecouter l audio du jeudi 10 octobre 2022 sur mes allocations que je cotise;1;['impol', 'mepris', 'hautain', 'servic', 'deplor', 'stad', 'tomb', 'harp', 'aigr', 'enverr', 'chie', 'respons', 'vois', 'invit', 'audio', 'jeud', 'alloc'];impol mepris hautain servic deplor stad tomb harp aigr enverr chie respons vois invit audio jeud alloc;0
aucun accompagnement  mme yeti pas d experience  trop jeune  repond pas aux mail pas de telephone  idem pour service indemnite zero pointe  c est plutot pole pas emploi;1;['mme', 'yeti', 'jeun', 'idem', 'servic', 'indemnit', 'point'];mme yeti jeun idem servic indemnit point;0
ce vraiment horrible on se deplace pour un atestation et leur machine il ne fonctionne pas  se vraiment des bras casse  ils doivent les les licencies et mettre les gens competent avec des diplomes  bras casse vous servais a rien;1;['horribl', 'atest', 'machin', 'bras', 'cass', 'licenc', 'competent', 'bras', 'cass', 'serv'];horribl atest machin bras cass licenc competent bras cass serv;1
i m an english speaker and i was little worried about how  i m going to convey to people in french but luckily i met  amara  such a beautiful and wonderful girl who guide me step by step without any hesitation always with warm smile   amara the best ;1;['i', 'english', 'speak', 'and', 'i', 'was', 'littl', 'worried', 'about', 'how', 'i', 'going', 'to', 'convey', 'to', 'peopl', 'in', 'french', 'but', 'luckily', 'i', 'amar', 'such', 'beautiful', 'and', 'wonderful', 'girl', 'who', 'guid', 'step', 'by', 'step', 'without', 'any', 'hesit', 'alway', 'with', 'warm', 'smil', 'amar', 'the', 'best'];i english speak and i was littl worried about how i going to convey to peopl in french but luckily i amar such beautiful and wonderful girl who guid step by step without any hesit alway with warm smil amar the best;0
je suis arrive tres enerve  je suis reparti avec le sourire grace a cette conseillere   une dame antillaise indienne de la martinique   elle m a aidee a mettre en place un echeancier sur mon espace  tres gentille cette dame ;1;['enerv', 'repart', 'sourir', 'antillais', 'indien', 'martin', 'aide', 'echeanci', 'gentill'];enerv repart sourir antillais indien martin aide echeanci gentill;1
une belle diversite a l accueil    les conseillers aussi        tous les services sont incompetents   ;1;['diversit', 'servic', 'incompetent'];diversit servic incompetent;-1
accueil et attente assez rapide et des conseilleres qui ont pu regler un probleme en quelques minutes et en plus de ca ces dernieres sont tres gentilles et tres precises sur les explications;1;['dernier', 'gentill'];dernier gentill;1
je suis agreablement surprise par le serieux des conseilleres de ce pole emploi  un grand merci a mme silva pour son professionnalisme  elle m a conseillee et a traite mon dossier tres rapidement    merci  ;1;['mme', 'silv', 'professionnal', 'conseille', 'dossi'];mme silv professionnal conseille dossi;-1
sur rdv pas de problemes  a l  heure conseillere tres bien a l ecoute;1;['rdv'];rdv;1
j ai toujours ete tres bien recu;1;[];;-1
une etoile c est deja trop      je suis habitue des incompetence et absurdite au niveau de administration   mais ici ca depasse toutes mes esperance    ;1;['habitu', 'incompetent', 'absurdit', 'administr', 'dep'];habitu incompetent absurdit administr dep;-1
tres bien recu  accueil tres agreable tres bonne ecoute et bons  conseils merci;1;[];;-1
tres mauvaise agence et je ne decolere pas depuis plusieurs annees  j ai realise un dossier de demande de formation qui a ete egare par cette agence  j ai  aujourd hui  encore mal aux oreilles  lorsque par telephone  qu une personne responsable de l agence d evreux m annonce que le pole emploi de gisors a egare mon dossier  un deploiement d energie  de moyens pour s en sortir qui finalement n abouti pas du tout  aujourd hui  on continu de me repondre avec denie  voire des phrases formatees  je suis dans l impasse depuis   de 2 ans en raison d un total manque de respect via le demandeur d emploi  je vous invite pas non plus  a suivre l une de leur formation  des formations particulierement ennuyeuses avec pour certains formateur un manque de pedagogie evidente et a souligner   a noter   que les avis favorables de cette page sont essentiellement ecrites par des  local guide  a se demander si  certains ne sont pas  mandates  pour ecrire ce type de texte     une agence pour l emploi d une tres negligence et d une grande incompetence  une enquete mediapart me semble a l avenir indispensable    ;1;['agenc', 'decoler', 'dossi', 'format', 'egar', 'agenc', 'oreil', 'person', 'respons', 'agenc', 'evreux', 'gisor', 'egar', 'dossi', 'deploi', 'energ', 'about', 'den', 'phras', 'formate', 'impass', 'respect', 'invit', 'format', 'format', 'ennui', 'pedagog', 'soulign', 'favor', 'essentiel', 'guid', 'mandat', 'ecrir', 'agenc', 'negligent', 'incompetent', 'enquet', 'mediapart', 'aven', 'indispens'];agenc decoler dossi format egar agenc oreil person respons agenc evreux gisor egar dossi deploi energ about den phras formate impass respect invit format format ennui pedagog soulign favor essentiel guid mandat ecrir agenc negligent incompetent enquet mediapart aven indispens;0
le personnel est competent et professionnel;1;['personnel', 'competent'];personnel competent;-1
on vous attribue un conseiller qui n est jamais la pour vous j ai besoin de faire un changement de situation auto entrepreneur sauf que sur le site et appli c est soit cdd ou cdd je demande donc avoir m a conseillere au telephone mais non je doit attendre mon rdv de recherche d emploi en avril qui du coup ne me servira pas donc me fera perdre du temps et de l agent comme a eux mais non personne repond du coup a quoi servent les conseillers       expliquer moi s ils nous conseillent pas et nous aident pas dans nos demarche   ;1;['attribu', 'auto', 'entrepreneur', 'appli', 'cdd', 'cdd', 'rdv', 'serv', 'agent', 'person', 'conseillent', 'aident', 'demarch'];attribu auto entrepreneur appli cdd cdd rdv serv agent person conseillent aident demarch;1
la pire antenne pole emploi a laquelle j ai eu affaire  certains   conseilles   incompetents abusent de leur position et outrepassent leurs droits et tentent de vous intimider  un grand menage a faire  ;1;['anten', 'affair', 'incompetent', 'abusent', 'outrep', 'tentent', 'intimid', 'menag'];anten affair incompetent abusent outrep tentent intimid menag;-1
les pires   ils se moquent des gens  sont irrespectueux et arrogant  aucune empathie et ne souhaitent pas comprendre que nous ne rentrons pas tous dans leurs petits questionnaires  ce pole emploi n est clairement pas la pour aider les gens a retrouver un emploi ni pour les soutenir pendant cette recherche d emploi  une honte  ;1;['pir', 'moquent', 'irrespectu', 'arrog', 'empath', 'souhaitent', 'rentron', 'questionnair', 'souten'];pir moquent irrespectu arrog empath souhaitent rentron questionnair souten;1
personnel qui a l air d etre completement a l ouest  envoi des candidatures a des offres ne correspondant pas au profil  ecrit des syntheses d entretient n ayant jamais eu lieu  ils ne savent plus quoi faire pour faire reduire le nombre de chomeur;1;['personnel', 'air', 'ouest', 'offre', 'profil', 'synthes', 'entretient', 'savent', 'reduir'];personnel air ouest offre profil synthes entretient savent reduir;-1
l incompetence   je me suis deplacer pour un rdv   ils m ont fait attendre 45 minutes pour pouvoir declarer au personnel ma presence afin d aller au rdv   une foie recu on me refuse le rdv en me disant que je suis en retard   je suis outree   en plus de ca   j ai attendu 45 minutes pour que les personne derriere moi sois prise en charge avant   n importe quoi   et en plus de ca les conseillaires bien au chaud dans leur bureau sons de veritable mur   d un desagreable a haut niveaux ce croient au dessus de tout le monde  ;1;['incompetent', 'rdv', '45', 'declar', 'personnel', 'presenc', 'rdv', 'foi', 'rdv', 'retard', 'outre', 'attendu', '45', 'person', 'derrier', 'conseillair', 'chaud', 'bureau', 'son', 'mur', 'haut', 'niveau', 'croient', 'dessus'];incompetent rdv 45 declar personnel presenc rdv foi rdv retard outre attendu 45 person derrier conseillair chaud bureau son mur haut niveau croient dessus;-1
entre le fait de faire venir des gens pour une reunion rsa avec que des gens qui ne le touche pas et le fait d envoyer des convocations pour un rdv qui en fait n en sont pas et qu il faut seulement signer un papier  on a le gros lot de l incompetence  personne ne sait jamais rien la dedans  meprisants envers des gens qui sans eux seraient tout simplement a leur place de chomeur  y a de quoi etre fier en rentrant chez soi ptdr ;1;['rsa', 'convoc', 'rdv', 'lot', 'incompetent', 'person', 'dedan', 'mepris', 'enver', 'fi', 'soi', 'ptdr'];rsa convoc rdv lot incompetent person dedan mepris enver fi soi ptdr;0
vrai incompetence de la part toutes les personnelles je ne jamis vu ca    ;1;['incompetent', 'personnel', 'jam'];incompetent personnel jam;-1
