Description;telephone;Description_2;Description_3;clusters
1 an et demi de chomage et je n ai vu qu une seule fois mon conseiller  il mettait une bonne semaine avant de repondre a mes mails  et encore    parfois il ne s en donnait pas la peine  jamais il ne m a appele ou donne d autres rendez vous pour savoir ou j en etais  la premiere et derniere fois ou j y suis allee  j avais rendez vous a 14h  s en est suivi d une attente de 1h30  tout en sachant que le  rendez vous  a dure 20min  franchement decue  vous n aidez pas les gens  vous ne les soutenez pas  1 an et demi a chercher un boulot  silence radio complet  je me suis sentie abandonnee   il faut aussi ajouter qu une fois j ai eu une adorable femme au telephone qui a su repondre a toutes mes questions ;1;['dem', 'chomag', '14h', '1h30', '20min', 'souten', 'dem', 'boulot', 'silenc', 'radio', 'abandonne', 'ajout', 'ador', 'femm'];dem chomag 14h 1h30 20min souten dem boulot silenc radio abandonne ajout ador femm;1
personne au telephone    qui me donne des infos errone  j ai pris sur mon temps de travail je rentre a la maison pour transmettre les papiers comme indique mais impossible le systeme ne me propose pas la bon service    je tente de rappeler  depuis 15h30  le service mais etrangement toute les lignes sont occupe    et ohhh a 16h30 comme par hasard l acceuil est ferme    serieusement   c est frustrant ;1;['person', 'infos', 'erron', 'maison', 'system', 'servic', '15h30', 'servic', 'etrang', 'occup', 'ohhh', '16h30', 'hasard', 'acceuil', 'ferm', 'frustr'];person infos erron maison system servic 15h30 servic etrang occup ohhh 16h30 hasard acceuil ferm frustr;1
appel telephonique a l instant  et personne desagreable  aucune ecoute  c est vous le probleme  je prefere 100x plus pole emploi armentiere ;1;['instant', 'person', 'prefer', '100x', 'armentier'];instant person prefer 100x armentier;-1
difficile d avoir un humain au bout du fils  et lorsque cela arrive  la personne donne l impression de s etre reveillee au moment de l appel;1;['fil', 'person', 'impress', 'reveille'];fil person impress reveille;2
lamentable   pas une seule fois je n ai recu mon allocation normalement  chaque mois je dois reexpliquer mon dossier  au telephone si vous avez laisse un message ensuite vous etes filtre    tout les conseillers sont en ligne    mais avec un autre tel  miracle  5 minutes d attente  a 16h29 une personne decroche enfin sans repondre jusque16h30 et raccroche  16h30 fin du service    c est une honte   aucun respect pour les demandeurs d emplois  vous n avez plus d emplois   vous ne valez plus rien   et pole emploi se charge de vous le rappeler a travers ses graves manquement en communication  toutes les oportunites sont bonnes pour chaque mois vous menacer de radiation  c est ma premiere experience pole emploi  je croyais que les gens en rajoutais      mais c est encore pire que ce que j aurais pu imaginer ;1;['alloc', 'reexpliqu', 'dossi', 'filtr', 'tel', 'miracl', '16h29', 'person', 'decroch', 'jusque16h30', 'raccroch', '16h30', 'servic', 'respect', 'val', 'traver', 'grav', 'oportunit', 'croi', 'rajout', 'imagin'];alloc reexpliqu dossi filtr tel miracl 16h29 person decroch jusque16h30 raccroch 16h30 servic respect val traver grav oportunit croi rajout imagin;-1
ah faire le pont ca va bien mais repondre aus mails ou au telephone c est plus complique par contre pour nous radier ca va vite;1;['ah', 'pont', 'aus', 'radi'];ah pont aus radi;-1
apres de nombreux efforts pour vous contacter l agence m a dit me rappeller dans 24h pour trouver une solution a mon probleme  ca fait plus d une semaine  ;1;['effort', 'contact', 'agenc', '24h'];effort contact agenc 24h;0
merite aucune etoile  il donne des rendez vous telephonique mais au final il n appel jamais  quand c est nous qui les appelons il sont injoignables  quand on demande une formation sur un metier il nous envoie une formation pour un metier completement oppose  a fuir  ;1;['merit', 'appelon', 'injoign', 'format', 'format', 'oppos', 'fuir'];merit appelon injoign format format oppos fuir;2
j ai eu 3  conseillers  au telephone puisque probleme de trop percu avant meme de recevoir ma premiere indemnite  personne ne s occupe de mes demandes on me dit d inniorer les mises en demeures de payer recu par courrier   incroyable   aujourd hui il me preleve la somme trop percu sans accord de ma part et sans avoir eu de reponse   soit on a a faire a une bande d incompetent  soit a des gens qui en ont rien a faire de vous  ou peut etre les deux    ;1;['indemnit', 'person', 'occup', 'innior', 'mis', 'demeur', 'pai', 'courri', 'prelev', 'somm', 'accord', 'repons', 'band', 'incompetent'];indemnit person occup innior mis demeur pai courri prelev somm accord repons band incompetent;1
inscrite depuis 1 mois je n ai a ce jour pas eu de rdv j essaye d appeler ce matin  temps d attente 5 minutes et au bout de 10 minutes on me raccroche dessus deuxieme tentative  cette fois ca decroche au bout de 3 minutes mais la personne au bout du fil m ignore et discute avec ses collegues  je pense que la personne ne sait meme pas que j entends tout  troisieme fois  pareil que la premiere  je suis depitee;1;['inscrit', 'rdv', 'raccroch', 'dessus', 'tentat', 'decroch', 'person', 'fil', 'ignor', 'discut', 'collegu', 'person', 'entend', 'troisiem', 'pareil', 'depite'];inscrit rdv raccroch dessus tentat decroch person fil ignor discut collegu person entend troisiem pareil depite;2
aucune organisation  laisse passer n importe qui alors que les gens font la queue  vraiment un service deplorable  ;1;['queu', 'servic', 'deplor'];queu servic deplor;2
mon conseiller m a annule mon rendez vous car je suis inscrite aussi a la mission local   c est interdit d etre inscrite au deux   j ai voulu les appeler injoignable pour comprendre temps d attente estime a plus de 15 minutes on me demande si un conseille peut m appeler a mon numero donc oui mais pas avant 2h   dommage qu on ne peut pas mettre 0 etoiles car 1 etoile c est trop pour leurs service;1;['inscrit', 'interd', 'inscrit', 'injoign', 'estim', '2h', 'servic'];inscrit interd inscrit injoign estim 2h servic;1
accueil telephonique du service indemnisation qui renvoie au pole emploi de la cote st andre deplorable   la dame vous prend de haut  vous parle tres mal et vous raccroche au nez en prime    ;1;['servic', 'indemnis', 'renvoi', 'st', 'andre', 'deplor', 'haut', 'raccroch', 'nez'];servic indemnis renvoi st andre deplor haut raccroch nez;2
si vous avez des explications confidentielle a dire c est loupe    on vous recoit au beau milieu de la piece entoure de personnes  attendant elle aussi leurs tours plutot que de vous recevoir dans un bureau quand au service3949 ils sont incompetents et ne savent pas comment repondre a vos questions  pour ma part on m a souhaite bon courage pour ma reinscription  cela veut tout dire    ;1;['confidentiel', 'loup', 'recoit', 'milieu', 'entour', 'person', 'attend', 'tour', 'bureau', 'service3949', 'incompetent', 'savent', 'courag', 'reinscript'];confidentiel loup recoit milieu entour person attend tour bureau service3949 incompetent savent courag reinscript;0
personne au telephone tres desagreable    sachant que c est leur travail   ;1;['person'];person;-1
pole emploi de la garde tres mal parler au telephone  mal  recu   je ne suis pas un chien  pas agreable  du tout ;1;['gard', 'chien'];gard chien;-1
je suis tombee sur une espece de conseiller telephonique de cette agence s occupant des trop verses  celui ci d entree a commence a me prendre de haut   me prendre pour une idote et etre agressif alors que je ne l etais pas du tout et voulait simplement savoir comment leur rendre leurs sous  odieux;1;['tombe', 'espec', 'agenc', 'occup', 'entre', 'haut', 'idot', 'agress', 'odieux'];tombe espec agenc occup entre haut idot agress odieux;2
j ai souvent eu des problemes av ce pole emploi  indemnisation versee sur 1 compte different de mon rib  desinformation concernant la formation pro  radiation injustifiee et surtout manque de suivi  on m a encore change de conseiller sans m avertir  pire encore  le service telephonique est injoignable malgre un temps d attente annonce  plus d 1h au tel pour avoir personne  en cette periode difficile  vous faites preuve d indifference et vous faites preuve d aucune empathie  ca me fait bien rire de voir le commentaire 5 etoiles de mon ancien conseiller erwan   les seuls avis positifs viennent de personnes qui travaillent a pole emploi  quelle arnaque  ;1;['av', 'indemnis', 'verse', 'compt', 'rib', 'desinform', 'format', 'pro', 'injustifie', 'avert', 'servic', 'injoign', '1h', 'tel', 'person', 'indifferent', 'empath', 'rir', 'commentair', 'erwan', 'seul', 'viennent', 'person', 'travaillent', 'arnaqu'];av indemnis verse compt rib desinform format pro injustifie avert servic injoign 1h tel person indifferent empath rir commentair erwan seul viennent person travaillent arnaqu;2
former les conseillers du 3949 eviterai des problemes   en l etat completement inaptes aux postes  sinon remettez les aux chomages  ;1;['3949', 'inapt', 'remet', 'chomag'];3949 inapt remet chomag;-1
fidele a leur reputation   jamais de reponses ni telephone ni conseiller  on se demande encore comment il y en a qui retrouve un travail;1;['fidel', 'reput', 'repons'];fidel reput repons;-1
des personnes plus que desagreable au telephone  rigole a mon nez pour de simples questions ;1;['person', 'rigol', 'nez', 'simpl'];person rigol nez simpl;2
belle brochette de faineant la dedans   incompetent jamais vu mon conseiller apres demission apres plus de 6 mois;1;['brochet', 'fain', 'dedan', 'incompetent', 'demiss'];brochet fain dedan incompetent demiss;-1
souhaitant decaler un rendez vous  j appelle le numero direct de pole emploi  ma demande n a ni ete comprise ni ete traitee  en effet  mon interlocutrice ne m a pas ecoute et m a litteralement raccroche au nez sans meme une formule de politesse  merci  pour la prochaine fois  d au moins m apporter une solution avant d utiliser l impolitesse comme reponse ;1;['decal', 'compris', 'traite', 'interlocutric', 'litteral', 'raccroch', 'nez', 'politess', 'apport', 'impolitess', 'repons'];decal compris traite interlocutric litteral raccroch nez politess apport impolitess repons;2
laisser un numero valide quand vous voulez qu on vous rappel merci;1;[];;2
normal que le taux de chomage baisse ne pouvant creer une annonce par telephone  ;1;['taux', 'chomag', 'baiss'];taux chomag baiss;2
un 39 49 injoignable    qui tourne en rond ou nous raccroche au nez   et quand aux pseudos conseillers   certains sont la en mode ghost a errer dans les couloirs et a eviter de conseiller quand on veut les voir ou  ne savent pas    bref on les derange et en plus ils sont agressifs et odieux envers le public    mais on est ou la   ah oui c  est loudeac     belle image    ;1;['39', '49', 'injoign', 'rond', 'raccroch', 'nez', 'pseudos', 'mod', 'ghost', 'errer', 'couloir', 'savent', 'derang', 'agress', 'odieux', 'enver', 'ah', 'loudeac', 'imag'];39 49 injoign rond raccroch nez pseudos mod ghost errer couloir savent derang agress odieux enver ah loudeac imag;2
j attends qu on me donne un rdv depuis la fin janvier   au debut  je me suis trompee de conseillere  donc  on m a redirige vers une autre qui a quitte l agence et pour finir  la 3e etait en vacances  devait me recontacter a son retour mi fevrier et toujours dans l attente d une reponse      alors que j avais bien precise ma situation dans les mails    le directeur de l agence m a appele juste pour me demander si je savais lire et ecrire le francais apres avoir lu mon mail  alors que je le maitrise mieux que certaines personnes ayant un bac l      inadmissible   et apres  on va dire que les francais sont faineants   si pole emploi suivait derriere  il y aurait encore moins de chomeurs que maintenant   on se demande qui sont les faineants   ;1;['attend', 'rdv', 'trompe', 'redirig', 'quitt', 'agenc', '3e', 'vacanc', 'recontact', 'mi', 'repons', 'directeur', 'agenc', 'sav', 'ecrir', 'lu', 'maitris', 'person', 'bac', 'inadmissibl', 'fain', 'derrier', 'fain'];attend rdv trompe redirig quitt agenc 3e vacanc recontact mi repons directeur agenc sav ecrir lu maitris person bac inadmissibl fain derrier fain;1
tres difficile de joindre cette agence afin d obtenir des renseignements   apres de nombreux appels  je n ai toujours pas de reponse    ;1;['agenc', 'repons'];agenc repons;-1
j ai eu la chance d avoir au telephone une certaine madame perrin qui a ete tout simplement parfaite  elle a repondu a toutes mes inquietudes  le site pole emploie etant trop flou concernant les circonstances actuelles j avais besoin d etre eclaire sur certains points  mille merci madame perrin;1;['perrin', 'parfait', 'inquietud', 'flou', 'circonst', 'actuel', 'eclair', 'point', 'mill', 'perrin'];perrin parfait inquietud flou circonst actuel eclair point mill perrin;2
service injoignable   ;1;['servic', 'injoign'];servic injoign;2
comme d habitude il faut 3 jours pour vous joindre    ;1;['habitud'];habitud;-1
j ai galere depuis janvier a avoir un rdv en presenciel car on ne voulait me donner que des rdv telephoniques   j ai le malheur d avoir un peu de retard et on me refuse de maniere meprisante de me prendre alors que le 3949 a ete prevenu et a marque un message sur mon dossier   de plus la femme de l accueil me dis qu elle ne notera pas que je me suis presente et me notera absente     quelle honte  ;1;['galer', 'rdv', 'presenciel', 'rdv', 'retard', 'mepris', '3949', 'prevenu', 'marqu', 'dossi', 'femm', 'absent'];galer rdv presenciel rdv retard mepris 3949 prevenu marqu dossi femm absent;-1
en 2 ans je n ai jamais rencontre ma premiere conseillere et je ne l ai pas eu au telephone  1 echange de mail  la seconde je ne l ai pas rencontree non plus mais je l ai eu 2x au telephone  je suis d accord qu  ils ne sont pas la pour faire pour nous mais pour nous aider a faire comme ils disent  mais la tout de meme il n y a pas eu de suivi  on devrait leur donner d autres cordes a leur arc que des formations a tout va  peut etre un recrutement privilegie  de personnes ayant ete confronte au marche du travail  courage a ces messieurs dames qui reconnaissons le ne font pas un travail facile  mais surtout courage aux demandeurs   ;1;['second', 'rencontre', '2x', 'accord', 'disent', 'cord', 'arc', 'format', 'privileg', 'person', 'confront', 'courag', 'messieur', 'reconnaisson', 'courag'];second rencontre 2x accord disent cord arc format privileg person confront courag messieur reconnaisson courag;-1
tres bien recu a chaque fois des la prise en charge   une disponibilite sur les postes d accompagnements  et meme de la part du vigile  par telephone plus complique  ;1;['disponibilit', 'vigil'];disponibilit vigil;2
je fais une demande de chomage  on me la retire  j appelle le 39 49  tu tombes sur tout le monde sauf ton conseiller  tu demandes au conseiller de parler avec ta conseillere il veut rien savoir a croire que c est sa femme  je veux faire une formation on me dit d aller voir la mission local a la mission local me dit d aller voir pole emploi je fais quoi ;1;['chomag', 'retir', '39', '49', 'tomb', 'femm', 'format'];chomag retir 39 49 tomb femm format;-1
n informe pas l usager des demarches a suivre  ne repond pas aux mails lorsqu on appelle le conseiller n est jamais la on lui laissera le message       ;1;['usag', 'demarch', 'lorsqu'];usag demarch lorsqu;2
un numero affiche en plein public sur internet qui fonctionne meme  c pas professionnel vous nous dites mettez un numero joignable sur les cv  et votre numero est injoignable  c bizarre non         ;1;['internet', 'joignabl', 'injoign', 'bizarr'];internet joignabl injoign bizarr;0
renseignements demandes par telephone  au 3949   on a l impression qu ils sont plutot presses de terminer la conversation  ne developpe pas du tout le sujet aborde ou alors n y connaissent rien et recitent des reponses preparees a l avance  ;1;['3949', 'impress', 'press', 'developp', 'abord', 'connaissent', 'recitent', 'repons', 'prepare'];3949 impress press developp abord connaissent recitent repons prepare;-1
un excellent accueil par tout le personnel  que ce soit a l  agence ou au telephone on nous renseigne sur tout et on nous aide dans toutes nos demarche une equipe de professionnel  a l  ecoute  le  jeune homme est venu directement me proposer son aide sur l  ordinateur ce qui est tres appreciable  merci a lui encore  car il est avenant et tres competent ;1;['excellent', 'personnel', 'agenc', 'demarch', 'equip', 'jeun', 'homm', 'venu', 'appreci', 'aven', 'competent'];excellent personnel agenc demarch equip jeun homm venu appreci aven competent;-1
rdv automatiques  on vous oblige a installer une application pour des consultations en visio qui ne servent a rien mais tu le fais car si pas c est avertissement motif de radiation  on ecrit a son conseiller par email mais pas de reponse etc etc  jj ai un rendez vous le 03 fevrier mais le meme rendez vous le 17 fevrier pour faire un point sur ma recherche d emploi   celui du 03 est annule pour celui du 17      je n ai pas besoin de vous   une prise d otage pour faire des salaires a des gens blases  au prix de l essence un rdv au telephone quand on est  deja venu c est suffisant ;1;['rdv', 'install', 'visio', 'avert', 'repons', 'jj', '03', '17', '03', '17', 'otag', 'salair', 'blas', 'prix', 'essenc', 'rdv', 'venu'];rdv install visio avert repons jj 03 17 03 17 otag salair blas prix essenc rdv venu;1
appel telephonique du 16 06 de 10 25 comportement ignoble de la conseillere que a pris l appel qui etait destine a l agence de pontault  combault   cette derniere ne voyait pas mon document dans mon espace personnelle alors que je l avais egalement sous les yeux     cela peux arriver   mais cette derniere refusait d ecouter le numero de documents pour etre sur qu il s agisse bien du meme  elle insistait sur le fait que je l ai envoye par mail donc il n apparaissait pas   je essaye de lui dire que non   que je l avait bien envoye via mon espace  mais elle ne me laissait pas placer un mot   jusqu a ce qu elle disse   vas y raccroche moi au nez si tu veux   alors que je lui repetait   je suis la  madame    et qu elle me raccroche au nez   pourtant jusque la elle m entendait tres bien  par conscience j ai contacte une autre agence ou la conseillere vois bien le document en question a la date que je lui ai donnee  ;1;['16', '06', 'ignobl', 'destin', 'agenc', 'pontault', 'combault', 'docu', 'personnel', 'yeux', 'docu', 'agiss', 'insist', 'apparaiss', 'plac', 'diss', 'vas', 'raccroch', 'nez', 'repet', 'raccroch', 'nez', 'entend', 'conscienc', 'contact', 'agenc', 'vois', 'docu', 'donne'];16 06 ignobl destin agenc pontault combault docu personnel yeux docu agiss insist apparaiss plac diss vas raccroch nez repet raccroch nez entend conscienc contact agenc vois docu donne;1
une etoille puisqu il n y en a pas moins  responsable qui vous meprise  par telephone et vous prend de haut   vraiment incroyable;1;['etoill', 'puisqu', 'respons', 'mepris', 'haut'];etoill puisqu respons mepris haut;2
j  ai eu un entretien avec la conseiller et  a chaque fois que je lui est pose une question elle souffler derriere son telephone  franchement c est mal poli;1;['souffl', 'derrier'];souffl derrier;2
avant ma creation d entreprise  donc sans emploi  je recevais mes indemnisations correctement  depuis que j ai cree mon entreprise  donc maintenant j ai un emploi je trouve important de le preciser  je n ai jamais autant galerer pour recevoir mes indemnisations  a par les appeler tous les mois et se battre avec eux pour recevoir l argent qui nous est du je trouve cela inadmissible et je perd de plus en plus patience chaque mois leur excuse   manque de personnel    alors d accord sauf qu on a tous des choses a payer tous les mois et recevoir ses indemnisations le 20 du mois alors qu on envoi les documents a temps  ils ne les prennent pas en compte la plupart du temps et ne nous previennent meme pas  tout ca pour dire que c est la seule agence qui fait ce genre de choses car pour avoir 2 personnes autour de moi dans la meme situation professionnelle et etant sur les agences de bourg et oyonnax elles ont toujours ete payees a temps  quand on essaye de les appeler on nous dit temps d attente 1min et personne ne repond  mais est ce etonnant   pas vraiment  cela reflete bien l agence ;1;['recev', 'indemnis', 'galer', 'indemnis', 'battr', 'argent', 'inadmissibl', 'perd', 'patienc', 'personnel', 'accord', 'pai', 'indemnis', 'docu', 'prennent', 'compt', 'plupart', 'previennent', 'agenc', 'person', 'autour', 'agenc', 'bourg', 'oyonnax', 'paye', '1min', 'person', 'eton', 'reflet', 'agenc'];recev indemnis galer indemnis battr argent inadmissibl perd patienc personnel accord pai indemnis docu prennent compt plupart previennent agenc person autour agenc bourg oyonnax paye 1min person eton reflet agenc;1
ne respectent pas les gens  au telephone on entendait les rires des collegues  c est le centre aere ;1;['respectent', 'entend', 'rir', 'collegu', 'aer'];respectent entend rir collegu aer;-1
impossible de les joindre par mail ou par telephone  j en ai plus qu assez de devoir constamment les contacter pendant 3 semaines ou plus pour un probleme qui peut se resoudre en 5 minutes  merci de bien vouloir nous notifier quand un e conseiller e part en vacances  puisque ceux ci ne prendront pas la peine de vous repondre   ps   j attends toujours au telephone apres 3 semaines   ;1;['const', 'contact', 'resoudr', 'vouloir', 'notifi', 'e', 'e', 'vacanc', 'prendront', 'p', 'attend'];const contact resoudr vouloir notifi e e vacanc prendront p attend;1
ne pouvant mettre 0  inscription le 19mai  debut d indemnisation au 14 juin  toujours rien recu le 12 juillet  de nombreux mails envoyes a ma  referente  indemnisation depuis le 04 juillet toujours sans reponse  c est drole de lire qu une reponse sera donnee dans les 48h ouvrees  quand j appelle le 3949 que j ai a attendre 14 minutes ou 7 minutes au final tous les conseillers sont en ligne  je laisse un message vocal  avec une reponse sous 24h de ma conseillere referente    toujours rien     pendant ce temps la tous mes paiements refuses  aucune indication sur qui  quoi  comment  et c est ca le pire   la seule chose positive  une dame excessivement gentille lors de ma venue a l agence mais helas cette adorable femme ne peut remonter le niveau deplorable et le  j m en foutisme  dont font preuve d autres conseillers eres  alors que les allocataires se retrouvent dans des me des inimaginables    pathetique et tres enervant    ;1;['19mai', 'indemnis', '14', 'juin', 'juillet', 'indemnis', '04', 'juillet', 'repons', 'drol', 'repons', 'donne', '48h', 'ouvre', '3949', '14', 'vocal', 'repons', '24h', 'pai', 'excess', 'gentill', 'venu', 'agenc', 'hel', 'ador', 'femm', 'remont', 'deplor', 'foutism', 'ere', 'allocatair', 'retrouvent', 'inimagin', 'pathet', 'enerv'];19mai indemnis 14 juin juillet indemnis 04 juillet repons drol repons donne 48h ouvre 3949 14 vocal repons 24h pai excess gentill venu agenc hel ador femm remont deplor foutism ere allocatair retrouvent inimagin pathet enerv;1
mon dossier inscription avance malgre deux impairs  non imputable a pole emploi  j ai recu deux appels telephoniques pour m expliquer certaines choses  et ainsi  ne me laissant pas dans le doute et l attente  le personnels est tres reactifs  courtois et agreables humainement parlant ;1;['dossi', 'impair', 'imput', 'personnel', 'reactif', 'courtois', 'parl'];dossi impair imput personnel reactif courtois parl;-1
accueil telephonique excecrable  la personne qui m a repondu m a tout simplement crie dessus alors que je posais de simples questions et ne m a apporte aucune explication concrete  de plus il m a fallu plusieurs mois pour obtenir une reponse par mail de ma conseillere  service public lamentable qui se fiche du monde ;1;['excecr', 'person', 'cri', 'dessus', 'pos', 'simpl', 'apport', 'concret', 'fallu', 'repons', 'servic'];excecr person cri dessus pos simpl apport concret fallu repons servic;2
un certain  laurent  de memoire   n a pas attendu de savoir si j avais finis de poser mes questions et m a dit merci au revoir et m a raccrocher au nez  comportement irrespectueux sans oublier son  mais vous etes tetu    non je veux juste etre sur de ne pas me faire radier pour une raison quelconque et etre a jour dans mon dossier ;1;['laurent', 'memoir', 'attendu', 'pos', 'revoir', 'raccroch', 'nez', 'irrespectu', 'oubli', 'tetu', 'radi', 'quelconqu', 'dossi'];laurent memoir attendu pos revoir raccroch nez irrespectu oubli tetu radi quelconqu dossi;2
honteux  quand on appelle on attend 20 min pour avoir quelqu un pour qu au final on nous dise de rappeler ulterieurement car tous les conseiller sont en ligne  quand on arrive a avoir qlq au bout du fil la personne aide en rien a part dire   envoyez un mail a un tel   quand on se deplace en agence parceque on a pas eu de l aide au telephone  les personnes de l agence nous prennent de haut  ecoute pas nos explications  et nous envoie balader en disant d envoyer des mails a pierre paul jack au final on a toujours pas eu de reponse a nos questions  merci pole emploi  ;1;['attend', 'min', 'ulterieur', 'qlq', 'fil', 'person', 'tel', 'agenc', 'parcequ', 'person', 'agenc', 'prennent', 'haut', 'balad', 'pierr', 'paul', 'jack', 'repons'];attend min ulterieur qlq fil person tel agenc parcequ person agenc prennent haut balad pierr paul jack repons;-1
accueil telephonique horrible   j appelle pour leurs  poser une question par rapport a mon allocation car j ai eu plusieurs soucis avec eux et on me parle sur un ton agressif  ;1;['horribl', 'pos', 'alloc', 'souc', 'agress'];horribl pos alloc souc agress;2
j ai jamais eu un accueil telephonique aussi horrible  je travaille je leurs pose une question car je ne comprend pas et la sa part en vrille et sa me raccroche au nez   ;1;['horribl', 'vrill', 'raccroch', 'nez'];horribl vrill raccroch nez;-1
une certaine sylvie ma conseillere qui me dit suite a ma demande d obtenir un entretien   je ne vais pas vous faire venir chez moi   dans le plus grand des calme au lieu d expliquer simplement que ce n est pas possible a cause de la situation actuelle    le rdv sera maintenant par telephone et pas autrement    discours de toute puissance qui finira par un    vous allez voir   en fin de conversation   digne d une salarie d un service publique cense prendre en charge l accompagnement des personnes   je ne pense pas ;1;['sylv', 'calm', 'actuel', 'rdv', 'autr', 'discour', 'puissanc', 'dign', 'servic', 'person'];sylv calm actuel rdv autr discour puissanc dign servic person;-1
juste une honte   j ai eu affaire a marie helene kone  par rdv telephonique qui a dure 30 minutes et cela un an apres mon inscription chez pole emploi  une blague   durant cette annee  je n ai eu aucun appel  aucun rdv  aucune nouvelle  rien  j ai ete oubliee ;1;['affair', 'helen', 'kon', 'rdv', 'blagu', 'rdv', 'oublie'];affair helen kon rdv blagu rdv oublie;1
une plainte dans un contexte plus approprie suivra sans doute  pour le moment il suffit de savoir qu ils n ont aucune competence en communication  apres 4 mois mon dossier est toujours incomplet et je dois faire un travail telephonique constant pour obtenir des informations et debloquer le processus  lors d une reunion physique  le conseiller est devenu  physique   j ai subi une agression  une tres mauvaise scene en plein bureau public  pole emploi n est pas starbucks  si vous ne l aimez pas vous ne pouvez pas le changer  mais preparez vous a ce qui vous attend ;1;['plaint', 'context', 'appropr', 'suivr', 'suff', 'competent', 'dossi', 'incomplet', 'const', 'debloqu', 'processus', 'sub', 'agress', 'scen', 'bureau', 'starbuck', 'prepar', 'attend'];plaint context appropr suivr suff competent dossi incomplet const debloqu processus sub agress scen bureau starbuck prepar attend;1
au telephone avec la conseillere sophie d une ecoute et d un professionnalisme incroyable il en faudrait plus des personnes comme elle  ;1;['soph', 'professionnal', 'person'];soph professionnal person;-1
0 10 j appelle depuis 9h on m a repondu et raccroche dessus 2 fois alors que le temps d attente est de minimum 15 min a chaque fois  j ai demande a ce qu on me rapl dans les 2h ca n a pas ete fait  nous sommes en crise sanitaire et ils preferent que les gens ce deplace en agence directement c est incroyable;1;['9h', 'raccroch', 'dessus', 'min', 'rapl', '2h', 'cris', 'sanitair', 'preferent', 'agenc'];9h raccroch dessus min rapl 2h cris sanitair preferent agenc;1
j aimerais joindre la conseillere mais impossible de d avoir un contact direct    pour avoir des  renseignements par telephone    ne pouvant pas me deplacer ;1;['contact'];contact;0
je ne comprends pas comment des gens aussi incompetents peuvent avoir un poste si important j ai eu un entretien telephonique pour trouver une formation et la conseillere elle me dit quoi     il faut avoir de l experience pour faire une formation     ;1;['incompetent', 'format', 'format'];incompetent format format;-1
impossible de vous joindre;1;[];;2
je ne recois plus mes allocations sans aucunes raisons  on me demande d appeler le 3949  on ne me repond pas  on ne me rappelle pas et quand on me rappelle on me raccroche au nez ;1;['alloc', 'raison', '3949', 'raccroch', 'nez'];alloc raison 3949 raccroch nez;2
il ne repond jamais au telephone    ;1;[];;2
non seulement les conseillers sont tres incompetents  mais pas sympa du tout  par ex  il vous faut un document  il faut venir le chercher meme si vous habitez loin    c est selon le desiderata de la direction    heureusement qu il y a encore des conseillees sympa au 3949 qui peuvent vous l envoyer par mail  ;1;['incompetent', 'ex', 'docu', 'habit', 'selon', 'desiderat', 'conseille', '3949'];incompetent ex docu habit selon desiderat conseille 3949;1
bien et accueil sympathique  je vais pas faire toute une explication sur ce que c est pole emploi car je pense que tout le monde connais et sait a quoi sa sert  par contre bon juste etre un peu plus polis au telephone ne serais pas trop demande ;1;['sympath'];sympath;2
bien et accueil sympathique  je vais pas faire toute une explication sur ce que c est pole emploi car je pense que tout le monde connais et sait a quoi sa sert  par contre bon juste etre un peu plus polis au telephone ne serais pas trop demande ;1;['sympath'];sympath;2
service deplorable  mon dossier bloque pour un changement de region  ne reponds pas a leurs collegues d une autre region fait tout pour mettre des batons dans les roues   continuer de faire les fantomes cela vous va si bien ;1;['servic', 'deplor', 'dossi', 'region', 'collegu', 'region', 'baton', 'rou', 'fantom'];servic deplor dossi region collegu region baton rou fantom;-1
j ai eu du mal sur leur site donc j ai telephone leur service telephonique pour prendre un rendez vous  un monsieur m a repondu sans dire bonjour ni au revoir  juste une seule phrase  va sur poleemploi fr  vous etes paye pour aider les gens mais limite cela vous derange qu on vous appelle  rentrez chez vous et dormez dans ce cas la  bande de malpolis;1;['servic', 'revoir', 'phras', 'poleemploi', 'pay', 'derang', 'dorm', 'band', 'malpol'];servic revoir phras poleemploi pay derang dorm band malpol;2
j ai eu un rv telephonique et la personne au telephone etait sympathique et serviable  elle a su repondre a toutes mes questions et bien me conseiller  j espere que ca continuera ainsi     ;1;['rv', 'person', 'sympath', 'serviabl'];rv person sympath serviabl;2
deplorable   non seulement ils etait injoignables par telephone comme maintenant                                  momentanement   c est les autres agences qui prennent en charge les appels  rien a dire au moins ils reponds mais peuvent rien faire puisque c est pas mon agence   donc ca ne sert a rien   par e mail personne reponds depuis plus d un mois   demande d indemnisation pour conge non paye suite fermeture annuelle de l entreprise  pas traite depuis 3 mois ;1;['deplor', 'injoign', 'momentan', 'agenc', 'prennent', 'agenc', 'e', 'person', 'indemnis', 'cong', 'pay', 'fermetur', 'annuel'];deplor injoign momentan agenc prennent agenc e person indemnis cong pay fermetur annuel;-1
beaucoup de mal a les joindre   ;1;[];;2
tres mauvais accueil telephonique  prends les gens de haut alors que c est le site qui n est pas a jour  insolence et impolitesse bien au rendrez vous  tres fort pour rabaisser et humilier les gens ;1;['mauv', 'prend', 'haut', 'insolent', 'impolitess', 'rendr', 'rabaiss', 'humili'];mauv prend haut insolent impolitess rendr rabaiss humili;2
