Description;demarche en ligne;compte ou espace personnel;Description_2;Description_3;clusters
juste un details pour commencer je suis employeur et pas en recherche    8 mois pour regler un dossier  qui a cette heure ne l est toujours pas  une facture toujours pas reglee  moi aussi je vais prendre mon temps pour regler l etat on verra comment ca va se passer  certaines personnes font bien et meme  tres bien leur job mais ce n est vraiment pas une majorite  d autre sont la comme ils pourraient aller vendre des pommes de terre   on vous rappelle    pas en temps et en heure  que de temps et d energie perdus la bas au lieu de travailler    scandaleux  ;1;0;['employeur', 'dossi', 'regle', 'verr', 'person', 'job', 'majorit', 'vendr', 'pomm', 'terr', 'energ', 'perdus', 'scandal'];employeur dossi regle verr person job majorit vendr pomm terr energ perdus scandal;-1
bonsoir  la derniere fois nous sommes passes pour deposer un document il y avait l etiquette sur la porte comme quoi ils etaient fermes il y a meme pas de communication sur internet comme quoi c etait ferme;1;0;['bonsoir', 'docu', 'etiquet', 'ferm', 'internet', 'ferm'];bonsoir docu etiquet ferm internet ferm;-1
et encore une etoile je suis gentille   entre les pertes de documents  oblige de se deplacer plusieurs fois  ainsi que passer plusieurs coups de fils pour que ces derniers soient pris en compte  ma conseillere  alors la le top du top  je rigole bien sur  on se sait jamais parler  on ose me laisser un message vocal en me parlant comme si j etais un chien  on se permet de juger ma vie parce que je ne reponds pas au coup de fil  desole si je boss hein  le professionnalisme vous connaissez   et l amabilite   parce que la bas  le neant total  ;1;0;['gentill', 'docu', 'coup', 'fil', 'derni', 'compt', 'top', 'top', 'rigol', 'ose', 'vocal', 'parl', 'chien', 'jug', 'fil', 'desol', 'boss', 'hein', 'professionnal', 'amabilit', 'ne'];gentill docu coup fil derni compt top top rigol ose vocal parl chien jug fil desol boss hein professionnal amabilit ne;-1
bon  ayant lu les commentaires pour la plupart negatifs avant mon inscription  je vais moderer les propos negatifs que j ai lu  je suis passe une premiere fois a l agence de guyancourt hier  juste avant mon premier rv prevu aujourd hui  1 mois apres ma premiere inscription qui posait probleme et n etait pas traitee  cela parce qu ayant ete inscrit il y a 16 ans     j ai voulu faire une nouvelle inscription au lieu de me reinscrire  je ne pensais pas que le systeme informatique me creerait un doublon de dossier  aussi  faites attention si vous etes dans le meme cas que moi  accueil a l agence   au guichet  2 personnes  polies et a l ecoute  le monsieur a appele sa superieure  et a deux ils ont regarde et fusionne informatiquement mes deux dossiers  ca a pris 3 4 d heures  aujourd hui  mon premier rv a ete maintenu  et entre hier midi et ce matin  pole emploi a pris le temps de me valider en urgence mon inscription non traitee depuis 1 mois  ce qui m a permis de faire ma declaration mensuelle pour septembre  et de regulariser le document qu attendait mon assurance complementaire  je verrai ce que donne mon 1er entretien tout a l heure  mais jusque la je ne peux que constater le professionnalisme et la reactivite dans le traitement en urgence de mon dossier  il peut sans doute y avoir des mauvaises experiences  mais a mon avis  faire du  bashing  par frustration personnelle n aide pas les internautes  car si ce n est pas honnete  ca ne sert plus a rien de lire des avis ;1;0;['lu', 'commentair', 'plupart', 'moder', 'lu', 'agenc', 'guyancourt', 'hi', 'rv', 'prevu', 'pos', 'traite', 'inscrit', '16', 'reinscrir', 'system', 'doublon', 'dossi', 'agenc', 'guichet', 'person', 'superieur', 'regard', 'fusion', 'dossi', 'rv', 'maintenu', 'hi', 'urgenc', 'traite', 'declar', 'docu', 'attend', 'assur', 'complementair', 'verr', 'constat', 'professionnal', 'reactivit', 'urgenc', 'dossi', 'mauvais', 'bashing', 'frustrat', 'personnel', 'internaut', 'honnet'];lu commentair plupart moder lu agenc guyancourt hi rv prevu pos traite inscrit 16 reinscrir system doublon dossi agenc guichet person superieur regard fusion dossi rv maintenu hi urgenc traite declar docu attend assur complementair verr constat professionnal reactivit urgenc dossi mauvais bashing frustrat personnel internaut honnet;1
je n ai que des problemes   3 fois que j envoie des documents  que je les remets en main propre  et qu ils arrivent a les perdre   on me raccroche au nez  seule fois ou j ai reussis a les joindre  parce que je perds patience   mais toujours avec politesse    bientot 2 mois qu ils doivent valider ma demande d aide a la mobilite  impossible de les joindre   tres tres decue  ;1;0;['docu', 'remet', 'main', 'propr', 'arrivent', 'raccroch', 'nez', 'reuss', 'perd', 'patienc', 'politess', 'bientot'];docu remet main propr arrivent raccroch nez reuss perd patienc politess bientot;-1
ils donnent des rendez vous hort sujet   sans prendre en compte l avis du candidat et comment il souhaite faire sa recherche d emploi  on se retrouve a devoir se justifier pour rien  quand on veut se concentrer sur la recherche d emploi cela ne veut pas dire de prendre des rendez vous dans un groupe avec des jeunes pour faire des d activiter     c est pas du tout serieux   manque de respect envers les candidat serieux;1;0;['donnent', 'hort', 'compt', 'concentr', 'group', 'jeun', 'respect', 'enver'];donnent hort compt concentr group jeun respect enver;2
je demande depuis 5 mois de modifier mon erreur dans ma declaration or ils verifient mon dossier d  allocation incroyable  ;0;1;['declar', 'verifient', 'dossi', 'alloc'];declar verifient dossi alloc;1
pas de retour de ma conseillere indemnisation apres plusieurs emails et demande de rdv    mon dossier ne peut avancer sans son retour    ;1;0;['indemnis', 'rdv', 'dossi'];indemnis rdv dossi;1
c est plus plus possible le 3949  lamentable;1;0;['3949'];3949;-1
payent toujours en retard  obligee de reclamer alors que tous les papiers sont en regle  les frais bancaires ne sont pas en retard  eux ;0;1;['payent', 'retard', 'oblige', 'reclam', 'frais', 'bancair', 'retard'];payent retard oblige reclam frais bancair retard;1
votre equipe est incroyable   merci pour votre soutien precieux dans la recherche d emploi ;1;0;['equip', 'soutien', 'precieux'];equip soutien precieux;0
a quoi sert ce site de pole emploi   des conseille inneficaces qui ne vous conseils pas   des que vous les sollicite  ceux ci vont vous faire tourner en rond   le personnel perdra vos dossier don veillez a les scanner avant chez vous      niveau accueil c est tres moyen   des fils d accueil interminable des agents d accueil qui prennent leurs pause toutes les 15 minutes ou qui discute entre eux    ;1;1;['inneficac', 'rond', 'personnel', 'perdr', 'dossi', 'veil', 'fil', 'intermin', 'agent', 'prennent', 'paus', 'discut'];inneficac rond personnel perdr dossi veil fil intermin agent prennent paus discut;1
dommage on peut pa mettre 0 etoile   mme rodriguez tres incompetente  franchement ca donne pas envie  elle envoi cher tout le monde tres tres desagreable   c est pas un metier pour elle ca   changer votre personnel de toute urgence ou faite leur des formations pour apprendre a etre sociable  ;1;0;['pa', 'mme', 'rodrigu', 'incompetent', 'cher', 'personnel', 'urgenc', 'format', 'apprendr', 'sociabl'];pa mme rodrigu incompetent cher personnel urgenc format apprendr sociabl;1
c est quoi ces horaires de touriste   ;1;0;['horair', 'tourist'];horair tourist;0
honteux  faut que cela se sache et face le tour  crise sanitaire les periodes de reference calcul peuvent etre rallonger maximum de 366 jours   11 mois  en plus de vos 24 mois  se qui fais baisser enormement vos are  voila en france  comme on remercie les personnes qui on travaille pendant le covid on leurs rajoute en plus des 24 mois    30  35       ne vous laisser pas faire ;1;0;['sach', 'fac', 'tour', 'cris', 'sanitair', 'rallong', 'maximum', '366', '11', '24', 'baiss', 'person', 'covid', 'rajout', '24', '35'];sach fac tour cris sanitair rallong maximum 366 11 24 baiss person covid rajout 24 35;-1
une plateforme superbe  un personnel incompetent  vous aide en rien  il ont leur salaire a la fin du mois donc tout va bien  il n ont pas compris le but  des qu il y a un obstacle il baisse les bras  surtout   nadine   j aimerai un licenciement pour qu elle soit a la place des demandeurs d emplois  une personne pas agreable et pas devouer  je suis pret a prendre sa place ;0;1;['plateform', 'superb', 'personnel', 'incompetent', 'salair', 'compr', 'but', 'obstacl', 'baiss', 'bras', 'nadin', 'licenci', 'person', 'devou', 'pret'];plateform superb personnel incompetent salair compr but obstacl baiss bras nadin licenci person devou pret;-1
completement incompetent     comment je doit faire pour vous rembourser   je n en sais pas je n utilise pas l application pole emploi    et bin super si on a besoin de rien on vous appelle  au chomage   vous savais rien faire    postuler chez pole emploi;1;0;['incompetent', 'rembours', 'bin', 'chomag', 'sav'];incompetent rembours bin chomag sav;-1
bonjour   a cause de la crise du covid 19 le pole emploi est ferme  donc on peut mettre dans la boite lettre du pole emploi notre courrier  dans mon cas j ai depose mon attestation de mon employeur necessaire pour mon dossier il y a plus de 2 semaines dans la boite lettre  du pole emploi de villefontaine            mais desormais dans mon espace personnel attend encore ce papier et ils dissent que n ont pas recu       ;0;1;['cris', 'covid', '19', 'ferm', 'courri', 'attest', 'employeur', 'dossi', 'villefontain', 'personnel', 'attend', 'dissent'];cris covid 19 ferm courri attest employeur dossi villefontain personnel attend dissent;-1
tres mauvais  je ne critique pas l agence en elle meme mais l institution  trop rigide  trop contraignante   impossible de changer d agence car la cartographie est pre defini  donc  30km a faire au lieu de 8km  meriterai d etre reforme  je ne peux pas mettre 0  mais c est ce que ca vaudrait ;1;0;['mauv', 'critiqu', 'agenc', 'institu', 'rigid', 'contraign', 'agenc', 'cartograph', 'defin', '30km', '8km', 'merit', 'reform', 'vaudr'];mauv critiqu agenc institu rigid contraign agenc cartograph defin 30km 8km merit reform vaudr;-1
aucune humanite dans cette agence  des conseillers juste la pour faire du chiffre  leurs principales activites est d essayer de vous radier   ;1;0;['humanit', 'agenc', 'radi'];humanit agenc radi;-1
l humain a quitte depuis longtemps ce lieu qu est pole emploi   pas de possibilite d avoir quelqu un au telephone  votre temps d attente est estime a moins d 1mn    10 mn plus tard  tous les conseillers pole emploi sont en ligne veuillez laisser un message vous serez rappele sous 24h   pour ma part jamais je n ai ete rappele  pas de reponse concrete par ecrit  du coup il faut se deplacer et la c est le bouquet  faites une reclamation depuis votre compte  il peut y avoir 7 jours de delais de reponse   c est magnifique    et ca fait 30 ans que ca dure ;1;0;['quitt', 'longtemp', 'estim', '1mn', 'mn', '24h', 'repons', 'concret', 'bouquet', 'reclam', 'compt', 'repons', 'magnif'];quitt longtemp estim 1mn mn 24h repons concret bouquet reclam compt repons magnif;0
point positif   je n ai jamais eu de problemes avec mes conseilleres   points negatifs   le site internet qui bug malgre les maj et je recois parfois des offres qui n ont rien a voir avec ma formation  ;1;0;['point', 'internet', 'bug', 'maj', 'offre', 'format'];point internet bug maj offre format;-1
merci d avoir prise en compte mon dossier;0;1;['compt', 'dossi'];compt dossi;1
pire structure;1;0;['structur'];structur;0
je recois des notifications d entretien sans contenu sans avoir recu de convocation et sans avoir assiste a l entretien  ;1;0;['contenu', 'convoc'];contenu convoc;0
j aimerais que vous arrete avec vos reponses toute fait  arrete de lire votre traitement de texte   et soyez plus humain et pas aussi robotique;1;0;['repons', 'robot'];repons robot;-1
deja trouver un cdi serait vraiment ravie avec la crise sanitaires tout et au ralenti merci ;1;0;['cdi', 'rav', 'cris', 'sanitair', 'ralent'];cdi rav cris sanitair ralent;-1
ma fille travaille en interimaire  je demande un rdv a pole emploi pour des renseignements ont me dit qu elle se rendre dans son espace client sauf impossible de pouvoir prendre rdv en ligne  c est une honte pour soit disant un service public car j ai eu 2 personnes differentes aucun ne m a donne un rdv  ;1;0;['fill', 'interimair', 'rdv', 'rdv', 'servic', 'person', 'rdv'];fill interimair rdv rdv servic person rdv;2
accueil nul  je vois un responsable pour un probleme de signature du mandat de prelevement sur leur site  il me reponds que ce n est pas vrai que ca n arrive jamais que tout fonctionne tres bien  hors je ne suis pas la seule a avoir eu ce probleme   je lui demande de me faire un echelonnement pour le trop percu que j ai  il me dit que c est a moi de faire les virements meme si je fait l echelonnage  la pire agence que j ai faite  pourtant ce n est pas la premiere ;1;0;['vois', 'respons', 'signatur', 'mandat', 'prelev', 'hor', 'echelon', 'vir', 'echelonnag', 'agenc'];vois respons signatur mandat prelev hor echelon vir echelonnag agenc;-1
j ai occupe deux emplois il y a deux ans  et apres avoir ete licencie  j ai demande l argent du chomage a pole emploi a partir de mars  et nous sommes maintenant fin juillet  et il ne m a pas envoye d argent de ma cotisation  comment je nourris mes enfants ou paye mon loyer et il me demande plus de papiers et quand je le leur envoie  ils rejettent le dossier   les employes ne savent rien;1;0;['occup', 'licenc', 'argent', 'chomag', 'juillet', 'argent', 'nourr', 'pay', 'rejettent', 'dossi', 'savent'];occup licenc argent chomag juillet argent nourr pay rejettent dossi savent;2
personnel sympathique et acceuillant  bonne ponctualite  juste une grosse deception quand ma conseillere m annonce que son compte admin m a trouve 233 offres d emploi  alors que le site en retourne 3  en demandant de l aide on me dit que je ne comprends rien et suite a une simulation  ma conseillere parvient a trouver 1 offre d emploi avec le critere qui permettait d en trouver 233  juste hallucinant d incompetence et de manque de remise en question  a cote de ca il y a l apecita qui vous traite comme une pepite  vous ecoute pendant une heure et ne vous demande aucune contre partie  c f  actualisation du profil tous les mois a pole emploi sous peine d etre radie ;1;0;['personnel', 'sympath', 'acceuill', 'ponctualit', 'gross', 'decept', 'compt', 'admin', '233', 'offre', 'simul', 'parvient', 'offre', 'criter', '233', 'hallucin', 'incompetent', 'remis', 'apecit', 'pepit', 'f', 'profil'];personnel sympath acceuill ponctualit gross decept compt admin 233 offre simul parvient offre criter 233 hallucin incompetent remis apecit pepit f profil;1
tout simplement scandaleux  il s agit sans aucun doute de la pire agence pole emploi de france  2 mois pour valider mon inscription et les paiements ne sont toujours pas la    je me retrouve dans une situation critique  lors de mes nombreux appels  pas une fois je n ai recu la meme reponse  passons sur les nombreux raccrochage en plein milieux de conversations  sur les mises en attente sauvage qui n aboutissent sur rien et sur les promesses de rappel qui ne sont pas tenu  si l incompetence etait un art nul doute que nous avons affaire des artistes de haut vol  si vous vous retrouvez par malheur dans cette agence sachez que vous n etes pas seul   ;1;0;['scandal', 'agit', 'agenc', 'pai', 'critiqu', 'repons', 'passon', 'raccrochag', 'milieux', 'mis', 'sauvag', 'about', 'promess', 'tenu', 'incompetent', 'art', 'affair', 'artist', 'haut', 'vol', 'retrouv', 'agenc', 'sach'];scandal agit agenc pai critiqu repons passon raccrochag milieux mis sauvag about promess tenu incompetent art affair artist haut vol retrouv agenc sach;2
mon dossier n est toujours pas traite apres 1mois d inscription  aucun conseiller n est capable de gerer mon dossier   apparemment il serait trop complexe   des incompetents au plus au niveau    ;1;0;['dossi', '1mois', 'capabl', 'dossi', 'apparent', 'incompetent'];dossi 1mois capabl dossi apparent incompetent;1
j avais un premier rdv dans cette antenne  et tout s est extremement bien deroule  personnel sympathique  disponible  locaux pas desagreables   ;1;0;['rdv', 'anten', 'extrem', 'deroul', 'personnel', 'sympath'];rdv anten extrem deroul personnel sympath;1
apres avoir depose des reclamations pendant 3mois  j ai finalement obtenu un rdv avec une conseillere d indemnisation je lui ai refourni un dossier complet de a a z de toutes les fiches de paie ainsi que les attestations de fin de contrat elle m a fourni un faux mail pas moyen de la joindre pour le suivi de mon dossier elle m avait assure que elle le traiterait en urgence et que elle me contacterai le lendemain ou le jour d apres max mais aucun retour apres 1 semaine passee 2ans consecutifs de travail avec droit au chomage et a ce jour je suis dans une situation financiere critique avec decouvert et rejets banquaire  factures impayees et pole emploi qui me demande de patienter depuis 3 mois ils me doivent un enorme rappel et font trainer mon dossier aux oubliettes penssant que je vais abandonner mes droits vraiment tres tres mal organise 3 mois sans avancement du dossier c est plus  qu abuse ;1;0;['reclam', '3mois', 'obtenu', 'rdv', 'indemnis', 'refourn', 'dossi', 'z', 'pai', 'attest', 'contrat', 'dossi', 'assur', 'urgenc', 'contact', 'lendemain', 'max', 'passe', '2an', 'consecut', 'chomag', 'critiqu', 'decouvert', 'banquair', 'impaye', 'patient', 'train', 'dossi', 'oubliet', 'penss', 'abandon', 'dossi', 'abus'];reclam 3mois obtenu rdv indemnis refourn dossi z pai attest contrat dossi assur urgenc contact lendemain max passe 2an consecut chomag critiqu decouvert banquair impaye patient train dossi oubliet penss abandon dossi abus;2
je n ai jamais compris l ingratitude des gens avec cette structure  jamais aucun retard pour les allocations  il suffit de s actualiser direct quand c est possible genre le 28  et les conseillers vous aident vraiment si vous avez envie d etre aide   parfois il est plus dur de se poser les bonnes questions que d accuser les autres de ses propres malheurs ;1;0;['compr', 'ingratitud', 'structur', 'retard', 'alloc', 'suff', 'aident', 'pos', 'accus', 'propr'];compr ingratitud structur retard alloc suff aident pos accus propr;-1
ma femme y va suite a une convocation il lui propose de faire une formation de sont choix donc elle choisit formation mecanique vue que sa lui plait la dame lui sous entend bien que avec 5 enfants vault mieux reste mere au foyer et il lui on meme propose d aller voir la psychologue  enfin de compte soit disant la formation et annuler pas assez de personnes pour la faire et comme par enchantement un amis a moi  y a acces bref du coup on paye une formation a distance et elle a deja son propre garache pont outillage etc;1;0;['femm', 'convoc', 'format', 'format', 'mecan', 'plait', 'entend', 'vault', 'mer', 'foi', 'psychologu', 'compt', 'format', 'person', 'enchant', 'amis', 'pay', 'format', 'distanc', 'propr', 'garach', 'pont', 'outillag'];femm convoc format format mecan plait entend vault mer foi psychologu compt format person enchant amis pay format distanc propr garach pont outillag;2
on m a dit d attendre pour faire ma demande de remuneration  j ai attendu et me voila hors delais  cette demande m a alors ete refusee  j ai fais une reclamation et on m a dit que c etait hors delais  quand le systeme protege les incompetents  il ne faut pas s attendre a ce que le service soit rendu ;1;0;['remuner', 'attendu', 'hor', 'reclam', 'hor', 'system', 'proteg', 'incompetent', 'servic'];remuner attendu hor reclam hor system proteg incompetent servic;-1
aujourd hui j ai voulu prendre un rendez vous avec une conseillere  afin de mettre a jour ma situation  faire un point  mais surtout car j ai besoin d aide pour retrouver une voie active professionnelle  car je suis en arret maladie depuis bientot 3 ans  suite a un licenciement abusif  ayant ete declaree inapte par le pole emploi a chercher du travail  ils m avaient radier  me privant donc de mes indemnites chomages auxquelles j avais le droit  lorsque je suis venue a l accueil  la dame m a dit en gros de me debrouiller toute seule  qu il faut que je fasse mes recherches sur internet  k ai du insister en lui disant que j ai quand meme besoin d etre aidee  conseillee  elle m a repondu d accord eh bien je vais en parler a la conseillere e5 elle va vous contacter    humm eh bien  je verrais      ;1;0;['malad', 'bientot', 'licenci', 'abus', 'inapt', 'radi', 'priv', 'indemnit', 'chomag', 'auxquel', 'venu', 'debrouill', 'fass', 'internet', 'k', 'insist', 'aide', 'conseille', 'accord', 'eh', 'e5', 'contact', 'humm', 'eh', 'verr'];malad bientot licenci abus inapt radi priv indemnit chomag auxquel venu debrouill fass internet k insist aide conseille accord eh e5 contact humm eh verr;2
j ai demande plusieurs fois a etre recue conseillere pole emploi pour renplire dossier agefiph mr le directeur respect meme pas decision tribunal de argentan appel service gendarmerie vraiment un honteux desole;1;0;['renplir', 'dossi', 'agefiph', 'mr', 'directeur', 'respect', 'decis', 'tribunal', 'argentan', 'servic', 'gendarmer', 'desol'];renplir dossi agefiph mr directeur respect decis tribunal argentan servic gendarmer desol;2
plus de 8 jours que j ai envoyer un document qu ils ont demander imperativement toujours pas traiter ni ouvert le message  ;1;0;['docu', 'imper', 'ouvert'];docu imper ouvert;0
tres contente de la reactivite et les competences de certaines conseilleres ou responsables   par contre ma conseillere indemnisation 0   elle m a envoyee bouler sans meme essayer de comprendre ma situation  j ai du me deplacer apres presque 2 mois de mails  lui demandant un rdv qui n a jamais ete donne  ;1;0;['content', 'reactivit', 'respons', 'indemnis', 'envoye', 'boul', 'rdv'];content reactivit respons indemnis envoye boul rdv;-1
bonjour  apres une declaration d une reprise d activite faite le 15 octobre pour le 17 novembre  une attestation employeur le prouve mais l agence reste sourde  je n ai pas percu la prime d inflation de 100  dont j ai entierement le droit car encore inscrit chez pole emploi au 30 octobre 2021  evidement  lorsqu il s agit de faire valoir les droits des inscrits  on ne trouve plus d ecoute  en revanche  pour un trop percu  ne vous en faites pas que la reponse est immediate  je compte engager une procedure afin de faire valoir mes droits   a eviter si vous souhaitez reellement un suivis  une ecoute et retrouver un emploi ;1;0;['declar', '17', 'attest', 'employeur', 'prouv', 'agenc', 'sourd', 'inflat', '100', 'entier', 'inscrit', 'evid', 'lorsqu', 'agit', 'valoir', 'inscrit', 'revanch', 'repons', 'immediat', 'compt', 'engag', 'procedur', 'valoir'];declar 17 attest employeur prouv agenc sourd inflat 100 entier inscrit evid lorsqu agit valoir inscrit revanch repons immediat compt engag procedur valoir;-1
sur internet c est marque ouvert je me suis deplace et c est ferme la plusieurs personnes pareille elle se son fai avoirs ;1;0;['internet', 'marqu', 'ouvert', 'ferm', 'person', 'pareil', 'fai', 'avoir'];internet marqu ouvert ferm person pareil fai avoir;-1
c est pas la bonne adresse  la nouvelle adresse ce trouve a   27 bd gambetta  38110 la tour du pin;1;0;['27', 'bd', 'gambet', '38110', 'tour', 'pin'];27 bd gambet 38110 tour pin;-1
ca ne vaut meme pas 1 etoile  impossible d avoir des reponses  on refuse de vous donner un rendez vous  on ne repond pas a vos mails  on vous dit de correspondre par le formulaire reclamation mais impossible d y joindre un courrier  et au final  on finit par vous repondre qu on ne retrouve pas votre dossier  y a t il quelqu un de competent dans cette boite      ;1;0;['vaut', 'repons', 'correspondr', 'formulair', 'reclam', 'courri', 'dossi', 'competent'];vaut repons correspondr formulair reclam courri dossi competent;1
nous somme le 21 du moi toujours pas de virement sur mon compte 21 jour passe avec 178  le temps qu il traite une fiche de paye c est n importe quoi       ;1;0;['somm', '21', 'vir', 'compt', '21', '178', 'pay'];somm 21 vir compt 21 178 pay;-1
aucune reponse a une question simple combien ai je droit au chomage apres 5 ans d anciennete par rapport amon salaire brut   allez sur le site et faire une simulation ;1;0;['repons', 'combien', 'chomag', 'anciennet', 'amon', 'salair', 'simul'];repons combien chomag anciennet amon salair simul;1
premier contact telephonique catastrophique  la personne qui m a repondue m a extremement mal parler  probablement raciste au vus de la demande    se permette de modifier mon premier rdv sans me le demander et me font croire que c est moi qui l es pose  lors du rendez vous c est encore pire   les informations donner sont totalement fausse   sans parler du site qui marche 1 jours sur 2 et qui est inutilisable et incomprehensible je pleins les ancien qui ont deja du mal avec internet  car meme pour les personnes habituer a l informatique c est un casse tete  scandaleux   dommage que l on ne puisse mettre zero etoiles ;1;0;['contact', 'person', 'extrem', 'probabl', 'racist', 'vus', 'rdv', 'inutilis', 'incomprehensibl', 'plein', 'internet', 'person', 'habitu', 'cass', 'tet', 'scandal'];contact person extrem probabl racist vus rdv inutilis incomprehensibl plein internet person habitu cass tet scandal;-1
pathetique tout simplement  deja que leur site ne marche pas  tu ne peux pas consulter tes courriel du site  un message d erreur apparait depuis plus de deux semaine    sachant que c est la dedans que tu recois tes convoque et qu il te radis a tour de bras si tu ne la pas vue    tu les appel  personne ne repond ou n est en capacite de te donner la moindre reponse  on a vraiment un tres bon systeme en france   c est interessant     en attendant je n ai plus de ressource depuis 5 mois  mais apres tout ce n est pas grave  je n avais qu a prendre un poste la bas et j aurai pu glander jusqu a la fin de ma vie moi aussi  une belle moral a elle seul la france ;1;0;['pathet', 'courriel', 'appar', 'dedan', 'convoqu', 'rad', 'tour', 'bras', 'person', 'capacit', 'repons', 'system', 'attend', 'ressourc', 'grav', 'gland', 'moral'];pathet courriel appar dedan convoqu rad tour bras person capacit repons system attend ressourc grav gland moral;1
aucune consideration pour les etudiants et site mal concut  il est impossible de les joindre malgre une attente de plus de 20min  de plus  seulement 3 dates de rdv possible pour une inscription  aucun report ou date supplementaires  c est scandaleux ;1;0;['etudi', 'concut', '20min', 'rdv', 'report', 'supplementair', 'scandal'];etudi concut 20min rdv report supplementair scandal;1
beaucoup trop de retard dans l examen des dossiers ce qui penalise des personnes sans emploi ;1;0;['retard', 'examen', 'dossi', 'penalis', 'person'];retard examen dossi penalis person;1
incompetence    pour une demande d aide a la creation d entreprise  apres 5 mois d attente pour avoir une reponse a mon dossier  des pieces justificatives complementaires envoye rapidement sans faire avancer le dossier  une grosse dizaine d appel avec des conseillers different quasiment a chaque fois  personne ne m a rappele ou meme tenu au courant  a par la derniere personne eu au telephone que je remercie  une conseillere fantome        un referent metier qui ne li pas ses mails ou qui glande dans un bureau on ne sait pas    merci pole emploi  me sortez pas l excuse du covid  tout cela pour avoir une reponse    tellement desespere que j attendais plus rien d eux  ps  inscrit depuis juillet dossier  lance debut septembre clos a la mi janvier              ;1;0;['incompetent', 'repons', 'dossi', 'justif', 'complementair', 'dossi', 'gross', 'dizain', 'quas', 'person', 'tenu', 'person', 'fantom', 'li', 'gland', 'bureau', 'covid', 'repons', 'desesper', 'attend', 'p', 'inscrit', 'juillet', 'dossi', 'lanc', 'clos', 'mi'];incompetent repons dossi justif complementair dossi gross dizain quas person tenu person fantom li gland bureau covid repons desesper attend p inscrit juillet dossi lanc clos mi;1
fermeture exceptionnelle ce jour pour nettoyage des locaux  la derniere fois ils faisaient le pont    je regarde sur leur site a chaque fois avant de venir et bien sur c est marque ouvert   je suis assez degoutee    j ai pris ma journee pour me mettre a jour dans les papiers  j ai 15 minutes de routes pour venir  merci ;1;0;['fermetur', 'exceptionnel', 'nettoyag', 'pont', 'regard', 'marqu', 'ouvert', 'degoute', 'rout'];fermetur exceptionnel nettoyag pont regard marqu ouvert degoute rout;0
j ai trouve des formations sur afpa qui m interessent  je contacte l agence pour convenir d un rdv  il faut savoir que pole emploi est charge de financer les projets de formations surtout via afpa  ma conseillere etant en vacances  on m a donne rdv dans 5 semaines  go rien faire pendant 5 semaines supplementaires car ils sont incapables de me recevoir rapidement et de faire leur travail  a fuir  argent public gaspille ;1;0;['format', 'afpa', 'interessent', 'contact', 'agenc', 'conven', 'rdv', 'financ', 'format', 'afpa', 'vacanc', 'rdv', 'go', 'supplementair', 'fuir', 'argent', 'gaspill'];format afpa interessent contact agenc conven rdv financ format afpa vacanc rdv go supplementair fuir argent gaspill;2
si je pouvais mettre 0 je le ferais  jamais vu des gens aussi incompetents de ma vie  enfin si  la cnav ile de france  je perds un emploi au lieu de me regler mes indemnites  on me reclame 1500 euros de trop percu sans raison  aucune prise en compte des contestations  par mail  ils ne font rien  par telephone pareil    c est une honte      au lieu de me payer  ils reclament de l argent de facon injustifiee    aucun service dans ce pays ne fonctionne correctement  c est incroyable autant d incompetence a tous les niveaux dans ce pays   ;1;0;['incompetent', 'cnav', 'ile', 'perd', 'indemnit', 'reclam', '1500', 'euros', 'compt', 'contest', 'pareil', 'pai', 'recl', 'argent', 'injustifie', 'servic', 'pay', 'incompetent', 'niveau', 'pay'];incompetent cnav ile perd indemnit reclam 1500 euros compt contest pareil pai recl argent injustifie servic pay incompetent niveau pay;2
bien agencee personnel a l ecoute pour nous aider dans nos recherches et bien se servir de l ordinateur car transmettre les documents n est pas toujours facile  savoir etre patient car le personnel fait ce qu il peut mais pour mon avis on trouve tjrs quelqu un pour nous aider ;1;0;['agence', 'personnel', 'serv', 'docu', 'patient', 'personnel', 'tjr'];agence personnel serv docu patient personnel tjr;-1
j avais un rendez vous en ligne  mais ils ne m appellent pas    ;1;0;['appellent'];appellent;0
je met une etoile car je ne peux pas mettre en dessous   personnel incompetents  aucun savoir au sein de cette agence panne informatique recurrente et obligation de se deplacer en agence car en 2023 rien ne se fais pas telephone malheureusement   radie les personne sans raison et les met en arret egalement sans raison  ;1;0;['dessous', 'personnel', 'incompetent', 'sein', 'agenc', 'pann', 'recurrent', 'agenc', 'person'];dessous personnel incompetent sein agenc pann recurrent agenc person;1
conseillere sympathique  acceuil agreable  endroit facile a trouver mais dommage un peut loin  le pole emploi en general fait des procedures tres longues attente de 6 mois jusqu a 3 ans pour insertion a la formation   demande de financement  orientation  insertion a l emploi  il faut persever aller tout le temps et connaitre ces justes droits   n hesitez pas a chercher sur internet sur vos droit parce que les conseillers ne donne presque jamais la bonne solution   ou celle qui ve convient vraiment ;1;0;['sympath', 'acceuil', 'endroit', 'procedur', 'insert', 'format', 'financ', 'orient', 'insert', 'persev', 'connaitr', 'just', 'hesit', 'internet', 've', 'convient'];sympath acceuil endroit procedur insert format financ orient insert persev connaitr just hesit internet ve convient;-1
