Description;demarche en ligne;compte ou espace personnel;Description_2;Description_3;clusters
dans le cadre d une inscription et d une demande d allocations de chomage  impossible de transferer les pieces du domicile car scanner  domestique   qualifie ainsi par pole emploi  rejet de ces memes pieces pourtant scannees et verifiees par le personnel en agence  aucune transmission de coordonnees telephoniques ou electroniques du conseiller donc impossible d avoir un interlocuteur unique  accueil standardise et a la limite de la robotisation ;1;0;['alloc', 'chomag', 'transfer', 'domest', 'qualif', 'scanne', 'verifie', 'personnel', 'agenc', 'electron', 'interlocuteur', 'uniqu', 'standardis', 'robotis'];alloc chomag transfer domest qualif scanne verifie personnel agenc electron interlocuteur uniqu standardis robotis;-1
je souhaite rectifier mon precedent commentaire  je signalais ne pas avoir de detail de mon actualisation ni de mail de retour  il se trouve que ceux ci sont arrives plus tardivement dans la journee et n ai pu mettre a jour mon dossier que le soir  de quoi provient ce decallage   temps de reponse long des serveurs ou decalage horaire     je me devais de signaler que j avais fini par recevoir correctement mes justificatifs ;0;1;['rectifi', 'commentair', 'arriv', 'tardiv', 'dossi', 'soir', 'provient', 'decallag', 'repons', 'serveur', 'decalag', 'horair', 'justif'];rectifi commentair arriv tardiv dossi soir provient decallag repons serveur decalag horair justif;-1
je suis penalisee par pole emploi   une societe souhaitait me rencontrer pour mettre en place un projet professionnel  les employes du pole emploi ne traitent pas mes demandes de pmsmp et de mobilite  ils ne repondent pas a mes courriels  appels et reclamation ;1;1;['penalise', 'traitent', 'pmsmp', 'repondent', 'courriel', 'reclam'];penalise traitent pmsmp repondent courriel reclam;-1
je postule pour un poste de teleconseiller a domicile sur pole emploi et pole emploi ne m adresse que des offres d emploi ou il faut se deplacer je cherche un emploi de teleconseiller a domicile car je ne conduis pas;1;1;['teleconseil', 'offre', 'teleconseil', 'conduis'];teleconseil offre teleconseil conduis;-1
je suis demandeur d emploi de l ile de la guadeloupe  j ai ete convoque par une entreprise pour un entretien d embauche en metropole  l employeur demande en plus de pouvoir voir mes capacites a ce poste  j ai donc fait une demande d aide a la mobilite destinee au demandeur d emploi a partir de mon espace utilisateur pole emploi  j ai constate que la date fixe par l entreprise se rapprochait  je suis allee a l agence pole emploi directement pour demander des informations sur le suivi de ma demande de mobilite  les employes du pole emploi se sont exclamee que les demandes de mobilite sont appliquees uniquement sur l ile de la guadeloupe  ces employes ont affirme que le dispositif aide a la mobilite n est pas destine au deplacement en metropole  cet employe n a pas su me montrer les textes du pole emploi qui lui permettent de dire que l aide a la mobilite est refuse pour la metropole  a cause du pole emploi  je n ai pas pu etre a mon entretien d embauche comme l avait demande l entreprise ;1;1;['ile', 'guadeloup', 'convoqu', 'metropol', 'employeur', 'capacit', 'destine', 'fix', 'rapproch', 'agenc', 'exclame', 'applique', 'ile', 'guadeloup', 'affirm', 'destin', 'metropol', 'montr', 'permettent', 'metropol'];ile guadeloup convoqu metropol employeur capacit destine fix rapproch agenc exclame applique ile guadeloup affirm destin metropol montr permettent metropol;2
concernant la nouvelle  declaration d activite mensuelle  de pole emploi    on nous pose exactement les memes questions  mais en 4 scripts au lieu d un seul  autrement dit     1  moins de visibilite globale  donc plus de risque d erreur   2  plus de telechargements reseau  4 pages au lieu d une   donc perte de temps d abord  et risque d erreurs dues a un problemes internet bien plus important   3  on ne peut corriger le script apres validation  avant on avait quelques heures pour ca   bon je n en ai jamais eu besoin mais ca n empeche pas que c est une possibilite en moins  qui ne peut etre comparee au fait de devoir faire des demarches pour contacter un conseiller     4  on ne peut plus telecharger directement le pdf de la declaration  il faut aller le chercher dans une autre section du site   encore de la perte de temps   conclusion  ergonomie   0   il n y a aucun aspect positif a cette nouvelle declaration  que du negatif  perte de temps  risques d erreurs manuelles ou reseau accrues  pdf      il y a sans doute mieux a faire pour les chercheurs d emplois que mettre de l argent dans ce genre de refonte inutile et negative   cordialement;1;0;['declar', 'exact', 'script', 'autr', 'visibilit', 'global', 'telecharg', 'reseau', 'abord', 'du', 'internet', 'script', 'empech', 'compare', 'demarch', 'contact', 'pdf', 'declar', 'section', 'conclus', 'ergonom', 'aspect', 'declar', 'manuel', 'reseau', 'accru', 'pdf', 'chercheur', 'argent', 'refont'];declar exact script autr visibilit global telecharg reseau abord du internet script empech compare demarch contact pdf declar section conclus ergonom aspect declar manuel reseau accru pdf chercheur argent refont;1
une entreprise m a propose d effectuer une pmsmp dans ces locaux  ma conseillere pole emploi a valide une pmsmp avec des horaires de travail identiques a ceux des employes  la convention precise pourtant que les horaires d une pmsmp ne doivent pas etre identique aux employes ;1;1;['pmsmp', 'pmsmp', 'horair', 'ident', 'convent', 'horair', 'pmsmp', 'ident'];pmsmp pmsmp horair ident convent horair pmsmp ident;-1
pole emploi fait barrage a mes candidatures  comme celle a laquelle j ai repondu aujourd hui et qui a ete aussitot refusee pour un motif non recevable   j ai aussitot cherche a joindre quelqu un a l agence de caen  notamment mon  conseiller  qui est injoignable     et  inutile  ou bien quelqu un a qui je pourrais exposer la situation  eh bien c est mission impossible  pole emploi est un fantome     en consequence  je constate que pole emploi ne veut pas me donner une chance de travailler et prefere que je reste chez moi   que dire  ;0;1;['barrag', 'aussitot', 'recev', 'aussitot', 'agenc', 'caen', 'injoign', 'expos', 'eh', 'fantom', 'prefer'];barrag aussitot recev aussitot agenc caen injoign expos eh fantom prefer;4
les conseillers sont censes attendre votre fiche de paie pour vous faire votre paiement  dans le pole emploi de st gratien  non seulement ils ne regardent pas si vous avez travaille mais en plus ils n attendent pas la fiche de paie  ils vous font ensuite un paiement  6 mois plus tard  on vous demande de rembourser alors que c est de leurs fautes car ils sont incapables de faire leurs boulots correctement  les conseillees indemnisations ne savent meme pas qu alors d une contestation il faut leur envoyer par mail ou par courrier  comme ecrit dans a fiche de contestation   ils nous disent de la scanner mais si vous ne scannez pas vos documents dans les bonnes rubriques  les documents ne sont pas traites et il n y a pas de cases  trop percu  ma conseillere qui m explique pas aux gens qu elle suit qu ils est en accompagnement jeune    leur donnent des rendez vous justes pour parler vie personnelle   je lui expliquais que malgre mes diplomes  je ne pouvais plus travailler en patisserie a cause des horaires  elle insistait alors pour que je postule dans une patisserie sur st gratien en disant que je pouvais pas commencer avant 8h30    en tant que patissiere  alors que je cherche pas ce poste la  jai quand meme recu un appelle de cette patisserie me disant qu il avait recu mon cv  cv que je mets jamais envoye surtout que j avais trouve autre chose  j envoie un mail pour dire a ma conseillere pour lui dire que j ai trouve un poste de service civique  je lui donne les dates etc  elle me donne alors un rendez vous pendant mes heures de travail  personne ne vous explique ce qu est votre identifiant et encore moins a quoi il sert  c est une suite de 7 chiffres  et 1 lettre  le meme principe que le numero de secu et le numero allocataire pour la caf  on vous envoie balader quand vous dites que vous ne le connaissez pas et que par consequent a l accueil on ne peut pas vous aider  c est completement faux  on peut vous retrouver avec num de tel  secu  adresse mail  titre de sejour etc;1;0;['pai', 'pai', 'st', 'gratien', 'regardent', 'attendent', 'pai', 'pai', 'rembours', 'boulot', 'conseille', 'indemnis', 'savent', 'contest', 'courri', 'contest', 'disent', 'docu', 'docu', 'cas', 'suit', 'jeun', 'donnent', 'just', 'personnel', 'patisser', 'horair', 'insist', 'patisser', 'st', 'gratien', '8h30', 'patissier', 'patisser', 'servic', 'civiqu', 'person', 'identifi', 'princip', 'secu', 'allocatair', 'caf', 'balad', 'num', 'tel', 'secu', 'sejour'];pai pai st gratien regardent attendent pai pai rembours boulot conseille indemnis savent contest courri contest disent docu docu cas suit jeun donnent just personnel patisser horair insist patisser st gratien 8h30 patissier patisser servic civiqu person identifi princip secu allocatair caf balad num tel secu sejour;3
je viens de m actualiser ce jour le 28 05 2022 avec la nouvelle methode proposee par le pole emploi  pas de panique  c est tout comme avant  sauf que c est divise en plusieurs etapes  c est tout  on verra apres pour les justificatifs d actualisation  mais je pense en avoir un au plus tard mardi dans mon espace emploi  sachant qu aujourd hui c est samedi  bon courage a tous ;1;1;['05', 'propose', 'paniqu', 'divis', 'etap', 'verr', 'justif', 'mard', 'samed', 'courag'];05 propose paniqu divis etap verr justif mard samed courag;4
bonjour  a chaque fois que je recois une proposition d emploi de pole emploi marmande 47  j ai tout d abord un premier message m informant d une offre sans enseigne dans mes propositions d emploi  avec une modalite pour candidater   je suis oblige de dire que je suis interesse meme si j ai postule a la meme offre en direct ou via un cabinet ou autre site d emploi  sinon on considere que je refuse la candidature et on me fera ensuite des menaces que si je ne reponds pas aux annonces on mettra en pause mon rsa ou le retirera  des que je valide que je suis interesse  le lendemain je recois un courrier avec la meme offre en me donnant la le nom de l enseigne mais dans ma messagerie de mon conseiller pole emploi et avec une modalite de candidature differente de la premiere  et le meme jour aussi  je recois un troisieme courrier qui est a peu pres le meme document que le deuxieme mais avec une reference  acmu  acmt  differente et signe d un autre conseiller pole emploi et avec une troisieme demarche differente des deux autres pour candidater  ne trouvez vous pas cela totalement fou  brouillon et totalement incoherent pour le candidat qui est cense avoir une modalite unique pour repondre a une annonce  cela complique tout    diverses et variees procedures pour postuler en plus en pouvant ajouter quelques fois son profil pole emploi et d autres fois impossible de l ajouter  des interlocuteurs indiques  conseillers pole emploi  inconnus  et j avais aussi deja signale que c etait totalement fou aussi au 21e siecle de ne pas pouvoir envoyer une piece jointe pour la lettre de motivation ou l on est limite a 2000 caracteres  je fais des lettres de motivation de 2 pages  car parcours particulier  et les recruteurs lisent ma lettre a chaque fois puisque j ai des contacts telephoniques  visio ou entretien visio ou physique   c est perdre du temps et ne pas aider les demandeurs d emploi en les embrouillants dans de la paperasse et procedures  cordialement;1;1;['marmand', '47', 'abord', 'offre', 'enseign', 'modalit', 'offre', 'cabinet', 'mettr', 'paus', 'rsa', 'retir', 'lendemain', 'courri', 'offre', 'enseign', 'messager', 'modalit', 'troisiem', 'courri', 'docu', 'acmu', 'acmt', 'troisiem', 'demarch', 'fou', 'brouillon', 'incoherent', 'modalit', 'uniqu', 'divers', 'varie', 'procedur', 'ajout', 'profil', 'ajout', 'interlocuteur', 'inconnus', 'fou', '21e', 'siecl', 'joint', '2000', 'caracter', 'recruteur', 'lisent', 'contact', 'visio', 'visio', 'embrouill', 'paper', 'procedur'];marmand 47 abord offre enseign modalit offre cabinet mettr paus rsa retir lendemain courri offre enseign messager modalit troisiem courri docu acmu acmt troisiem demarch fou brouillon incoherent modalit uniqu divers varie procedur ajout profil ajout interlocuteur inconnus fou 21e siecl joint 2000 caracter recruteur lisent contact visio visio embrouill paper procedur;-1
le justificatif d actualisation n est plus disponible sur le site de l actualisation  il faut aller sur son compte personnel  pour informer ou le trouver vous avez ecrit    allez sur  mes justificatifs d actualisation   mais on dit pas que cet onglet se trouve sur le compte personnel  les deux ne sont pas entre connectes  pourquoi   la mise en page de l actualisation est passee de compacte a super etalee  on recoit une mail d information d actualisation   mais pourquoi on ne peut pas recevoir directement le justificatif d actualisation   en definitive  on voulait ameliorer le service et on l a rendu plus bete  mauvais travail de design ux ;1;1;['justif', 'compt', 'personnel', 'justif', 'onglet', 'compt', 'personnel', 'connect', 'passe', 'compact', 'etale', 'recoit', 'justif', 'definit', 'servic', 'bet', 'mauv', 'design', 'ux'];justif compt personnel justif onglet compt personnel connect passe compact etale recoit justif definit servic bet mauv design ux;-1
beaucoup de pratiques trompeuses au niveau des annonces  signalees mais toujours en ligne   exemple   l offre est toujours en ligne alors que l employeur decrit un salaire qui ne correspond pas a l annonce car au final c est le smic qui est propose ;1;0;['pratiqu', 'trompeux', 'signale', 'offre', 'employeur', 'decr', 'salair', 'smic'];pratiqu trompeux signale offre employeur decr salair smic;2
site tres mal fait  les employeurs ne sont cites que par des numeros  la personnalisation est dematerialisee a l extreme  les questions sont incomprehensibles  il y a des erreurs de syntaxe francaise  bref  on est au paroxysme de ce que peut faire l administration en terme de  simplicite  et de normalisation sous pretexte de  simplifier    deja que leur vocabulaire se compose en grande partie d abreviations dont eux seuls ont le decodage  donc inaccessible pour la plupart des inscrits a pole emploi  mais la  on bat des records  ;1;0;['employeur', 'cit', 'numeros', 'personnalis', 'dematerialise', 'extrem', 'incomprehensibl', 'syntax', 'francais', 'paroxysm', 'administr', 'simplicit', 'normalis', 'pretext', 'simplifi', 'vocabulair', 'compos', 'abrevi', 'seul', 'decodag', 'inaccessibl', 'plupart', 'inscrit', 'record'];employeur cit numeros personnalis dematerialise extrem incomprehensibl syntax francais paroxysm administr simplicit normalis pretext simplifi vocabulair compos abrevi seul decodag inaccessibl plupart inscrit record;-1
j ai contacte une entreprise  l entreprise m a propose une pmsmp  periodes de mise en situation en milieu professionnel   via le pole emploi  j ai transmis les dates que me propose l entreprise a mon pole emploi  le pole emploi de la ville de capesterre belle eau n a toujours pas repondu et prepare ma demande  les dates de l entreprise sont passes ;0;1;['contact', 'pmsmp', 'milieu', 'capesterr', 'eau', 'prepar'];contact pmsmp milieu capesterr eau prepar;-1
bonjour  je suis tres insatisfait de la maniere dont nous sommes traites par le service du pole emploi  je me suis inscrit a la formation en ligne pour   construire mon projet de formation   et ce matin quand je suis arrive sur place la personne a l accueil m annonce que la formation a ete annule car il n y avait pas assez de monde  mais pourquoi ne m a t on pas prevenu   pourquoi il y a cette ignorance de pole emploi  il y avait les autres personnes aussi sur place comme moi  qui sont venu pour la formation et qu ils etais pas prevenu de l annulation  j ai mis 2 heures pour faire le trajet d aller retour pour au final ils me disent que c est annule  je suis en colere aujourd hui car ce n est pas la premiere fois que cela arrive  debut mai 2022 aussi j avais le rendez vous a pole emploi  je me suis rendu sur place et pareil  c etait annule sans me prevenir  concernant tout ce que je dis evidemment  il y a la tracabilite sur mon espace personnel  cela fait deja 2 mois que j enchaine des rendez vous a pole emploi et il ne se passe rien d autre que d inscription  il y a personne qui m a demande qu est que je veux faire comme travail ou formation  rien  j ai eu 5 rendez vous que pour les inscriptions   ca suffit   depuis la semaine derniere  j essaye d avoir un rendez vous aupres de la conseillere   elle ne repond pas   j ai eu le retour automatique de mon mail comme qoi elle s engage a me repondre dans les 48h mais depuis fin mai ca fait deja 1 semaine que j ai pas de reponse et je ne sais pas si je l aurai ;0;1;['insatisf', 'servic', 'inscrit', 'format', 'construir', 'format', 'person', 'format', 'prevenu', 'ignor', 'person', 'venu', 'format', 'prevenu', 'trajet', 'disent', 'coler', 'pareil', 'preven', 'tracabilit', 'personnel', 'enchain', 'person', 'format', 'suff', 'qoi', 'engag', '48h', 'repons'];insatisf servic inscrit format construir format person format prevenu ignor person venu format prevenu trajet disent coler pareil preven tracabilit personnel enchain person format suff qoi engag 48h repons;1
bonjour  en juin 2022  je raconte mon actualisation mensuelle pour le pole emploi  j utilise un ordinateur pour cela  tout ce passe bien  chrome fonctionne a merveille  je m inscris rapidement  et a la fin  sans probleme  mon actualisation s affiche sous format pdf  que je peux telecharger sur mon pc  naturellement  quand je veux m actualiser par le smartphone mobile  tout se passe correctement  mon actualisation s affiche en pdf que je peux telecharger en ligne  par la suite ;1;0;['juin', 'racont', 'chrom', 'merveil', 'inscris', 'format', 'pdf', 'pc', 'naturel', 'smartphon', 'mobil', 'pdf'];juin racont chrom merveil inscris format pdf pc naturel smartphon mobil pdf;1
c est tres pratique le fait que la declaration soit pre remplie  plus d erreur et surtout plus de documents a chercher  parfait;1;0;['declar', 'docu', 'parf'];declar docu parf;-1
j ai adoree les nouvelles couleurs tres a la mode   et la grande simplicite  agreablement surprise   des l ouverture de mon dossier pour faire mon actualisation mensuelle   merci de mettre un peu de baume au coeur   dans ces moments pas facile qui et le chomage   et dans ce monde difficile   cordialement ;1;0;['adore', 'couleur', 'mod', 'simplicit', 'ouvertur', 'dossi', 'baum', 'coeur', 'moment', 'chomag'];adore couleur mod simplicit ouvertur dossi baum coeur moment chomag;4
bonjour  je viens vers vous pour partager l evolution rapide apres un rendez vous telephonique prevu le 12mai a 9h  j avais beaucoup de questions concernant mon projet professionnel et aussi mon embauche qui etait le 01 mai 2022 je de devais egalement poser concernant le permis  a ma grande surprise une lettre de rappel m attestant de ne pas avoir honore mon rendez vous   coup de theatre   radiation de mon  inscription a pole emploi  ;0;1;['partag', 'evolu', 'prevu', '12mai', '9h', '01', 'pos', 'attest', 'honor', 'theatr'];partag evolu prevu 12mai 9h 01 pos attest honor theatr;4
merci a tous  vous etes une equipe performante  vous m avez tres bien aide a m inscrire et a chercher un emploi  je suis tres heureux  j espere pouvoir trouver un emploi auquel j aspire;0;1;['equip', 'perform', 'auquel', 'aspir'];equip perform auquel aspir;-1
je rencontrais des problemes avec mon dossier pole emploi  ce qui a bloque mon indemnisation pendant plusieurs mois alors que j avais le droit de la percevoir  ma conseillere m a raconte beaucoup de choses pour justifier le rejet de mon dossier  tout son argumentaire s est revele etre totalement faux   elle m a egalement fait constituer des dossiers qui n ont abouti a rien  dans quel but  je n en ai aucune idee   la majorite de nos echanges se sont faits par telephone  heureusement j ai fini par tomber sur quelqu un qui a pris au serieux ma demande et a regle le probleme en quelques heure  ma conseillere m a laisse des mois dans cette situation  heureusement que je ne vis pas seule car sinon je ne pouvais plus me nourrir ni me loger  etant enceinte  cela aurait pu avoir de tres graves repercussions   ;1;1;['dossi', 'indemnis', 'percevoir', 'racont', 'dossi', 'argumentair', 'revel', 'constitu', 'dossi', 'about', 'but', 'ide', 'majorit', 'tomb', 'nourr', 'log', 'enceint', 'grav', 'repercuss'];dossi indemnis percevoir racont dossi argumentair revel constitu dossi about but ide majorit tomb nourr log enceint grav repercuss;-1
une offfre d emploi   l obligation d adresser 3 documents  lm  cv et fiche pacte ministeriel  par voie electronique  dont l adresse email est indiquee  syntaxe precise   et trois essais ont ete effectues   le serveur de messagerie me retourne qu il n existe aucun serveur de messagerie destinataire pour cet email  pour finir je me suis senti oblige de postuler en ligne via le site web a l offre concernee  sans pouvoir joindre les deux autres documents pourtant exiges  lettre et fiche pacte    je doute que l on m aide a postuler  et l hotel de police qui est a l origine du projet de recrutement finira peut etre par croire qu il n a trouve personne pour le poste a pourvoir ;1;1;['offfre', 'docu', 'lm', 'pact', 'ministeriel', 'electron', 'indique', 'syntax', 'essais', 'effectu', 'serveur', 'messager', 'serveur', 'messager', 'destinatair', 'web', 'offre', 'concerne', 'docu', 'pact', 'hotel', 'polic', 'origin', 'person', 'pourvoir'];offfre docu lm pact ministeriel electron indique syntax essais effectu serveur messager serveur messager destinatair web offre concerne docu pact hotel polic origin person pourvoir;-1
au lieu de declarer les heures et salaires totaux on se complique la vie a declarer chaque employeur separement  ce qui complique plus  au lieu des noms des employeurs  on mets des codes chiffres donnes par l urssaf  tout ca sans une vraie raison parce que de toute facon ce sont les documents charge qui font foi  merci pole emploi ;0;1;['declar', 'salair', 'total', 'declar', 'employeur', 'separ', 'employeur', 'urssaf', 'vrai', 'docu', 'foi'];declar salair total declar employeur separ employeur urssaf vrai docu foi;2
bonjour  j ai malheureusement eu l experience d avoir a faire a pole emploi   un mot les concernant  honteux  je bosses depuis 25 ans  l entreprise dans laquelle je travaillais a mis la cles sous la porte il y a presque 3 mois en arriere  mes indemnites qui me sont payes ne sont pas juste  il manque 500 euros    apparemment des documents que j avais fourni se sont perdus  donc j ai renvoye  par mail bien sur car les courriers postaux sont beaucoup beaucoup moins bien traite  je rappel quand meme que je n ai pas d ordinateur et que c est une amie qui fait les demarches pour moi sur son temps libre car elle travaille   j ai ete oblige de rappeler car pas de nouvelle  on me dit qu ils n ont pas recu les documents  qu il faut passer par mon espace pour les envoyer  ce que je fais  toujours par le biais de mon amie  d ailleurs grosse galere car oblige d envoyer les docs 2 par 2 et j en ai une trentaine a envoyer  pour la plus part des docs le site m indique qu ils sont pas pris en compte car mauvais intitule  donc je rappelle pole emploi   quand j explique ma situation que je n ai pas d ordinateur   la personne ne repond que je ne fais pas d efforts et me menace de  raccrocher quand elle entend mon amie derriere moi dire qu il faudrait revoir la facon de faire les choses  sur un ton tres calme   donc bien sur je suis reste calme au telephone car pas envie de devoir rester encore 15 min au telephone avant d avoir quelqu un    en clair 25 ans en activite  3 mois de chomage  j ai retrouve du travail  avec des indemnites aux rabais pas  ordinateur mais me debrouille pour faire les memes demarches plusieurs fois sur ordi quand meme  j explique que ca ne va plus etre possible car mon amie a autre chose a faire toujours calmement  et on me repond que je ne fais pas d effort  et bien pole emplois n a qu a me payer un ordinateur et internet parce que avec 500 euros de moins par moi pour vivre et bien c est compliquer d aller m en acheter un  je ne felicite pas pole emploi et ses conseillers ;0;1;['boss', 'cle', 'arrier', 'indemnit', 'pay', '500', 'euros', 'apparent', 'docu', 'perdus', 'renvoy', 'courri', 'postal', 'ami', 'demarch', 'libr', 'docu', 'bi', 'ami', 'gross', 'galer', 'trentain', 'compt', 'mauv', 'intitul', 'person', 'effort', 'raccroch', 'entend', 'ami', 'derrier', 'revoir', 'calm', 'calm', 'min', 'chomag', 'indemnit', 'rab', 'debrouill', 'demarch', 'ordi', 'ami', 'calm', 'effort', 'pai', 'internet', '500', 'euros', 'achet', 'felicit'];boss cle arrier indemnit pay 500 euros apparent docu perdus renvoy courri postal ami demarch libr docu bi ami gross galer trentain compt mauv intitul person effort raccroch entend ami derrier revoir calm calm min chomag indemnit rab debrouill demarch ordi ami calm effort pai internet 500 euros achet felicit;3
j ai passe 2 heures pour faire mon actualisation  ce mois ci j ai travaille pour 14 employeurs et aucun nom d employeur n apparait  uniquement des numeros urssaf  il faut donc rechercher sur le site de l urssaf les numeros pour savoir a quel employeur il correspond   pourquoi faire simple quand on peut nous compliquer la vie  ;0;1;['14', 'employeur', 'employeur', 'appar', 'numeros', 'urssaf', 'urssaf', 'numeros', 'employeur'];14 employeur employeur appar numeros urssaf urssaf numeros employeur;2
bonjour  cette fois ci la caf n a guere ete contactee en s aventurant les premieres fois sur le site du pole emploi c est flou     mais au fur et a mesure   reconnaitre les entites informations  requetes aide a effectuer une quete plus simple     maintenant on reste dans l espoir de l aboutissement de cette action a un resultat qui  lui  reste sans precision au cours des jours a venir  mon moyen de contact reste le reseau du net principalement  en tout cas merci pour votre site    tres courtoisement;1;1;['caf', 'guer', 'contacte', 'aventur', 'premier', 'flou', 'fur', 'reconnaitr', 'entit', 'requet', 'quet', 'espoir', 'about', 'contact', 'reseau', 'net', 'courtois'];caf guer contacte aventur premier flou fur reconnaitr entit requet quet espoir about contact reseau net courtois;-1
sur pole emploi on postule pour un poste   et l on n a pas de reponse   et pole emploi fait des mises a jour de l offre alors que l on attend une reponse de l employeur  attendez que l employeur reponde aux candidat avant de faire une mise a jour de l offre   car l employeur recolte des c v et nous sommes sans reponse de sa part malgre nos competences  ;1;1;['repons', 'mis', 'offre', 'attend', 'repons', 'employeur', 'attend', 'employeur', 'offre', 'employeur', 'recolt', 'v', 'repons'];repons mis offre attend repons employeur attend employeur offre employeur recolt v repons;2
je suis insatisfaite du traitement de mon dossier de demandeur d emploi par l agence pole emploi de capesterre belle eau de l ile de guadeloupe  les conseillers pole emploi qui m ont ete attribue ne facilite pas mon retour a l emploi  leur attitude professionnelle va contre mes interets de demandeur d emploi  les formalites n ont pas ete correctement rempli ;1;0;['insatisfait', 'dossi', 'agenc', 'capesterr', 'eau', 'ile', 'guadeloup', 'attribu', 'attitud', 'interet', 'formalit'];insatisfait dossi agenc capesterr eau ile guadeloup attribu attitud interet formalit;-1
il est fort dommage de ne pas pouvoir modifier une declaration car du coup par peur de faire une betise je devrais toujours me rendre chez ma sur pour m actualiser  ce qui me rajoute des frais  une tolerance de 3 mois aurait ete appreciable ;1;0;['declar', 'peur', 'betis', 'rajout', 'frais', 'toler', 'appreci'];declar peur betis rajout frais toler appreci;4
madame  monsieur   quelques semaines apres mes candidatures sur le site de pole emploi  je contacte les employeurs pour faire le suivi de mes candidature et regret est de constater que ces dernieres n ont pas ete transmises aux recruteurs  je souhaite qu une verification soit faite si les candidature sont reellement transmises  si possible d accuser reception automatique lorsque la candidature est transmise au recruteur ;1;1;['contact', 'employeur', 'constat', 'dernier', 'recruteur', 'verif', 'accus', 'recruteur'];contact employeur constat dernier recruteur verif accus recruteur;2
bonjour   je suis demandeur d emploi et auto entrepreneur  avec le nouveau dispositif d actualisation de pole emploi  il m est impossible de declarer zero heures dans la case prevue a cet effet  or c est pourtant bien ma realite  je n ai  malheureusement d ailleurs  eu aucun contrat avec cette micro entreprise  aucune heure  et donc de fait pas le moindre euro de revenu  or  impossible de valider  o  dans la case heures effectuees  le dispositif impose un chiffre superieur a zero     ;1;0;['auto', 'entrepreneur', 'declar', 'prevu', 'contrat', 'micro', 'o', 'impos', 'superieur'];auto entrepreneur declar prevu contrat micro o impos superieur;-1
bonjour   j ai travaille en interim et j ai termine ma mission en octobre 2021  la boite d interim a mis ma prime de precarite dans un compte epargne cet et sur ma fiche de paye est bien precise  j ai demande le deblocage de cette somme et le pole emploi me demande un trop percu pour le mois de novembre 2021  alors que je n avait pas travaille  j ai demande a l entreprise d interim de me fournir une autre attestation  cette derniere a ete refuse par le pole emploi qui ne cherche pas a comprendre meme avec un mail expliquant bien la situation et precisant que la prime de precarite n ai pas considerer comme activite salariale  en plus de cela  je n ai pas ete paye par pole emploi pour le mois de mai 2022 alors que je n ai pas travaille    pouviez vous debloquer cette situation svp    merci d avance   cordialement ;1;0;['interim', 'interim', 'precarit', 'compt', 'epargn', 'pay', 'deblocag', 'somm', 'interim', 'attest', 'precarit', 'salarial', 'pay', 'debloqu', 'svp'];interim interim precarit compt epargn pay deblocag somm interim attest precarit salarial pay debloqu svp;2
je travaille en interim  ce qui entraine la signature de plusieurs contrats par mois  qui de temps en temps se chevauchent sur deux mois  cependant les salaires sont mensuels  lors de l actualisation  il est impossible de declarer la mensualisation salariale  la transmission du bulletin de salaire ne permet pas de remedier et de corriger la declaration  c est dommage  j ai l impression de faire des declarations fantaisistes  malgre mon entiere volonte de bien faire ;1;1;['interim', 'entrain', 'signatur', 'contrat', 'chevauchent', 'cepend', 'salair', 'declar', 'mensualis', 'salarial', 'bulletin', 'salair', 'remedi', 'declar', 'impress', 'declar', 'fantais', 'entier', 'volont'];interim entrain signatur contrat chevauchent cepend salair declar mensualis salarial bulletin salair remedi declar impress declar fantais entier volont;2
tiens  le formulaire a change    au premier abord cela semble plus abouti    on me demande des details  cela tombe bien je suis en micro entreprise et    premiere embuche le formulaire me demande le nom de mon entreprise sauf qu en micro entreprise on a pas de nom que l on peut enregistrer a la chambre du commerce  alors j ai mis quelque chose de bidon    le formulaire se poursuit et un doute me tenaille   a quel moment va t on me demander si je recherche encore un emploi    he oui  une micro entreprise est une activite d appoint  si un emploi interessant se presente il faut foncer    et    une petite case presque inapercue a la fin du questionnaire me demande si je veux rester inscrit a la recherche d un emploi    trop facile de passer a cote  ;1;1;['formulair', 'abord', 'about', 'micro', 'embuch', 'formulair', 'micro', 'chambr', 'commerc', 'bidon', 'formulair', 'poursuit', 'tenaill', 'he', 'micro', 'appoint', 'fonc', 'inapercu', 'questionnair', 'inscrit'];formulair abord about micro embuch formulair micro chambr commerc bidon formulair poursuit tenaill he micro appoint fonc inapercu questionnair inscrit;-1
la nouvelle methode d actualisation de pole emploi n est pas du tout adaptee aux employes cesu   les employeurs sont identifies avec leur numero une grande partie des informations saisies est erronee   inexistante bref tres long   ;1;0;['adapte', 'employeur', 'identif', 'errone', 'inexist'];adapte employeur identif errone inexist;2
sur le site pole emploi  les filtres de recherche des offres  donnent des offres ne correspondant aucunement a la demande  l intelligence artificielle est loin d etre au point    mefions nous des outils informatiques  et je suis  moi meme  informaticien depuis 50  ans     ;1;0;['filtr', 'offre', 'donnent', 'offre', 'intelligent', 'artificiel', 'mefion', 'informaticien', '50'];filtr offre donnent offre intelligent artificiel mefion informaticien 50;-1
