Description;accueil;Description_2;Description_3;clusters
j ai sollicite le service de pole emploi pour beneficier d un abondement  a une formation de dirigeant de societe de securite privee  ma conseillere m a indique les documents que je devais suivre  ainsi qu une lettre de motivation  deux semaines plus tard  ma conseillere et le responsable du centre de formation m on contactes pour m annoncer la bonne nouvelle que mon dossier avait ete accepte par la commission de pole emplois  je tiens avant tous  remercier l organisme de pole emplois  nous sommes souvent critique face aux organismes publics  il faut reconnaitre que nous avons la chance de vivre dans ce beau pays la france qui permet a chacun de trouver sa place ;1;['servic', 'abond', 'format', 'dirig', 'securit', 'prive', 'docu', 'respons', 'format', 'contact', 'dossi', 'commiss', 'remerci', 'critiqu', 'fac', 'reconnaitr', 'pay'];servic abond format dirig securit prive docu respons format contact dossi commiss remerci critiqu fac reconnaitr pay;-1
je suis inscrite en tant que demandeur d emploi et j ai cree une micro entreprise  j ai donc demande de l aide a pole emploi afin d etre accompagnee dans le processus de creation d entreprise   cependant je ne parviens pas  a avoir un rdv avec mon conseiller    je l ai donc sollicite a plusieurs reprises par mail  notamment pour avoir des renseignements sur les possibilites de demander des financements pour faire des formations tres importantes dans mon domaine   ses reponses sont tres succintes  ne repondant souvent pas a mes questions   j ai pris l initiative de les contacter pour faire une demande de financement d une formation directement via mon espace personnel pole emploi  cependant celle ci a ete refusee en moins de 24h  sans aucune justification valable   l accompagnement par pole emploi dans mon projet de creation d entreprise  voire retour a l emploi est donc inexistant  ce qui est tres decevant ;1;['inscrit', 'micro', 'accompagne', 'processus', 'cepend', 'parvien', 'rdv', 'possibilit', 'financ', 'format', 'repons', 'succint', 'initi', 'contact', 'financ', 'format', 'personnel', 'cepend', '24h', 'justif', 'valabl', 'inexist', 'decev'];inscrit micro accompagne processus cepend parvien rdv possibilit financ format repons succint initi contact financ format personnel cepend 24h justif valabl inexist decev;0
experience classique sur les sites administratif de la republique    une boucle administrative fait tourner en rond sur trois services    une cache a cocher se dissimule du regard pour qu on oublie l evidence meme  cocher la case  conserver ses droits    un faux bug me faire tourner en rond sur des formulaires a cocher et contrats a lire en attendant qu il me vienne l idee de rafraichir trois fois de suite la page pour enfin sortir de la boucle infinie   les lettres a delais sont recu de facon quasiment systematique juste assez tard pour risquer la radiation;1;['classiqu', 'administr', 'republ', 'boucl', 'administr', 'rond', 'servic', 'cach', 'dissimul', 'regard', 'conserv', 'bug', 'rond', 'formulair', 'contrat', 'attend', 'vien', 'ide', 'rafraich', 'boucl', 'infin', 'quas'];classiqu administr republ boucl administr rond servic cach dissimul regard conserv bug rond formulair contrat attend vien ide rafraich boucl infin quas;-1
bonjour    je veux me presenter a un agent d accueil et hop un assistant souhaite m aider  bref  je commence a lui dire ce que j ai besoin et il part sans rien me dire et me laisse donc  en plan  pour aller chercher l avis de la conseillere du comptoir    retour   vous devez demander un rendez vous pour votre demande s il avait voulu attendre c etait cela ma demande car sur internet le  hangouts  avait dit de venir a l agence    bref  j ai l interlocutrice qui m informe que je suis reaffecte a l agence cadre a 20km   et qu elle ne peut plus rien pour moi     bref comment me rendre a cette nouvelle agence   le bus je n y ai pas acces   donc je prends ma voiture 2 15  le litre de gazole  ouf   c est du gazole     donc j y vis et je tombe sur une conseillere qui sait lire mon cv et le decrypter et qui connait les obligations de cadre     donc oui j ai la perle rare et moi  apres un probleme familial ma mere ne peut plus m heberger    donc je vais dormir ou    j attends vos reponses    ;1;['agent', 'hop', 'plan', 'comptoir', 'internet', 'hangout', 'agenc', 'interlocutric', 'reaffect', 'agenc', '20km', 'agenc', 'bus', 'prend', 'voitur', 'litr', 'gazol', 'ouf', 'gazol', 'decrypt', 'perl', 'rar', 'familial', 'mer', 'heberg', 'dorm', 'attend', 'repons'];agent hop plan comptoir internet hangout agenc interlocutric reaffect agenc 20km agenc bus prend voitur litr gazol ouf gazol decrypt perl rar familial mer heberg dorm attend repons;-1
impossible de faire valoir mes droits  je demande a beneficier du droit d option pour recalculer des mes allocations  auquel j ai droit  tous les stratagemes sont bons pour ne jamais recevoir ma demande  aucune reponse a mes mails  mes demandes en ligne invalides et meme quand je me deplace  on fait semblant de prendre mon document mais il part a la poubelle  tres decevant  alors que j ai cotise ;1;['valoir', 'option', 'recalcul', 'alloc', 'auquel', 'stratagem', 'repons', 'invalid', 'sembl', 'docu', 'poubel', 'decev'];valoir option recalcul alloc auquel stratagem repons invalid sembl docu poubel decev;-1
aucune experience  aucune explication meme pas d aide pour faire son profil et chercher un emploi  bref a quoi cela sert d avoir cotiser toutes mes annees de travail pour au final ce resultat decevant  de pole emploi  ;1;['profil', 'decev'];profil decev;-1
bonjour  j ai une rqth  de serieux soucis de sante  l aah m a ete refusee  tous les trois mois on me change de referent pole emploi  je ne suis jamais contactee  c est moi qui demande a etre recu  les deux derniers ne m ont jamais repondu  la toute derniere me dit qu elle ne peut rien pour moi car elle s occupe uniquement de chomeurs valides  que je suis un cas particulier et que je dois etre suivie par un referent en charge de ce style de personnes  elle m a dit qu elle allait en parler a sa direction mais rien ne bouge  moi  je veux travailler mais il me faut un poste adapte  sans aide  je n arrive a rien  j ai beau postuler a des offres  c est toujours une reponse negative sans meme un entretien  je desespere    ;1;['rqth', 'souc', 'sant', 'aah', 'contacte', 'derni', 'occup', 'styl', 'person', 'allait', 'boug', 'offre', 'repons', 'desesper'];rqth souc sant aah contacte derni occup styl person allait boug offre repons desesper;-1
je suis allee a l agence pole emploi de ma ville  j ai demande a obtenir un rendez vous avec mon nouveau conseiller pole emploi dans le cadre d un rendez vous d embauche planifie en hexagone  l accueil du pole emploi n a pas pu me proposer une date fixe de rendez vous  je suis allee sur mon espace en ligne pour prendre un rendez vous  je constate qu il n est pas possible de prendre un rendez vous avec un conseiller  mon rendez vous avec mon futur employeur est compromis ;1;['agenc', 'planif', 'hexagon', 'fix', 'futur', 'employeur', 'comprom'];agenc planif hexagon fix futur employeur comprom;-1
j ai effectue une demande de mobilite a partir de mon espace en ligne le 11 avril 2022  le service 3949 n a pas souhaiter me renseigner concernant ma demande de mobilite  je suis allee au pole emploi de la ville de capesterre belle eau pour demander le suivi de ma demande a mon conseiller pole emploi  l accueil du pole emploi m a dit qu ils allaient m envoyer un avis de rendez vous  le pole emploi et ses employes ne m ont jamais envoye un avis de rendez vous avec une date et une horaire de rendez vous  le message ne precise pas l heure a laquelle je devais etre au pole emploi ;1;['11', 'servic', '3949', 'capesterr', 'eau', 'allaient', 'horair'];11 servic 3949 capesterr eau allaient horair;-1
actuellement en formation dans le cadre d une reconversion  que j ai trouve moi meme et auto financee avant la fin de mon cdd et donc avant meme d etre inscrite a pole emploi   j ai demande a l avance par telephone au 3949 et en me deplacant en agence si le fait d etre inscrite en formation en avance n impacterait pas mon indemnisation  on m a repondu que non  qu il suffirait de le preciser pour que pole emploi m indemnise et me laisse tranquille pendant toute la duree de ma formation  j ai donc informe ma conseillere des le debut de cet etat de fait  depuis  je rencontre de nombreux problemes et n ai aucune reponse a mes e mails  je recois tres regulierement des courriers m indiquant que je suis inscrite a des ateliers ou convoquee a des entretiens se deroulant sur mes heures de formation   ;1;['format', 'reconvers', 'auto', 'finance', 'cdd', 'inscrit', '3949', 'agenc', 'inscrit', 'format', 'impact', 'indemnis', 'suff', 'indemnis', 'tranquill', 'dure', 'format', 'repons', 'e', 'regulier', 'courri', 'inscrit', 'convoque', 'deroul', 'format'];format reconvers auto finance cdd inscrit 3949 agenc inscrit format impact indemnis suff indemnis tranquill dure format repons e regulier courri inscrit convoque deroul format;0
une entreprise m a propose d effectuer une periode de mise en situation en milieu professionnel  pmsmp   j ai fait une demande de mobilite aupres du pole emploi de la ville de capesterre belle eau  les agents du pole emploi m avaient affirmes que les demandes de mobilites sont traitees en 72h  c est la deuxieme fois que le pole emploi ne traite pas ma demande dans les delais  je ne peux pas me rendre a mon rendez vous d embauche a cause du pole emploi ;1;['milieu', 'pmsmp', 'capesterr', 'eau', 'agent', 'affirm', 'traite', '72h'];milieu pmsmp capesterr eau agent affirm traite 72h;-1
j ai effectue une demande d aide a la mobilite pour aller a une convocation d entretien d embauche le 11 avril 2022  j ai correctement suivi les instructions du pole emploi concernant la procedure de cette demande  les employes du service 3949 m ont dit que l es demandes de mobilite etait traitees en 72h maximum  mon entretien d embauche a ete fixe pour la date du 21 avril 2022   les delais de traitement ne sont pas respectes par le pole emploi  cela fait 4 jours que ma demande est en attente de traitement  je me suis deplacee a l accueil du pole emploi de la ville de capesterre belle eau  les employes ont refuse de m apporter une reponse claire sur ma demande de mobilite ;1;['convoc', '11', 'instruct', 'procedur', 'servic', '3949', 'traite', '72h', 'maximum', 'fix', '21', 'respect', 'deplace', 'capesterr', 'eau', 'apport', 'repons'];convoc 11 instruct procedur servic 3949 traite 72h maximum fix 21 respect deplace capesterr eau apport repons;-1
apres presque 40 de travail  je valide mon inscription sur le portail de pole emploi   j   ai ete bien epaule par les differents interlocuteurs car ce n  est pas toujours facile de s y retrouver;1;['40', 'portail', 'epaul', 'interlocuteur'];40 portail epaul interlocuteur;-1
je suis demandeur d emploi de la ville de capesterre belle eau depuis le 14 fevrier 2018  j ai ete convoque par une entreprise pour un entretien d embauche 11 jours avant la date du rendez vous  j ai effectue une demande de mobilite a partir de mon espace de demandeur d emploi 11 jours avant ma date de rendez vous  les employes du pole emploi au numero de telephone 3639 m ont affirme que les demandes de mobilites sont traitees en 72h  ma demande de mobilite pour un entretien d embauche n a pas ete traitee  j ai ete penalise par le manque de professionnalisme du pole emploi de la ville de capesterre belle eau  un agent du pole emploi m a recu au pole emploi le jour de mon entretien d embauche  ces explications concernant la deterioration de ma demande de mobilite n etaient pas coherentes ;1;['capesterr', 'eau', '14', '2018', 'convoqu', '11', '11', '3639', 'affirm', 'traite', '72h', 'traite', 'penalis', 'professionnal', 'capesterr', 'eau', 'agent', 'deterior', 'coherent'];capesterr eau 14 2018 convoqu 11 11 3639 affirm traite 72h traite penalis professionnal capesterr eau agent deterior coherent;-1
lors de l ouverture d une enieme reclamation a pole emploi  le service reste bloque sur  reessayez ulterieurement   du coup  on reessaie ulterieurement et cela ne fonctionne toujours pas  et pour cause   la vrai raison de ce blocage  pole emploi n accepte plus les reclamations de gens en ayant  trop  effectue  15 problemes  15 reclamations  interdiction de signaler le 16eme ;1;['ouvertur', 'eniem', 'reclam', 'servic', 'ulterieur', 'ulterieur', 'blocag', 'reclam', 'reclam', 'interdict', '16em'];ouvertur eniem reclam servic ulterieur ulterieur blocag reclam reclam interdict 16em;-1
dans le cadre d une inscription et d une demande d allocations de chomage  impossible de transferer les pieces du domicile car scanner  domestique   qualifie ainsi par pole emploi  rejet de ces memes pieces pourtant scannees et verifiees par le personnel en agence  aucune transmission de coordonnees telephoniques ou electroniques du conseiller donc impossible d avoir un interlocuteur unique  accueil standardise et a la limite de la robotisation ;1;['alloc', 'chomag', 'transfer', 'domest', 'qualif', 'scanne', 'verifie', 'personnel', 'agenc', 'electron', 'interlocuteur', 'uniqu', 'standardis', 'robotis'];alloc chomag transfer domest qualif scanne verifie personnel agenc electron interlocuteur uniqu standardis robotis;-1
je suis penalisee par pole emploi   une societe souhaitait me rencontrer pour mettre en place un projet professionnel  les employes du pole emploi ne traitent pas mes demandes de pmsmp et de mobilite  ils ne repondent pas a mes courriels  appels et reclamation ;1;['penalise', 'traitent', 'pmsmp', 'repondent', 'courriel', 'reclam'];penalise traitent pmsmp repondent courriel reclam;-1
je suis demandeur d emploi en situation de handicap et j ai 52 ans  depuis plus de deux ans je cherche un emploi dans la grande distribution et dans le petit commerce  le principal frein pour obtenir un emploi stable est celui du trajet domicile travail car je ne peux effectuer plus de 45 min de trajet en transport en commun  donc je recherche un logement pour me rapprocher du centre de la ville et de ses  bassins d emploi  car je vis dans un quartier dit populaire eloigne de tous services et des differents employeurs recruteurs  de plus  depuis le covid je vis tres mal dans mon logement car tres precaire et n arrangeant pas du tout mon etat de sante  j ai  commence a faire des demarches pour rechercher une aide  de l ecoute  afin d obtenir un logement decent pour un mieux etre et pouvoir m inserer dans une vie active  helas cette experience a ete desastreuse  j ai contacte les services du centre communal de l assistance sociale  accueil rdv   le bailleur social pour changer de logement  email  courrier   la mdph qui ne recoit que les personnes en difficultes titulaires d une pension  accueil  ce qui n est pas mon cas  le pole emploi  rdv conseiller  qui pourrait aussi intervenir en signalant les cas comme le mien  sans oublier les differentes institutions et associations  sans aucunes reponses  je trouve cela tres dommageable pour les personnes en difficultes et qui ont envie de retrouver une vie digne comme moi  je  sais qu il y a beaucoup de miseres dans notre pays  mais cela ne doit pas etre une reponse a donner quand il y en a une   si mon experience peut aider les services publics a ameliorer le dialogue  l ecoute et pouvoir aider la population francaise a donner un coup de pouce quand cela est necessaire ;1;['handicap', '52', 'distribu', 'commerc', 'frein', 'stabl', 'trajet', '45', 'min', 'trajet', 'transport', 'log', 'rapproch', 'bassin', 'quarti', 'populair', 'eloign', 'servic', 'employeur', 'recruteur', 'covid', 'log', 'precair', 'arrang', 'sant', 'demarch', 'log', 'decent', 'inser', 'hel', 'desastr', 'contact', 'servic', 'communal', 'rdv', 'bailleur', 'log', 'courri', 'mdph', 'recoit', 'person', 'titulair', 'pension', 'rdv', 'interven', 'mien', 'oubli', 'institu', 'associ', 'repons', 'dommage', 'person', 'dign', 'miser', 'pay', 'repons', 'servic', 'dialogu', 'popul', 'francais', 'pouc'];handicap 52 distribu commerc frein stabl trajet 45 min trajet transport log rapproch bassin quarti populair eloign servic employeur recruteur covid log precair arrang sant demarch log decent inser hel desastr contact servic communal rdv bailleur log courri mdph recoit person titulair pension rdv interven mien oubli institu associ repons dommage person dign miser pay repons servic dialogu popul francais pouc;3
une entreprise m a propose d effectuer une pmsmp dans ces locaux  ma conseillere pole emploi a valide une pmsmp avec des horaires de travail identiques a ceux des employes  la convention precise pourtant que les horaires d une pmsmp ne doivent pas etre identique aux employes ;1;['pmsmp', 'pmsmp', 'horair', 'ident', 'convent', 'horair', 'pmsmp', 'ident'];pmsmp pmsmp horair ident convent horair pmsmp ident;2
les conseillers sont censes attendre votre fiche de paie pour vous faire votre paiement  dans le pole emploi de st gratien  non seulement ils ne regardent pas si vous avez travaille mais en plus ils n attendent pas la fiche de paie  ils vous font ensuite un paiement  6 mois plus tard  on vous demande de rembourser alors que c est de leurs fautes car ils sont incapables de faire leurs boulots correctement  les conseillees indemnisations ne savent meme pas qu alors d une contestation il faut leur envoyer par mail ou par courrier  comme ecrit dans a fiche de contestation   ils nous disent de la scanner mais si vous ne scannez pas vos documents dans les bonnes rubriques  les documents ne sont pas traites et il n y a pas de cases  trop percu  ma conseillere qui m explique pas aux gens qu elle suit qu ils est en accompagnement jeune    leur donnent des rendez vous justes pour parler vie personnelle   je lui expliquais que malgre mes diplomes  je ne pouvais plus travailler en patisserie a cause des horaires  elle insistait alors pour que je postule dans une patisserie sur st gratien en disant que je pouvais pas commencer avant 8h30    en tant que patissiere  alors que je cherche pas ce poste la  jai quand meme recu un appelle de cette patisserie me disant qu il avait recu mon cv  cv que je mets jamais envoye surtout que j avais trouve autre chose  j envoie un mail pour dire a ma conseillere pour lui dire que j ai trouve un poste de service civique  je lui donne les dates etc  elle me donne alors un rendez vous pendant mes heures de travail  personne ne vous explique ce qu est votre identifiant et encore moins a quoi il sert  c est une suite de 7 chiffres  et 1 lettre  le meme principe que le numero de secu et le numero allocataire pour la caf  on vous envoie balader quand vous dites que vous ne le connaissez pas et que par consequent a l accueil on ne peut pas vous aider  c est completement faux  on peut vous retrouver avec num de tel  secu  adresse mail  titre de sejour etc;1;['pai', 'pai', 'st', 'gratien', 'regardent', 'attendent', 'pai', 'pai', 'rembours', 'boulot', 'conseille', 'indemnis', 'savent', 'contest', 'courri', 'contest', 'disent', 'docu', 'docu', 'cas', 'suit', 'jeun', 'donnent', 'just', 'personnel', 'patisser', 'horair', 'insist', 'patisser', 'st', 'gratien', '8h30', 'patissier', 'patisser', 'servic', 'civiqu', 'person', 'identifi', 'princip', 'secu', 'allocatair', 'caf', 'balad', 'num', 'tel', 'secu', 'sejour'];pai pai st gratien regardent attendent pai pai rembours boulot conseille indemnis savent contest courri contest disent docu docu cas suit jeun donnent just personnel patisser horair insist patisser st gratien 8h30 patissier patisser servic civiqu person identifi princip secu allocatair caf balad num tel secu sejour;3
bonjour  a chaque fois que je recois une proposition d emploi de pole emploi marmande 47  j ai tout d abord un premier message m informant d une offre sans enseigne dans mes propositions d emploi  avec une modalite pour candidater   je suis oblige de dire que je suis interesse meme si j ai postule a la meme offre en direct ou via un cabinet ou autre site d emploi  sinon on considere que je refuse la candidature et on me fera ensuite des menaces que si je ne reponds pas aux annonces on mettra en pause mon rsa ou le retirera  des que je valide que je suis interesse  le lendemain je recois un courrier avec la meme offre en me donnant la le nom de l enseigne mais dans ma messagerie de mon conseiller pole emploi et avec une modalite de candidature differente de la premiere  et le meme jour aussi  je recois un troisieme courrier qui est a peu pres le meme document que le deuxieme mais avec une reference  acmu  acmt  differente et signe d un autre conseiller pole emploi et avec une troisieme demarche differente des deux autres pour candidater  ne trouvez vous pas cela totalement fou  brouillon et totalement incoherent pour le candidat qui est cense avoir une modalite unique pour repondre a une annonce  cela complique tout    diverses et variees procedures pour postuler en plus en pouvant ajouter quelques fois son profil pole emploi et d autres fois impossible de l ajouter  des interlocuteurs indiques  conseillers pole emploi  inconnus  et j avais aussi deja signale que c etait totalement fou aussi au 21e siecle de ne pas pouvoir envoyer une piece jointe pour la lettre de motivation ou l on est limite a 2000 caracteres  je fais des lettres de motivation de 2 pages  car parcours particulier  et les recruteurs lisent ma lettre a chaque fois puisque j ai des contacts telephoniques  visio ou entretien visio ou physique   c est perdre du temps et ne pas aider les demandeurs d emploi en les embrouillants dans de la paperasse et procedures  cordialement;1;['marmand', '47', 'abord', 'offre', 'enseign', 'modalit', 'offre', 'cabinet', 'mettr', 'paus', 'rsa', 'retir', 'lendemain', 'courri', 'offre', 'enseign', 'messager', 'modalit', 'troisiem', 'courri', 'docu', 'acmu', 'acmt', 'troisiem', 'demarch', 'fou', 'brouillon', 'incoherent', 'modalit', 'uniqu', 'divers', 'varie', 'procedur', 'ajout', 'profil', 'ajout', 'interlocuteur', 'inconnus', 'fou', '21e', 'siecl', 'joint', '2000', 'caracter', 'recruteur', 'lisent', 'contact', 'visio', 'visio', 'embrouill', 'paper', 'procedur'];marmand 47 abord offre enseign modalit offre cabinet mettr paus rsa retir lendemain courri offre enseign messager modalit troisiem courri docu acmu acmt troisiem demarch fou brouillon incoherent modalit uniqu divers varie procedur ajout profil ajout interlocuteur inconnus fou 21e siecl joint 2000 caracter recruteur lisent contact visio visio embrouill paper procedur;-1
bonjour  je suis tres insatisfait de la maniere dont nous sommes traites par le service du pole emploi  je me suis inscrit a la formation en ligne pour   construire mon projet de formation   et ce matin quand je suis arrive sur place la personne a l accueil m annonce que la formation a ete annule car il n y avait pas assez de monde  mais pourquoi ne m a t on pas prevenu   pourquoi il y a cette ignorance de pole emploi  il y avait les autres personnes aussi sur place comme moi  qui sont venu pour la formation et qu ils etais pas prevenu de l annulation  j ai mis 2 heures pour faire le trajet d aller retour pour au final ils me disent que c est annule  je suis en colere aujourd hui car ce n est pas la premiere fois que cela arrive  debut mai 2022 aussi j avais le rendez vous a pole emploi  je me suis rendu sur place et pareil  c etait annule sans me prevenir  concernant tout ce que je dis evidemment  il y a la tracabilite sur mon espace personnel  cela fait deja 2 mois que j enchaine des rendez vous a pole emploi et il ne se passe rien d autre que d inscription  il y a personne qui m a demande qu est que je veux faire comme travail ou formation  rien  j ai eu 5 rendez vous que pour les inscriptions   ca suffit   depuis la semaine derniere  j essaye d avoir un rendez vous aupres de la conseillere   elle ne repond pas   j ai eu le retour automatique de mon mail comme qoi elle s engage a me repondre dans les 48h mais depuis fin mai ca fait deja 1 semaine que j ai pas de reponse et je ne sais pas si je l aurai ;1;['insatisf', 'servic', 'inscrit', 'format', 'construir', 'format', 'person', 'format', 'prevenu', 'ignor', 'person', 'venu', 'format', 'prevenu', 'trajet', 'disent', 'coler', 'pareil', 'preven', 'tracabilit', 'personnel', 'enchain', 'person', 'format', 'suff', 'qoi', 'engag', '48h', 'repons'];insatisf servic inscrit format construir format person format prevenu ignor person venu format prevenu trajet disent coler pareil preven tracabilit personnel enchain person format suff qoi engag 48h repons;0
lorsque l on demande une formation  les agents de pole emploi nous mettent une barriere sur les formations que l on desire faire ;1;['format', 'agent', 'mettent', 'barrier', 'format', 'desir'];format agent mettent barrier format desir;0
inscrite depuis bientot un an je n ai jamais rencontre mon conseiller    je l ai sollicite a deux reprises par mail pour m aider au financement de ma formation qui a ete refusee en mars sans motif valable  il devait me rappeler pour me proposer une formation financable et coherente avec mon parcours mais depuis je n ai aucune nouvelle    lorsque je souhaite prendre un rendez vous il n y a jamais de creneau disponible    j ai besoin de rencontrer mon conseiller physiquement pour faire le point avec lui ;1;['inscrit', 'bientot', 'financ', 'format', 'valabl', 'format', 'financ', 'coherent', 'creneau'];inscrit bientot financ format valabl format financ coherent creneau;0
parce que le sport national en france est de raler    je trouve qu il est tout aussi important de feliciter et remercier quand cela est necessaire  j ai des difficultes professionnelles depuis quelques annees et suis inscrite a l agence pole emploi vitruve a paris  a chaque fois que j ai pu m y rendre  j ai rencontre des gens patients  engages  serviables et surtout competents  une solution m a ete proposee a chaque fois   donc un grand merci a cette agence particulierement efficace  ;1;['sport', 'national', 'ral', 'felicit', 'remerci', 'inscrit', 'agenc', 'vitruv', 'paris', 'patient', 'engag', 'serviabl', 'competent', 'propose', 'agenc'];sport national ral felicit remerci inscrit agenc vitruv paris patient engag serviabl competent propose agenc;1
je suis insatisfaite du traitement de mon dossier de demandeur d emploi par l agence pole emploi de capesterre belle eau de l ile de guadeloupe  les conseillers pole emploi qui m ont ete attribue ne facilite pas mon retour a l emploi  leur attitude professionnelle va contre mes interets de demandeur d emploi  les formalites n ont pas ete correctement rempli ;1;['insatisfait', 'dossi', 'agenc', 'capesterr', 'eau', 'ile', 'guadeloup', 'attribu', 'attitud', 'interet', 'formalit'];insatisfait dossi agenc capesterr eau ile guadeloup attribu attitud interet formalit;3
n ayant toujours pas de nouvelles de ma conseillere pe malgre mes nombreuses relances  je me suis deplacee en agence  la un conseiller m a repondu que c etait normal car elle traitait plus de 400 dossiers  ce a quoi je lui ai repondu     comment je fais sans allocation plus de 6 mois      et la  contre toute attente  il me dit     vous etes mariee   pour le meilleur et pour le pire  votre mari a un bon salaire vous n avez pas a vous plaindre    je lui ai souhaite une bonne journee et je suis rentree chez moi  je n ai toujours pas de nouvelles de ma conseillere  au telephone on me conseille de me deplacer ;1;['nombreux', 'deplace', 'agenc', '400', 'dossi', 'alloc', 'marie', 'meilleur', 'salair', 'plaindr', 'rentre'];nombreux deplace agenc 400 dossi alloc marie meilleur salair plaindr rentre;1
j ai demande a participer a un evenement pole emploi  les conseillers que j ai eu au numero de service 3949 non pas voulu me renseigner  ils ont dit que cette evenement d acces a l emploi faisait l objet d une pre selection pour acceder a la recherche d emploi  le pole emploi n a pas souhaite me communiquer les moyens d acceder a l evenement  le rally pour l emploi  du 28 juin 2022;1;['even', 'servic', '3949', 'even', 'objet', 'select', 'communiqu', 'even', 'rally', 'juin'];even servic 3949 even objet select communiqu even rally juin;-1
bonjour  je raconte mon histoire pour aider peut etre des gens qui sont dans mon cas   avec pole emploi de ma localite cela ne se passe pas toujours tres bien  depuis quelques temps a chaque demarche faite j ai affaire avec un groupe de conseiller eres  uni es  malveillants  face aux chomeurs qui ne sont pas des experts dans le domaine  ils ont un comportement inapproprie lors de l accueil et de leur mission en bloquant tout ce qui pourrait facilite a la comprehension dans la demarche afin d aboutir a un resultat satisfaisant pour les deux parties   si le demandeur d emploi est bien renseigne il ne reviendra pas et les employes auront moins de travail   si les donnees sont correctement entrees  dans le logiciel il y aurait  moins de trop percus a traiter ;1;['racont', 'histoir', 'localit', 'demarch', 'affair', 'group', 'ere', 'uni', 'malveil', 'fac', 'expert', 'inappropr', 'bloqu', 'demarch', 'about', 'satisfais', 'part', 'reviendr', 'entre', 'percus'];racont histoir localit demarch affair group ere uni malveil fac expert inappropr bloqu demarch about satisfais part reviendr entre percus;3
j ai ete licenciee au 1er juillet 2022  je me suis rendue a pole emploi  menton  afin de m inscrire et tenter de trouver un nouveau travail  je pensais rester plusieurs heures a attendre mon tour  voire prendre rdv pour un autre jour   des mon arrivee  une personne de pole emploi m a propose de m aider    un monsieur tres aimable m a indique que je pouvais faire la demarche en ligne egalement si je le souhaitais  dans le cas contraire  il m a propose d attendre qu un ordinateur se libere et m a propose de m aider a realiser l inscription   j ai commence a inserer mes donnees  il passait de temps en temps des que j en avais necessite  pour repondre a une question puis partait aider d autres personnes  en 20 min environ j avais fini de saisir les donnees  il m a propose de scanner mes documents sur place et les a insere dans le logiciel   comment les gens peuvent se plaindre sans arret en france surtout  alors que de tres nombreux services administratifs sont tres efficients  le systeme est tres efficace  merci aux personnes de pole emploi pour leur patience qui doit etre souvent mise a l epreuve je pense ;1;['licencie', 'juillet', 'menton', 'tent', 'tour', 'rdv', 'arrive', 'person', 'aimabl', 'demarch', 'liber', 'inser', 'necessit', 'part', 'person', 'min', 'docu', 'inser', 'plaindr', 'servic', 'administr', 'efficient', 'system', 'person', 'patienc', 'epreuv'];licencie juillet menton tent tour rdv arrive person aimabl demarch liber inser necessit part person min docu inser plaindr servic administr efficient system person patienc epreuv;3
non  pplication des regles de l unedic en matiere d indemnisation  impossible d obtenir une reponse meme avec une lettre recommandee  aucune reponse aux reclamations faites ;1;['pplicat', 'unedic', 'matier', 'indemnis', 'repons', 'recommande', 'repons', 'reclam'];pplicat unedic matier indemnis repons recommande repons reclam;-1
faire son inscription ou reinscription comme demandeur d emploi sur le site   est un sacre marathon et une grande gymnastique cerebrale    en gros   il y a beaucoup de rubriques  des sous rubriques avec de longues listes a lire avant de trouver la ligne qui correspond au choix voulu  je dois quand meme preciser  que je ne suis pas dans une situation particuliere ou autre  je precise   salarie ayant perdu son travail  rupture conventionnelle    rien de special avec deja un dossier pole emploi a reactualiser  j ai perdu beaucoup de temps a naviguer et a me perdre dans les differentes rubriques  avec tout le stress  l enervement que ca engendre et surtout la peur de se tromper     pour a la fin  etre oblige de passer par l assistance telephonique et finaliser mon inscription  avec un conseiller qui a ete au top et que je tiens a remercier;1;['reinscript', 'sacr', 'marathon', 'gymnast', 'cerebral', 'conventionnel', 'special', 'dossi', 'reactualis', 'navigu', 'stress', 'enerv', 'engendr', 'peur', 'tromp', 'top', 'remerci'];reinscript sacr marathon gymnast cerebral conventionnel special dossi reactualis navigu stress enerv engendr peur tromp top remerci;-1
inscription agence pole emploi de cenon  accueil et conseils parfaitement adaptes ainsi que le suivi de dossier  beaucoup de disponibilite et de bienveillance ;1;['agenc', 'cenon', 'dossi', 'disponibilit'];agenc cenon dossi disponibilit;-1
