Description;telephone;Description_2;Description_3;clusters
affreux  une conseillere vient litteralement de me raccrocher au nez quand je lui ai fait part du fait que je trouvais toutes les demarches a effectuer compliquees    ;1;['affreux', 'vient', 'litteral', 'raccroch', 'nez', 'demarch', 'complique'];affreux vient litteral raccroch nez demarch complique;2
service miserable   injoignable et incompetent  quand tu as affaire a eux  arme toi de patience  lache rien et offre toi un cours de kick pour exulter la frustration generee par l absurdite de ce service  un calvaire ;1;['servic', 'miser', 'injoign', 'incompetent', 'affair', 'arme', 'patienc', 'lach', 'offre', 'kick', 'exult', 'frustrat', 'genere', 'absurdit', 'servic', 'calvair'];servic miser injoign incompetent affair arme patienc lach offre kick exult frustrat genere absurdit servic calvair;2
a fuir     conseillere incompetence severe  apres 3 appels je retombe sur la meme    degoutee  elle m as mise plus bas que terre je n avais plus mes mots    ou sont les bons conseillers qui  savent vous repondre a vos questions gentiment    et en plus elle critique mon employeur  bref a fuir jolimont;1;['fuir', 'incompetent', 'sever', 'appel', 'retomb', 'degoute', 'terr', 'savent', 'gent', 'critiqu', 'employeur', 'fuir', 'jolimont'];fuir incompetent sever appel retomb degoute terr savent gent critiqu employeur fuir jolimont;1
radie 2 mois parce que partie en vacances sans prevenir   g les courriers prouvant que j avais prevenu    preuves insuffisantes de recherche d  emploi et non reponse a un appel telephonique    c de pire en pire serieux;1;['vacanc', 'preven', 'g', 'courri', 'prouv', 'prevenu', 'preuv', 'insuffis', 'repons', 'appel'];vacanc preven g courri prouv prevenu preuv insuffis repons appel;2
premiere fois que j experimente le fait de me faire cracher dessus a travers un telephone  on arrete pas le progres ;1;['experiment', 'crach', 'dessus', 'traver', 'progr'];experiment crach dessus traver progr;2
les personnes travaillant dans cet etablissement n ont absolument aucun respect pour les personnes  je me suis faite envoyee baladee au telephone  puis lors de mon premier rdv ont a voulu me des inscrire   pourquoi  je ne saurai jamais  premier rdv telephonique pendant la periode du confinement  ma conseillere me dit que mon metiers ne sert a rien  personnel condescendant  qui n aime pas les gens et encore moins les aider  a mon avis c est eux qui devrait changer de metier ;1;['person', 'etabl', 'respect', 'person', 'envoye', 'balade', 'rdv', 'saur', 'rdv', 'confin', 'personnel', 'condescend'];person etabl respect person envoye balade rdv saur rdv confin personnel condescend;1
belle note pour une agence super  porteur de projet professionnel  ma conseillere est tres impliquee dans la reussite de celui ci   beaucoup de stages prevu et beaucoup de bienveillance de sa part   je ne suis jamais aller sur place car je suis nouveau sur tournon mais l accompagnement au telephone est constant qui redonne des forces et le sourire face aux soucis administratifs ou plutot casse tete qu il apporte  merci a elle;1;['agenc', 'porteur', 'implique', 'reussit', 'prevu', 'tournon', 'const', 'redon', 'sourir', 'fac', 'souc', 'administr', 'cass', 'tet', 'apport'];agenc porteur implique reussit prevu tournon const redon sourir fac souc administr cass tet apport;-1
inadmissible   je ne suis plus inscrite a pole emploi et n ai donc plus acces a mon profil candidat   il y a une semaine j ai fait une demande de documents en leur indiquant mon probleme  les documents ont ete envoye sur mon ancien profil  donc inaccessible    quand on est plus candidat on ne peut pas envoyer de mail  apres plusieurs tentatives par le meme formulaire  par une autre adresse email   ni par telephone car sans identifiant et mot de passe  on n a aucune chance d avoir quelqu un au telephone    je vais etre oblige de me deplacer a l agence alors que les horaires d ouverture sont les memes que celles de mon travail   donc pour resumer   je vais devoir prendre sur mon temps de travail pour recuperer une attestation que j aurais pu avoir par email ou par telephone si cela avait ete possible    c est une honte en bientot 2023 de ne pas avoir un contact facile avec eux sans etre candidat ;1;['inadmissibl', 'inscrit', 'profil', 'docu', 'docu', 'profil', 'inaccessibl', 'tentat', 'formulair', 'identifi', 'agenc', 'horair', 'ouvertur', 'cel', 'resum', 'recuper', 'attest', 'bientot', 'contact'];inadmissibl inscrit profil docu docu profil inaccessibl tentat formulair identifi agenc horair ouvertur cel resum recuper attest bientot contact;-1
personnel incompetant   4 jours pour avoir une reponse  apres plusieurs appels telephoniques de ma part    tout ca pour ce faire engueuler car on insiste pour avoir une reponse qui demande 2 min de communication  la cerise sur le gateau  les documents qui m avait demande n etait pas tous ce qu il fallait   du coup je dois renvoye tous les documents deja envoyes   les nouveaux documents reclames  cela va me faire perdre au moins 10 jours de traitement de ma demande a cause d un personnel incapable de faire sont travail  accueil telephonique deplorable   ils nous prennent de haut et on sent a l intonation de la voix que clairement  ils s en foutent royalement  mon dieu  administration francaise est un calvaire  mais la palme reviens a pole emploi   bien cordialement;1;['personnel', 'incompet', 'repons', 'appel', 'engueul', 'insist', 'repons', 'min', 'ceris', 'gateau', 'docu', 'renvoy', 'docu', 'docu', 'reclam', 'personnel', 'deplor', 'prennent', 'haut', 'inton', 'voix', 'foutent', 'royal', 'dieu', 'administr', 'francais', 'calvair', 'palm', 'revien'];personnel incompet repons appel engueul insist repons min ceris gateau docu renvoy docu docu reclam personnel deplor prennent haut inton voix foutent royal dieu administr francais calvair palm revien;2
inadmissible   je ne suis plus inscrite a pole emploi et n ai donc plus acces a mon profil candidat   il y a une semaine j ai fait une demande de documents en leur indiquant mon probleme  les documents ont ete envoye sur mon ancien profil  donc inaccessible    quand on est plus candidat on ne peut pas envoyer de mail  apres plusieurs tentatives par le meme formulaire  par une autre adresse email   ni par telephone car sans identifiant et mot de passe  on n a aucune chance d avoir quelqu un au telephone    je vais etre oblige de me deplacer a l agence alors que les horaires d ouverture sont les memes que celles de mon travail   donc pour resumer   je vais devoir prendre sur mon temps de travail pour recuperer une attestation que j aurais pu avoir par email ou par telephone si cela avait ete possible    c est une honte en bientot 2023 de ne pas avoir un contact facile avec eux sans etre candidat ;1;['inadmissibl', 'inscrit', 'profil', 'docu', 'docu', 'profil', 'inaccessibl', 'tentat', 'formulair', 'identifi', 'agenc', 'horair', 'ouvertur', 'cel', 'resum', 'recuper', 'attest', 'bientot', 'contact'];inadmissibl inscrit profil docu docu profil inaccessibl tentat formulair identifi agenc horair ouvertur cel resum recuper attest bientot contact;-1
personnel incompetant   4 jours pour avoir une reponse  apres plusieurs appels telephoniques de ma part    tout ca pour ce faire engueuler car on insiste pour avoir une reponse qui demande 2 min de communication  la cerise sur le gateau  les documents qui m avait demande n etait pas tous ce qu il fallait   du coup je dois renvoye tous les documents deja envoyes   les nouveaux documents reclames  cela va me faire perdre au moins 10 jours de traitement de ma demande a cause d un personnel incapable de faire sont travail  accueil telephonique deplorable   ils nous prennent de haut et on sent a l intonation de la voix que clairement  ils s en foutent royalement  mon dieu  administration francaise est un calvaire  mais la palme reviens a pole emploi   bien cordialement;1;['personnel', 'incompet', 'repons', 'appel', 'engueul', 'insist', 'repons', 'min', 'ceris', 'gateau', 'docu', 'renvoy', 'docu', 'docu', 'reclam', 'personnel', 'deplor', 'prennent', 'haut', 'inton', 'voix', 'foutent', 'royal', 'dieu', 'administr', 'francais', 'calvair', 'palm', 'revien'];personnel incompet repons appel engueul insist repons min ceris gateau docu renvoy docu docu reclam personnel deplor prennent haut inton voix foutent royal dieu administr francais calvair palm revien;2
boon;1;['boon'];boon;2
c est clairement la nana qui repond qui devrait consulter les offres d emploi  incompetente  mal polie  elle ne sait pas  renseigner  elle est blasee  raccrocher au nez au lieu d avoir la franchise de dire qu elle est gourde ;1;['nan', 'offre', 'incompetent', 'blase', 'raccroch', 'nez', 'franchis', 'gourd'];nan offre incompetent blase raccroch nez franchis gourd;2
ca ne merite meme pas une etoile  et pourtant d habitude j ai les etoiles faciles   trois mois que les documents sont refuses  alors on recommence    puis on nous change de conseiller    puis on refuse encore les documents    puis on nous repond des phrases bateau sans nous donner de solution    puis on nous dit  ok vous nous fournissez ca et ca et apres c est bon     mais en fait il manque encore un document    trois mois  je ne compte plus le nombre de conseillers qui ont dit  bah raccrochez et rappelez le 3949  un autre conseiller saura peut etre vous repondre      puis au bout du 5eme  ah le service est ferme  rappelez demain      que va t on manger ce mois ci   comment payer le loyer   c est fatiguant  revoltant  pourquoi des gens si peu competents sont embauches alors que des personnes qualifiees se retrouvent au chomage   n oubliez pas chers conseillers que nous ne sommes pas des numeros de dossiers mais bel et bien des etre humains ayant des besoins  manger  dormir au chaud     ;1;['merit', 'habitud', 'facil', 'docu', 'recomment', 'docu', 'phras', 'bateau', 'ok', 'docu', 'compt', 'bah', 'raccroch', '3949', 'saur', '5em', 'ah', 'servic', 'ferm', 'demain', 'mang', 'pai', 'fatigu', 'revolt', 'competent', 'person', 'qualifie', 'retrouvent', 'chomag', 'cher', 'numeros', 'dossi', 'besoin', 'mang', 'dorm', 'chaud'];merit habitud facil docu recomment docu phras bateau ok docu compt bah raccroch 3949 saur 5em ah servic ferm demain mang pai fatigu revolt competent person qualifie retrouvent chomag cher numeros dossi besoin mang dorm chaud;1
pole emploi ;1;[];;2
je suis toujours tombee sur les interlocuteurs competents et agreable  jeudi  suite a un probleme sur mon dossier et par consequent aucune indemnisations  je tombe sur une personne tres condescendante qui m agresse des le debut de la conversation  je garde mon calme un tres long moment car ce n est pas dans mes habitudes de m enerver  pui  lasse de me faire agresser  je hausse le ton  la personne au bout du fil ose me dire que je suis desagreable et qu elle va couper la conversation  je lui demande alors son nom et la  elle me raccroche au nez  depuis  plus de nouvelle et a chaque fois que j appelle l agence  je tombe sur la meme personne qui refuse de me passer ma conseillere  ce genre d attitude est scandaleuse  les demandeurs d emploi ne sont pas des mendiants  nous meritions un minimum de respect et il y aurai peut etre moins d agression physique dans les agences si les employes de pole emploi avaient du respect pour les gens ;1;['tombe', 'interlocuteur', 'competent', 'jeud', 'dossi', 'indemnis', 'person', 'condescend', 'agress', 'gard', 'calm', 'habitud', 'enerv', 'pui', 'agress', 'hauss', 'person', 'fil', 'ose', 'coup', 'raccroch', 'nez', 'appel', 'agenc', 'person', 'attitud', 'scandal', 'mendi', 'merit', 'respect', 'agress', 'agenc', 'respect'];tombe interlocuteur competent jeud dossi indemnis person condescend agress gard calm habitud enerv pui agress hauss person fil ose coup raccroch nez appel agenc person attitud scandal mendi merit respect agress agenc respect;1
quel honte cette agence j ai jamais vue ca  j avais un rendez telephonique avec ma conseillere le 17 fevrier a 11h15 mais le probleme c est que j attend toujours son appelle  quelle surprise de voir ce matin un courrier de sanction pour rendez vous manque car elle m a toujours pas appelle cette quoi cette agence ;1;['agenc', '17', '11h15', 'attend', 'appel', 'courri', 'sanction', 'appel', 'agenc'];agenc 17 11h15 attend appel courri sanction appel agenc;0
mais numero de 3949 ca n est pas marche;1;['3949'];3949;-1
service injoignable comme toujours;1;['servic', 'injoign'];servic injoign;2
inutile   aucune comprehension et menace de radie pour 1 appel manque    ;1;['appel'];appel;-1
plutot pole non emploi  j ai appele pour des renseignements sur les stages et les alternances  mais les seuls reponsent que j obtiens    je ne sais pas    je n ai pas acces a ca   merci pour le coup de main ;1;['appel', 'altern', 'seul', 'reponsent', 'obtien', 'main'];appel altern seul reponsent obtien main;-1
je ne reponds pas  tu ne reponds pas  il elle ne repond pas  nous ne repondons pas  vous ne repondez pas  ils elles ne repondent pas merci pole emploi    ;1;['repondon', 'repondent'];repondon repondent;-1
lamentable  repondent systematiquement a cote de la plaque pour toutes les demandes ecrites   decrochent le telephone et mettent automatiquement en attente indefiniment sans meme dire un mot jusqu a ce qu on tombe sur un repondeur   ne traitent pas les dossiers  donc que font ils   a quoi sont ils payes   et quand est ce que pole emploi va reagir et embaucher des gens competents pour une fonction aussi importante  ;1;['repondent', 'plaqu', 'decrochent', 'mettent', 'indefin', 'repondeur', 'traitent', 'dossi', 'pay', 'reag', 'competent'];repondent plaqu decrochent mettent indefin repondeur traitent dossi pay reag competent;1
j ai eu une personne tres humaine et professionnelle au telephone  un grand merci  ;1;['person'];person;-1
un service totalement incompetent une personne d un centre de paris reponds au telephone me laisse en attente pendant 20 minutes sans meme savoir qu elle a repondu au telephone je l entends parler avec son collegue guillaume     c est completement inadmissible a plusieurs reprises j ai dit allo j ai carrement crie je ne comprends pas ce genre de comportement j ai pris une video a l appui qui prouve le temps d attente et le nombre de fois ou je repete   allo   et on entend egalement les voix des deux personnes derriere le telephone  et au final je n ai pu avoir personne   inadmissible;1;['servic', 'incompetent', 'person', 'paris', 'entend', 'collegu', 'guillaum', 'inadmissibl', 'allo', 'carr', 'cri', 'video', 'appui', 'prouv', 'repet', 'allo', 'entend', 'voix', 'person', 'derrier', 'person', 'inadmissibl'];servic incompetent person paris entend collegu guillaum inadmissibl allo carr cri video appui prouv repet allo entend voix person derrier person inadmissibl;1
mon conseiller indemnisation n a jamais repondu a mes mails  la personne au telephone est desagreable  je ne comprends pas qu une personne puisse travailler a pole emploi alors qu elle est antipathique et n est pas comprehensive  elle n est clairement pas la pour aider;1;['indemnis', 'person', 'person', 'antipath', 'comprehens'];indemnis person person antipath comprehens;-1
je fais une demande de formation  je suis dans l obligation de relancer le conseiller  demande faite il y a plus d un mois   ils se trompent sur le calcul des are 3 fois  je suis obligee de passer des heures au telephone a expliquer ma situation  tout est regle mais 6 mois apres rebelote je me retrouve avec un trop percu enorme et il faut tout recommencer  j envoie un mail pour signaler l anomalie on m explique que c est normal  je ne savais pas qu etre inscrit chez pole emploi  relevait du parcours du combattant  c est deja assez difficile de retrouver un emploi et en plus il faut s occuper des erreurs administratives dont ils sont a l origine  bon courage aux demandeurs d emploi  ;1;['format', 'trompent', 'oblige', 'rebelot', 'recommenc', 'anomal', 'sav', 'inscrit', 'combatt', 'occup', 'administr', 'origin', 'courag'];format trompent oblige rebelot recommenc anomal sav inscrit combatt occup administr origin courag;1
l incompetence incarne   ici se sont les conseillers qui oublient les rendez vous qu ils vous fixent  impossible d avoir quelqu un au telephone  donc oblige de se deplacer  la file d attente est interminable avant de pouvoir parler a une personne de l accueil prevoyez toute la matinee   de plus dans un contexte d epidemie  l agence est pleine a craquer les gestes barrieres sont a peine respectes ;1;['incompetent', 'incarn', 'oublient', 'fixent', 'fil', 'intermin', 'person', 'prevoi', 'matine', 'context', 'epidem', 'agenc', 'plein', 'craqu', 'gest', 'barrier', 'respect'];incompetent incarn oublient fixent fil intermin person prevoi matine context epidem agenc plein craqu gest barrier respect;-1
faire le 3949 pour savoir ou en est mon dossier dont je suis sans nouvelle depuis quatre mois et de s entendre dire  je n en sais rien   je ne suis pas pole emploi mais une plate forme d appels qui travaille pour pole emploi donc aller voir votre agence   je dis a cette personne que les agences proches de chez moi ne gere pas les csp  et elle de me repondre   ce n est pas mon probleme    et moi j ai un travail      et elle raccroche   vous avez dit service aux demandeurs d emplois    j ai beau chercher je ne le trouve pas    ;1;['3949', 'dossi', 'quatr', 'entendr', 'plat', 'appel', 'agenc', 'person', 'agenc', 'csp', 'raccroch', 'servic'];3949 dossi quatr entendr plat appel agenc person agenc csp raccroch servic;1
je note par rapport a la dame   qui m a appele suite a mon inscription a l evenement agent de pressing  j ai annule mon inscription  elle ma envoye 2 mail  j ai pas confirme   ce matin ma rappeler pour me rabaisser ou quoi   pourquoi vous n etes pas venue    ce n est pas une maniere de parle au gens et surtout de monter votre voix   je suis nouvelle ici en france mais je suis une femme diplomee  experimente   je laisse jamais quelqu un me rabaisser  je suis inscrite a pole emploi pour un bon suivi  je sais quoi faire avant de venir ici en france   je suis en reconversion en informatique   j ai un bac   5   et vous   vous etes la pour qui  si vous etiez ma conseillere je demande un autre conseiller  je perds mes annees d etudes pour agent de pressing   c est drole   et du jamais vue;1;['appel', 'even', 'agent', 'pressing', 'confirm', 'rabaiss', 'venu', 'voix', 'femm', 'diplome', 'experiment', 'rabaiss', 'inscrit', 'reconvers', 'bac', 'eti', 'perd', 'etud', 'agent', 'pressing', 'drol'];appel even agent pressing confirm rabaiss venu voix femm diplome experiment rabaiss inscrit reconvers bac eti perd etud agent pressing drol;-1
mon experience avec cette agence a ete et est toujours tres complique en effet avant le confinement je suis etudiante et j ai demande pour ma formation la validation d un devis mon conseiller a ete incapable de le voir sur mon espace en ligne tantot il ne comprenait pas tantot il me disait qu il fallait que nous discutions quand je fixer un rendez vous avec lui alors que j avais fait plusieurs mails c est comme si il ne les regardait pas quand j appelle le numero a disposition c est la meme chose ils ne comprennent absolument rien je ne comprends absolument pas pourquoi cela j ai donc demande le changement de mon conseiller et maintenant depuis le changement cela fait presque trois mois je n ai aucune reponse alors que le mail a ete envoye je suis maintenant en formation et mon devis n a toujours pas ete valide je ne peux meme pas faire ma demande rfp je trouve ca inadmissible de la part de pole emploi de laisser les gens dans des situations pareilles je ne demande qu a pouvoir communiquer avec mon conseiller pour exprimer le fait que je suis en formation et que j ai besoin de cette validation pour pouvoir faire ma demande d aide rfp et malheureusement je n ai toujours aucune reponse je ne sais plus quoi faire je suis desespere cette agence me desespere les gens qui travaillent sont desesperant;1;['agenc', 'confin', 'etudi', 'format', 'tantot', 'compren', 'tantot', 'discut', 'fix', 'regard', 'appel', 'comprennent', 'repons', 'format', 'rfp', 'inadmissibl', 'pareil', 'communiqu', 'exprim', 'format', 'rfp', 'repons', 'desesper', 'agenc', 'desesper', 'travaillent', 'desesper'];agenc confin etudi format tantot compren tantot discut fix regard appel comprennent repons format rfp inadmissibl pareil communiqu exprim format rfp repons desesper agenc desesper travaillent desesper;1
pire que tout  rien ne fonctionne  le personnel est desagreable au possible et nous crie dessus quand on leur fait remarquer que leurs outils ne fonctionnent pas  ne repondent a aucun mail  et evidement n ont pas de numero de telephone;1;['personnel', 'cri', 'dessus', 'remarqu', 'fonctionnent', 'repondent', 'evid'];personnel cri dessus remarqu fonctionnent repondent evid;2
ils ne repondent jamais clairement a vos questions  sont condescendants pour ne pas dire impolis  au telephone  c est pire  ils vous parlent comme des m       ils se donnent trop d importance alors que tout le monde sait qu ils ne servent a rien  c est pourtant simple  s ils ne veulent pas travailler  qu ils laissent leurs places a d autres ;1;['repondent', 'condescend', 'impol', 'parlent', 'donnent', 'veulent', 'laissent', 'plac'];repondent condescend impol parlent donnent veulent laissent plac;2
mon conseiller me reponds dans 13 jours  il peut se permettre de crier sur moi  pour avoir mon chomage  j ai du appeler 3949 et la dame a ete tres comprehensive  c est grace a elle que j ai eu mon paiement  chaque fois il faut se battre pour avoir tes indemnites  horreur ;1;['13', 'permettr', 'cri', 'chomag', 'appel', '3949', 'comprehens', 'pai', 'battr', 'indemnit', 'horreur'];13 permettr cri chomag appel 3949 comprehens pai battr indemnit horreur;1
service incompetent  3 appels pour que les personnes en lignes finissent pas raccrocher sans me donner les informations attendus  les documents unedic ont ete refuses pour une raison inconnue  impossible de mener un appel a son terme c est une honte ;1;['servic', 'incompetent', 'appel', 'person', 'raccroch', 'attendus', 'docu', 'unedic', 'inconnu', 'appel'];servic incompetent appel person raccroch attendus docu unedic inconnu appel;0
rat le bol   aucune reponse au mail pour un projet professionnel depuis 1 semaine et quand t appel que tu te demande a etre rappele quedal  ;1;['rat', 'bol', 'repons', 'appel', 'quedal'];rat bol repons appel quedal;2
ce deplacer pour prendre un rdv telephonique   et ne pas etre appele l heur et le jour prevus c est quand meme fort   a quoi ca sert de prendre rdv;1;['rdv', 'appel', 'prevus', 'rdv'];rdv appel prevus rdv;-1
personnel tres agreable aimable et serviable autant en agence que par telephone surtout le service indemnisation rien a dire    ;1;['personnel', 'aimabl', 'serviabl', 'agenc', 'servic', 'indemnis'];personnel aimabl serviabl agenc servic indemnis;1
  11h30    temps d attente estime a 15min  je me dis que je vais attendre     nous vous rappelons dans les 2h  impossible d attendre 15min  obligation d etre rappele 2h apres    2h plus tard   aucun appel ferme l apres midi  c etait pour une offre d emploi  un grand bravo a vous pour votre systeme automatique d appel fait avec les pieds  des genies;1;['11h30', 'estim', '15min', 'rappelon', '2h', '15min', '2h', '2h', 'appel', 'ferm', 'offre', 'system', 'appel', 'pied'];11h30 estim 15min rappelon 2h 15min 2h 2h appel ferm offre system appel pied;-1
personnel tres agreable aimable et serviable autant en agence que par telephone surtout le service indemnisation rien a dire    ;1;['personnel', 'aimabl', 'serviabl', 'agenc', 'servic', 'indemnis'];personnel aimabl serviabl agenc servic indemnis;1
  11h30    temps d attente estime a 15min  je me dis que je vais attendre     nous vous rappelons dans les 2h  impossible d attendre 15min  obligation d etre rappele 2h apres    2h plus tard   aucun appel ferme l apres midi  c etait pour une offre d emploi  un grand bravo a vous pour votre systeme automatique d appel fait avec les pieds  des genies;1;['11h30', 'estim', '15min', 'rappelon', '2h', '15min', '2h', '2h', 'appel', 'ferm', 'offre', 'system', 'appel', 'pied'];11h30 estim 15min rappelon 2h 15min 2h 2h appel ferm offre system appel pied;-1
je viens de contacter pole emploi au sujet d une attestation a fournir concernant une femme de menage employee par une personne decedeeil m est demande d ouvrir un compte employeur  ceci donc pour une personne decedee  afin de pouvoir etablir ladite piecelorsque j ai demande a mon interlocuteur s il n etait pas possible d etablir une simple attestation sur l honneur comportant toutes les informations d emploi de la femme de menage   il m a ete repondu que ce n etait pas un document officiel  meme s il comportait tous les renseignements necessaires a l etude du dossierje trouve absurde de devoir ouvrir un compte qui sera immediatement clos puisque le titulaire est decede et que cela complexifie considerablement la procedure alors que la declaration sur l honneur est reconnue et acceptee dans d autres administrationsvous avez dit simplification   ;1;['contact', 'attest', 'femm', 'menag', 'employe', 'person', 'decedeeil', 'compt', 'employeur', 'cec', 'person', 'decede', 'etabl', 'ladit', 'piecelorsqu', 'interlocuteur', 'etabl', 'attest', 'honneur', 'femm', 'menag', 'docu', 'officiel', 'etud', 'dossierj', 'absurd', 'compt', 'immediat', 'clos', 'titulair', 'deced', 'complexif', 'procedur', 'declar', 'honneur', 'reconnu', 'accepte', 'administrationsvous'];contact attest femm menag employe person decedeeil compt employeur cec person decede etabl ladit piecelorsqu interlocuteur etabl attest honneur femm menag docu officiel etud dossierj absurd compt immediat clos titulair deced complexif procedur declar honneur reconnu accepte administrationsvous;1
bonjour j ai fait une demande d aide a la formation individuelle pour une formation cqp ssiap 1 qui se trouve a 1 km de chez moi car je n ai pas la possibilite de me deplacer tres loin   j  ai envoye le devis de 1490 euro a mon conseiller d ou je rajoute la totalite de mon cpf qui s eleve a presque 400 euro pole emploi a refuse mon devis et malgre une promesse d embauche rajouter au dossier ils m ont envoye vers le site defi metiers pour trouver la meme formation conventionnee  mais a 30 km de chez moi et dont le devis s eleve a 4000 euro  la personne qui m a recu donc au premier centre de formation qui est une ancienne conseillere pole emploi m a montre des devis accepte pour la meme demande donc d aide a la formation individuelle  je comprend pas pourquoi on aide certaines personnes et pas les autres  ;1;['format', 'individuel', 'format', 'cqp', 'ssiap', 'km', '1490', 'rajout', 'totalit', 'cpf', 'elev', '400', 'promess', 'rajout', 'dossi', 'def', 'format', 'conventionne', 'km', 'elev', '4000', 'person', 'format', 'montr', 'format', 'individuel', 'person'];format individuel format cqp ssiap km 1490 rajout totalit cpf elev 400 promess rajout dossi def format conventionne km elev 4000 person format montr format individuel person;1
ai eu besoin d une assistance au cours des declarations du chomage partiel  reponse immediate  pas d attente telephonique une jeune femme adorable  professionnelle  aide rapide et efficace  merci ;1;['declar', 'chomag', 'repons', 'immediat', 'jeun', 'femm', 'ador'];declar chomag repons immediat jeun femm ador;2
j ai ete bien accueilli lors de mon inscription a pe;1;[];;2
depuis janviers 21 pour calculer l apl  la caf a acces au drm  dispositif de ressources mensuelles  afin d eviter les fraudes et diverses erreurs soit disant il se trouve que pour mon cas par exemple  les montants donnes par le pole emploi sont inexacts et impossible de ma part de les modifier  en appelant le pole emploi  ils etaient meme pas au courant et ne connaissaient pas ce que c est malgre mes explications ils finissant par me dire que  il doit y avoir une erreur et tout ce qu ils peuvent faire pour moi c est de me donner des attestations mais n ont pas la main dessus pour les modifier la caf de son cote bien qu ils aient acces a mes paiements et constatant les erreurs  ils ne tiennent compte que du drm  c est aberrant je me trouve coince et sans solution avec une dette pour un trop percu alors que je devrais pas en avoir si on calculait a partir des montants reellement percus voila les joies de l administration et de ce nouveau dispositif sans parler de certains salaries qui manquent de formation et d informations je suppose ;1;['21', 'apl', 'caf', 'drm', 'ressourc', 'fraud', 'divers', 'inexact', 'appel', 'attest', 'main', 'dessus', 'caf', 'pai', 'constat', 'tiennent', 'compt', 'drm', 'aberr', 'coinc', 'det', 'percus', 'joi', 'administr', 'manquent', 'format', 'suppos'];21 apl caf drm ressourc fraud divers inexact appel attest main dessus caf pai constat tiennent compt drm aberr coinc det percus joi administr manquent format suppos;1
malgre les mails envoyes  2 semaines avant  pour demander un document indispensable pour une inscription a un concours  reorientation professionnelle  en precisant la date buttoir pour un des etablissements en vue  impossible d obtenir un rendez vous meme telephonique avant la dite date  resultat  la conseillere au telephone explique qu elle va envoyer le document des la fin de l appel  11h30   document recu a 15h  impossible a ouvrir  la derniere levee etant a 16h  deux jours apres la conseillere envoie un mail    desolee  je suppose qu il est trop tard   idem pour une convention de stage  document transmis il y a 3 semaines  stages dans 2 semaines  toujours aucun retour ;1;['docu', 'indispens', 'concour', 'reorient', 'buttoir', 'etabl', 'docu', 'appel', '11h30', 'docu', '15h', 'leve', '16h', 'desole', 'suppos', 'idem', 'convent', 'docu'];docu indispens concour reorient buttoir etabl docu appel 11h30 docu 15h leve 16h desole suppos idem convent docu;1
je demande ma mise a la retraite  impossible d avoir un conseiller  pole emploi me demande un formulaire de regularisation de retraite impossible de l obtenir  a partir de mars  pole emploi ne me versera plus mes aides  ;1;['retrait', 'formulair', 'retrait'];retrait formulair retrait;-1
j ai trouve la perle rare  apres avoir fait toutes les demarches aupres de pole emploi pour le recrutement  d un salarie d origine argentine   j ai ete bloque dans la procedure de finalisation de ma demande d autorisation  le site internet ne fonctionne pas  clairement il y a vraiment un probleme  la ligne dediee non plus  je n ai jamais reussi a avoir qui que ce soit au telephone  mes differents courriers sont quasi tous restes sans reponse  j ai commence les demarches fin aout pour une embauche mi novembre  ce futur employe qui avait deja reserver son billet d avion est maintenant ici et je ne sais pas quoi lui dire puisque il n a pas pu avoir son visa de travail  je suis au pied du mur et lui d autant plus  je suis enerve  decu et desuvre  l heure est grave  c est bien de mettre en place des systeme moderne mais de conserver le papier c est bien aussi   ou de donner des alternatives quand cela ne fonctionne pas ;1;['perl', 'rar', 'demarch', 'origin', 'argentin', 'procedur', 'autoris', 'internet', 'dedie', 'courri', 'quas', 'rest', 'repons', 'demarch', 'mi', 'futur', 'reserv', 'billet', 'avion', 'pied', 'mur', 'enerv', 'desuvr', 'grav', 'system', 'modern', 'conserv', 'altern'];perl rar demarch origin argentin procedur autoris internet dedie courri quas rest repons demarch mi futur reserv billet avion pied mur enerv desuvr grav system modern conserv altern;1
aucune communication ou alors avec une machine qui demande des choses dont on a aucune idee  resultat je me sens rabaisse en tant que senior ;1;['machin', 'ide', 'rabaiss', 'senior'];machin ide rabaiss senior;2
voila  cela fait 2 ans consecutifs que pole emploi me redemande du trop percus  2 contrats que j ai du commencer en milieu de mois  dans le domaine d agent de collectivite locale le pourquoi ils me redemandent le trop percus est simple    les mairies font leur declaration de salaires au centre des impots vers le 20 de chaque mois  c est connu  et on est donc paye que le mois suivant  il semblerait que pole emploi considere qu il s agit de travail au noir pourtant on s actualise chaque mois  on leur signale ce probleme  mais pour des raisons inconnues  ils n en tiennent pas compte je demande au gouvernement de prendre en compte ce probleme que l on doit rencontrer egalement dans le prive afin de pouvoir vivre correctement de son travail merci d avoir lu mon commentaire et de le comprendre;1;['consecut', 'redemand', 'percus', 'contrat', 'milieu', 'agent', 'collectivit', 'redemandent', 'percus', 'mair', 'declar', 'salair', 'impot', 'pay', 'sembl', 'agit', 'noir', 'raison', 'inconnu', 'tiennent', 'compt', 'gouvern', 'compt', 'lu', 'commentair'];consecut redemand percus contrat milieu agent collectivit redemandent percus mair declar salair impot pay sembl agit noir raison inconnu tiennent compt gouvern compt lu commentair;1
